ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:10:00+00:00,,,,,,0.93,0.92,0.93,0.0,142889.0,
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:11:00+00:00,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,146.0,143035.0,93.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:12:00+00:00,0.93,0.94,0.92,0.94,0.9324,0.93,0.93,0.94,2173.0,145174.0,94.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:13:00+00:00,0.94,0.95,0.93,0.95,0.9411,0.94,0.94,0.95,19614.0,162967.0,95.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:14:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,6471.0,168277.0,95.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:15:00+00:00,0.95,0.95,0.94,0.95,0.9468,0.95,0.94,0.95,3370.0,169507.0,95.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:16:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,3874.0,173381.0,95.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:17:00+00:00,0.95,0.96,0.95,0.95,0.9516,0.95,0.94,0.96,3976.0,176840.0,95.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:18:00+00:00,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.97,7748.0,184528.0,96.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:19:00+00:00,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97,221.0,184749.0,97.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:20:00+00:00,0.97,0.97,0.96,0.96,0.9605,0.97,0.95,0.96,1538.0,186287.0,96.0
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,,DEN,,2026-04-02 01:21:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.97,2256.0,188543.0,96.0
