ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:09:00+00:00,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,38386.0,254992.0,13.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:10:00+00:00,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,210.0,255202.0,13.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:11:00+00:00,0.13,0.13,0.12,0.12,0.1283,0.13,0.11,0.12,13734.0,268936.0,12.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:12:00+00:00,0.12,0.12,0.1,0.11,0.1088,0.12,0.11,0.12,4148.0,270336.0,11.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:13:00+00:00,0.12,0.13,0.11,0.12,0.1257,0.11,0.11,0.12,3980.0,273909.0,12.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:14:00+00:00,0.12,0.12,0.1,0.11,0.1163,0.12,0.1,0.11,2827.0,276124.0,11.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:15:00+00:00,0.11,0.12,0.11,0.12,0.1105,0.11,0.11,0.12,4368.0,279482.0,12.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:16:00+00:00,0.12,0.12,0.11,0.12,0.1189,0.12,0.11,0.12,2433.0,281433.0,12.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:17:00+00:00,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,2875.0,284308.0,12.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:18:00+00:00,0.12,0.12,0.1,0.11,0.1131,0.12,0.1,0.11,5593.0,288035.0,11.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:19:00+00:00,0.11,0.11,0.08,0.08,0.0961,0.11,0.08,0.09,2052.0,289377.0,8.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:20:00+00:00,0.09,0.11,0.09,0.1,0.0948,0.08,0.08,0.1,2431.0,290612.0,10.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:21:00+00:00,0.1,0.1,0.08,0.09,0.0921,0.1,0.08,0.09,465.0,290843.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:22:00+00:00,0.09,0.09,0.08,0.09,0.0899,0.09,0.08,0.09,5819.0,296492.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:23:00+00:00,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,577.0,297029.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:24:00+00:00,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,620.0,297649.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:25:00+00:00,0.09,0.09,0.08,0.09,0.0888,0.09,0.08,0.09,894.0,298338.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:26:00+00:00,0.09,0.11,0.09,0.1,0.1021,0.09,0.09,0.1,895.0,299233.0,10.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:27:00+00:00,0.1,0.1,0.09,0.09,0.0993,0.1,0.08,0.09,9168.0,308401.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:28:00+00:00,0.09,0.09,0.08,0.09,0.0897,0.09,0.08,0.09,404.0,308779.0,9.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:29:00+00:00,0.1,0.1,0.08,0.1,0.0921,0.09,0.08,0.09,2398.0,310977.0,10.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:30:00+00:00,0.09,0.09,0.07,0.07,0.0845,0.1,0.07,0.08,1612.0,312051.0,7.000000000000001
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:31:00+00:00,0.07,0.08,0.07,0.08,0.0726,0.07,0.07,0.08,294.0,311924.0,8.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:32:00+00:00,0.08,0.08,0.07,0.08,0.0771,0.08,0.07,0.08,2406.0,312948.0,8.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:33:00+00:00,0.07,0.08,0.07,0.07,0.0776,0.08,0.07,0.08,449.0,313241.0,7.000000000000001
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:34:00+00:00,0.08,0.08,0.06,0.06,0.0788,0.07,0.06,0.08,713.0,313856.0,6.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:35:00+00:00,0.06,0.07,0.06,0.06,0.0623,0.06,0.05,0.06,2970.0,312776.0,6.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:36:00+00:00,0.06,0.06,0.05,0.05,0.0519,0.06,0.05,0.06,1189.0,312555.0,5.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:37:00+00:00,0.06,0.06,0.04,0.04,0.0477,0.05,0.04,0.05,2088.0,312055.0,4.0
KXNBAGAME-26APR01NYKMEM-MEM,KXNBAGAME-26APR01NYKMEM,,MEM,,2026-04-02 00:38:00+00:00,0.05,0.05,0.04,0.04,0.0403,0.04,0.04,0.05,9996.0,315238.0,4.0
