ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:11:00+00:00,0.15,0.15,0.13,0.14,0.1407,0.15,0.13,0.14,1198.0,290873.0,14.000000000000002
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:12:00+00:00,0.14,0.14,0.13,0.14,0.1369,0.14,0.13,0.14,13.0,290882.0,14.000000000000002
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:13:00+00:00,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,1608.0,292489.0,14.000000000000002
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:14:00+00:00,0.14,0.14,0.12,0.12,0.1217,0.14,0.11,0.12,1815.0,294304.0,12.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:15:00+00:00,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,4758.0,299062.0,12.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:16:00+00:00,0.11,0.11,0.09,0.11,0.1092,0.12,0.1,0.11,1875.0,300919.0,11.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:17:00+00:00,0.11,0.11,0.1,0.11,0.1099,0.11,0.1,0.11,9512.0,310331.0,11.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:18:00+00:00,0.11,0.12,0.11,0.12,0.1115,0.11,0.11,0.12,7746.0,318012.0,12.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:19:00+00:00,0.12,0.16,0.12,0.16,0.1325,0.12,0.15,0.16,41333.0,359220.0,16.0
KXNBAGAME-26APR01SACTOR-SAC,KXNBAGAME-26APR01SACTOR,,SAC,,2026-04-02 00:20:00+00:00,0.16,0.17,0.16,0.17,0.1613,0.16,0.15,0.17,5681.0,364763.0,17.0
