period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,121,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,12:00,"Cavaliers lineup change (Jarrett Allen, Donovan Mitchell, Max Strus, James Harden, Evan Mobley)",lineupchange,0,,basketball_play,1775182265,474,True,2026-04-03 02:11:05+00:00,1,720.0,0.0,0.0,1
4,120,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,12:00,"Warriors lineup change (Kristaps Porzingis, De'Anthony Melton, Gui Santos, Draymond Green, Brandin Podziemski)",lineupchange,0,,basketball_play,1775182265,473,True,2026-04-03 02:11:05+00:00,1,720.0,0.0,0.0,2
4,119,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775182265,472,True,2026-04-03 02:11:05+00:00,1,720.0,0.0,0.0,3
4,118,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,12:00,Jarrett Allen vs. Kristaps Porzingis (James Harden gains possession),opentip,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775182287,471,True,2026-04-03 02:11:27+00:00,1,720.0,0.0,0.0,4
4,117,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,11:45,Evan Mobley misses three point jump shot,threepointmiss,0,,basketball_play,1775182295,470,True,2026-04-03 02:11:35+00:00,1,705.0,15.0,0.25,5
4,116,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:43,De'Anthony Melton defensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1775182297,469,True,2026-04-03 02:11:37+00:00,1,703.0,17.0,0.2833333333333333,6
4,115,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:32,Gui Santos turnover (bad pass),turnover,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775182315,468,True,2026-04-03 02:11:55+00:00,1,692.0,28.0,0.4666666666666667,7
4,114,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:32,Draymond Green personal foul (Loose ball) (Jarrett Allen draws the foul),personalfoul,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775182320,467,True,2026-04-03 02:12:00+00:00,1,692.0,28.0,0.4666666666666667,8
4,113,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,11:25,Donovan Mitchell turnover (out of bounds step),turnover,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1775182343,466,True,2026-04-03 02:12:23+00:00,1,685.0,35.0,0.5833333333333334,9
4,112,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:10,Draymond Green makes three point jump shot (Brandin Podziemski assists),threepointmade,3,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775182359,465,True,2026-04-03 02:12:39+00:00,1,670.0,50.0,0.8333333333333334,10
