ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:12:00+00:00,0.67,0.67,0.66,0.67,0.67,0.67,0.66,0.67,4634.0,1122089.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:13:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,5383.0,1127472.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:14:00+00:00,0.67,0.71,0.67,0.7,0.6805,0.67,0.69,0.7,9329.0,1136794.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:15:00+00:00,0.7,0.71,0.7,0.7,0.7006,0.7,0.69,0.7,26101.0,1162892.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:16:00+00:00,0.7,0.72,0.68,0.72,0.7002,0.7,0.72,0.73,35974.0,1198650.0,72.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:17:00+00:00,0.73,0.75,0.72,0.73,0.7346,0.72,0.72,0.73,46334.0,1242035.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:18:00+00:00,0.73,0.75,0.7,0.72,0.7257,0.73,0.71,0.72,13896.0,1255192.0,72.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:19:00+00:00,0.72,0.74,0.71,0.73,0.7307,0.72,0.72,0.73,25805.0,1280949.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:20:00+00:00,0.73,0.73,0.7,0.71,0.7134,0.73,0.7,0.71,19127.0,1298802.0,71.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:21:00+00:00,0.71,0.72,0.7,0.71,0.7097,0.71,0.7,0.71,19159.0,1317126.0,71.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:22:00+00:00,0.71,0.74,0.71,0.73,0.7278,0.71,0.72,0.73,21429.0,1311577.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:23:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,14205.0,1325782.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:24:00+00:00,0.73,0.73,0.72,0.73,0.7296,0.73,0.72,0.73,8722.0,1333853.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:25:00+00:00,0.73,0.73,0.72,0.73,0.73,0.73,0.72,0.73,14171.0,1347985.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:26:00+00:00,0.73,0.73,0.72,0.73,0.7278,0.73,0.72,0.73,2037.0,1349921.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:27:00+00:00,0.73,0.73,0.7,0.71,0.7146,0.73,0.7,0.71,16063.0,1364766.0,71.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:28:00+00:00,0.71,0.71,0.7,0.71,0.7095,0.71,0.7,0.71,5777.0,1370235.0,71.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:29:00+00:00,0.71,0.71,0.69,0.7,0.7014,0.71,0.69,0.7,4019.0,1373270.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:30:00+00:00,0.7,0.7,0.69,0.7,0.7,0.7,0.69,0.7,7989.0,1381227.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:31:00+00:00,0.7,0.72,0.7,0.7,0.7065,0.7,0.69,0.7,9760.0,1387402.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:32:00+00:00,0.7,0.72,0.7,0.71,0.7123,0.7,0.71,0.72,8895.0,1394501.0,71.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:33:00+00:00,0.71,0.71,0.7,0.7,0.7086,0.71,0.7,0.71,5690.0,1399427.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:34:00+00:00,0.71,0.71,0.67,0.69,0.6956,0.7,0.68,0.69,24913.0,1423372.0,69.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:35:00+00:00,0.69,0.7,0.67,0.7,0.6888,0.69,0.69,0.7,5812.0,1427466.0,70.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:36:00+00:00,0.7,0.72,0.67,0.67,0.6984,0.7,0.66,0.67,18735.0,1443324.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:37:00+00:00,0.66,0.7,0.65,0.67,0.6718,0.67,0.66,0.67,20781.0,1460273.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:38:00+00:00,0.66,0.67,0.64,0.64,0.6515,0.67,0.63,0.64,11241.0,1468562.0,64.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:39:00+00:00,0.64,0.64,0.62,0.63,0.6301,0.64,0.62,0.63,42278.0,1507907.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:40:00+00:00,0.63,0.63,0.62,0.63,0.6293,0.63,0.62,0.63,9969.0,1517209.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:41:00+00:00,0.63,0.63,0.62,0.63,0.6298,0.63,0.62,0.63,15195.0,1531989.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:42:00+00:00,0.63,0.64,0.62,0.63,0.6272,0.63,0.62,0.63,3868.0,1533670.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:43:00+00:00,0.62,0.65,0.62,0.65,0.6362,0.63,0.64,0.65,4980.0,1538401.0,65.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:44:00+00:00,0.65,0.73,0.65,0.73,0.6933,0.65,0.72,0.73,8985.0,1540532.0,73.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:45:00+00:00,0.73,0.73,0.66,0.67,0.6933,0.73,0.67,0.68,8439.0,1547497.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:46:00+00:00,0.68,0.68,0.67,0.68,0.6799,0.67,0.67,0.68,4543.0,1551988.0,68.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:47:00+00:00,0.68,0.68,0.67,0.67,0.6795,0.68,0.67,0.68,2643.0,1554510.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:48:00+00:00,0.67,0.68,0.67,0.67,0.6797,0.67,0.67,0.68,6929.0,1561187.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:49:00+00:00,0.68,0.68,0.67,0.68,0.6737,0.67,0.67,0.68,7072.0,1559555.0,68.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:50:00+00:00,0.68,0.7,0.66,0.67,0.6877,0.68,0.66,0.67,7547.0,1564191.0,67.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:51:00+00:00,0.67,0.67,0.62,0.63,0.6346,0.67,0.62,0.63,29186.0,1574577.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:52:00+00:00,0.63,0.63,0.62,0.63,0.6292,0.63,0.62,0.63,8481.0,1581609.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:53:00+00:00,0.62,0.63,0.62,0.63,0.6296,0.63,0.62,0.63,29000.0,1608413.0,63.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:54:00+00:00,0.63,0.63,0.62,0.62,0.6271,0.63,0.61,0.62,4732.0,1612912.0,62.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:55:00+00:00,0.62,0.64,0.62,0.64,0.6286,0.62,0.63,0.64,4979.0,1617672.0,64.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:56:00+00:00,0.63,0.63,0.53,0.54,0.5903,0.64,0.53,0.54,18202.0,1631581.0,54.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:57:00+00:00,0.54,0.55,0.51,0.53,0.5346,0.54,0.52,0.53,24748.0,1646786.0,53.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:58:00+00:00,0.53,0.53,0.51,0.52,0.5264,0.53,0.51,0.52,32215.0,1678399.0,52.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-02 23:59:00+00:00,0.52,0.59,0.51,0.59,0.5331,0.52,0.58,0.59,39688.0,1706745.0,59.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:00:00+00:00,0.59,0.64,0.59,0.62,0.6133,0.59,0.61,0.62,24070.0,1729540.0,62.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:01:00+00:00,0.61,0.63,0.54,0.55,0.5944,0.62,0.54,0.56,20890.0,1746180.0,55.00000000000001
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:02:00+00:00,0.55,0.56,0.44,0.46,0.4872,0.55,0.44,0.46,65280.0,1799128.0,46.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:03:00+00:00,0.46,0.48,0.44,0.48,0.4547,0.46,0.48,0.49,36586.0,1828217.0,48.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:04:00+00:00,0.49,0.49,0.43,0.49,0.4483,0.48,0.48,0.49,140274.0,1956589.0,49.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:05:00+00:00,0.48,0.55,0.46,0.54,0.5149,0.49,0.53,0.54,23146.0,1973377.0,54.0
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:06:00+00:00,0.54,0.55,0.51,0.55,0.5359,0.54,0.54,0.55,43686.0,2005262.0,55.00000000000001
KXNBAGAME-26APR02MINDET-DET,KXNBAGAME-26APR02MINDET,,DET,,2026-04-03 00:07:00+00:00,0.55,0.55,0.52,0.54,0.5379,0.55,0.54,0.55,41863.0,2029964.0,54.0
