period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,101,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,12:00,"Timberwolves lineup change (Donte DiVincenzo, Julius Randle, Rudy Gobert, Mike Conley, Ayo Dosunmu)",lineupchange,0,,basketball_play,1775171583,483,True,2026-04-02 23:13:03+00:00,1,720.0,0.0,0.0,1
4,100,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Ausar Thompson, Jalen Duren, Daniss Jenkins, Tobias Harris, Duncan Robinson)",lineupchange,0,,basketball_play,1775171583,482,True,2026-04-02 23:13:03+00:00,1,720.0,0.0,0.0,2
4,99,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775171583,481,True,2026-04-02 23:13:03+00:00,1,720.0,0.0,0.0,3
4,98,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,Rudy Gobert vs. Jalen Duren (Duncan Robinson gains possession),opentip,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171585,480,True,2026-04-02 23:13:05+00:00,1,720.0,0.0,0.0,4
4,97,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:45,Daniss Jenkins makes two point driving finger roll layup,twopointmade,2,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171598,479,True,2026-04-02 23:13:18+00:00,1,705.0,15.0,0.25,5
4,96,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:22,Donte DiVincenzo misses three point jump shot,threepointmiss,2,,basketball_play,1775171621,478,True,2026-04-02 23:13:41+00:00,1,682.0,38.0,0.6333333333333333,6
4,95,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:19,Ausar Thompson defensive rebound,rebound,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171624,477,True,2026-04-02 23:13:44+00:00,1,679.0,41.0,0.6833333333333333,7
4,94,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:08,Duncan Robinson makes two point driving floating jump shot (Jalen Duren assists),twopointmade,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171635,476,True,2026-04-02 23:13:55+00:00,1,668.0,52.0,0.8666666666666667,8
4,93,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,10:52,Ausar Thompson shooting foul (Rudy Gobert draws the foul),shootingfoul,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171654,475,True,2026-04-02 23:14:14+00:00,1,652.0,68.0,1.1333333333333333,9
4,92,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,10:52,Rudy Gobert misses regular free throw 1 of 2,freethrowmiss,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171680,474,True,2026-04-02 23:14:40+00:00,1,652.0,68.0,1.1333333333333333,10
4,91,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,10:52,Timberwolves offensive rebound,rebound,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171680,473,True,2026-04-02 23:14:40+00:00,1,652.0,68.0,1.1333333333333333,11
4,90,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,1,10:52,Rudy Gobert makes regular free throw 2 of 2,freethrowmade,4,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171695,472,True,2026-04-02 23:14:55+00:00,1,652.0,68.0,1.1333333333333333,12
4,89,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,1,10:28,Jalen Duren makes two point layup,twopointmade,6,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171719,471,True,2026-04-02 23:15:19+00:00,1,628.0,92.0,1.5333333333333334,13
4,88,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,10:12,Julius Randle makes three point jump shot (Ayo Dosunmu assists),threepointmade,6,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171734,470,True,2026-04-02 23:15:34+00:00,1,612.0,108.0,1.8,14
4,87,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:59,Daniss Jenkins makes three point pullup jump shot (Duncan Robinson assists),threepointmade,9,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171748,469,True,2026-04-02 23:15:48+00:00,1,599.0,121.0,2.0166666666666666,15
4,86,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,9:49,Julius Randle turnover (bad pass) (Ausar Thompson steals),turnover,9,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171758,468,True,2026-04-02 23:15:58+00:00,1,589.0,131.0,2.183333333333333,16
4,85,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,9:48,Ayo Dosunmu shooting foul (Ausar Thompson draws the foul),shootingfoul,9,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171761,467,True,2026-04-02 23:16:01+00:00,1,588.0,132.0,2.2,17
4,84,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:48,Ausar Thompson misses regular free throw 1 of 2,freethrowmiss,9,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171795,466,True,2026-04-02 23:16:35+00:00,1,588.0,132.0,2.2,18
4,83,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:48,Pistons offensive rebound,rebound,9,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171795,465,True,2026-04-02 23:16:35+00:00,1,588.0,132.0,2.2,19
4,82,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:48,Ausar Thompson makes regular free throw 2 of 2,freethrowmade,10,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171810,464,True,2026-04-02 23:16:50+00:00,1,588.0,132.0,2.2,20
4,81,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,9:38,Mike Conley misses three point pullup jump shot,threepointmiss,10,,basketball_play,1775171822,463,True,2026-04-02 23:17:02+00:00,1,578.0,142.0,2.3666666666666667,21
4,80,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,9:36,Rudy Gobert offensive rebound,rebound,10,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171824,462,True,2026-04-02 23:17:04+00:00,1,576.0,144.0,2.4,22
4,79,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,4,9:27,Julius Randle misses three point stepback jump shot,threepointmiss,10,,basketball_play,1775171834,461,True,2026-04-02 23:17:14+00:00,1,567.0,153.0,2.55,23
4,78,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:23,Duncan Robinson defensive rebound,rebound,10,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171838,460,True,2026-04-02 23:17:18+00:00,1,563.0,157.0,2.6166666666666667,24
4,77,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:15,Jalen Duren turnover (lost ball) (Mike Conley steals),turnover,10,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171845,459,True,2026-04-02 23:17:25+00:00,1,555.0,165.0,2.75,25
4,76,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,7,9:10,Ayo Dosunmu makes three point running jump shot (Mike Conley assists),threepointmade,10,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171851,458,True,2026-04-02 23:17:31+00:00,1,550.0,170.0,2.8333333333333335,26
4,75,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,7,8:42,Jalen Duren makes two point driving layup (Ausar Thompson assists),twopointmade,12,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171877,457,True,2026-04-02 23:17:57+00:00,1,522.0,198.0,3.3,27
4,74,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,7,8:28,Ayo Dosunmu misses three point jump shot,threepointmiss,12,,basketball_play,1775171892,456,True,2026-04-02 23:18:12+00:00,1,508.0,212.0,3.533333333333333,28
4,73,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,7,8:25,Ausar Thompson defensive rebound,rebound,12,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171895,455,True,2026-04-02 23:18:15+00:00,1,505.0,215.0,3.5833333333333335,29
4,72,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,7,8:17,Mike Conley personal foul (Ausar Thompson draws the foul),personalfoul,12,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171907,454,True,2026-04-02 23:18:27+00:00,1,497.0,223.0,3.716666666666667,30
4,71,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,7,8:10,Daniss Jenkins misses two point pullup jump shot,twopointmiss,12,,basketball_play,1775171933,453,True,2026-04-02 23:18:53+00:00,1,490.0,230.0,3.8333333333333335,31
4,70,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,7,8:08,Ayo Dosunmu defensive rebound,rebound,12,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1775171935,452,True,2026-04-02 23:18:55+00:00,1,488.0,232.0,3.8666666666666667,32
4,69,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,10,7:49,Mike Conley makes three point stepback jump shot,threepointmade,12,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775171953,451,True,2026-04-02 23:19:13+00:00,1,469.0,251.0,4.183333333333334,33
