ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:40:00+00:00,0.93,0.93,0.92,0.93,0.92,0.93,0.92,0.93,42566.0,333069.0,93.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:41:00+00:00,0.92,0.92,0.92,0.92,0.92,0.93,0.92,0.93,10674.0,333498.0,92.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:42:00+00:00,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.94,1577.0,334975.0,93.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:43:00+00:00,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.94,16924.0,348580.0,94.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:44:00+00:00,0.94,0.95,0.94,0.95,0.9483,0.94,0.93,0.95,22796.0,368938.0,95.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:45:00+00:00,0.94,0.95,0.94,0.95,0.9446,0.95,0.94,0.95,2733.0,371671.0,95.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:46:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,14317.0,385988.0,95.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:47:00+00:00,0.95,0.95,0.94,0.95,0.949,0.95,0.95,0.96,3083.0,388761.0,95.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:48:00+00:00,0.96,0.96,0.95,0.96,0.96,0.95,0.95,0.96,20967.0,409625.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:49:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,13550.0,423175.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:50:00+00:00,0.96,0.96,0.95,0.96,0.9563,0.96,0.95,0.96,6495.0,425805.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:51:00+00:00,0.96,0.97,0.96,0.97,0.9676,0.96,0.96,0.97,7457.0,429732.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:52:00+00:00,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,3710.0,433442.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:53:00+00:00,0.96,0.97,0.95,0.97,0.9585,0.97,0.96,0.97,5193.0,429553.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:54:00+00:00,0.98,0.98,0.96,0.98,0.9638,0.97,0.97,0.98,3497.0,426471.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:55:00+00:00,,,,,,0.98,0.97,0.98,0.0,426471.0,
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:56:00+00:00,0.98,0.98,0.97,0.97,0.9784,0.98,0.97,0.98,629.0,427100.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:57:00+00:00,0.98,0.98,0.97,0.98,0.9799,0.97,0.97,0.98,24024.0,450812.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:58:00+00:00,0.98,0.98,0.97,0.97,0.9705,0.98,0.98,0.99,2214.0,448866.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-03 23:59:00+00:00,0.98,0.99,0.98,0.98,0.9801,0.97,0.97,0.98,2950.0,447931.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:00:00+00:00,0.98,0.98,0.97,0.97,0.971,0.98,0.97,0.98,728.0,447384.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:01:00+00:00,0.98,0.99,0.98,0.98,0.9839,0.97,0.98,0.99,25634.0,473003.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:02:00+00:00,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.99,4110.0,477063.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:03:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,6846.0,477368.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:04:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,3406.0,477373.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:05:00+00:00,0.99,0.99,0.98,0.99,0.9859,0.98,0.98,0.99,579.0,477948.0,99.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:06:00+00:00,0.99,0.99,0.98,0.99,0.9865,0.99,0.98,0.99,277.0,478158.0,99.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:07:00+00:00,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99,200.0,478358.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:08:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.97,10850.0,484787.0,98.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:09:00+00:00,0.97,0.97,0.96,0.96,0.9641,0.98,0.96,0.97,338.0,484825.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:10:00+00:00,0.97,0.97,0.96,0.97,0.9683,0.96,0.96,0.97,181.0,484975.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:11:00+00:00,0.96,0.97,0.96,0.97,0.9645,0.97,0.96,0.97,2496.0,486975.0,97.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:12:00+00:00,0.97,0.97,0.94,0.94,0.9566,0.97,0.94,0.95,11104.0,497026.0,94.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:13:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,153.0,497076.0,94.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:14:00+00:00,0.93,0.95,0.93,0.93,0.9302,0.94,0.93,0.94,711.0,497087.0,93.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:15:00+00:00,0.94,0.96,0.94,0.96,0.9511,0.93,0.95,0.96,2783.0,498881.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:16:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,4112.0,502993.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:17:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,19051.0,521994.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:18:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,108.0,522076.0,96.0
KXNBAGAME-26APR03ATLBKN-ATL,KXNBAGAME-26APR03ATLBKN,,ATL,,2026-04-04 00:19:00+00:00,0.96,0.97,0.96,0.97,0.96,0.96,0.95,0.97,2377.0,522079.0,97.0
