ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:39:00+00:00,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,136.0,49978.0,28.999999999999996
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:40:00+00:00,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,2274.0,52252.0,28.999999999999996
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:41:00+00:00,0.29,0.29,0.28,0.28,0.2807,0.29,0.27,0.28,2356.0,53903.0,28.000000000000004
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:42:00+00:00,0.28,0.28,0.27,0.28,0.2766,0.28,0.26,0.27,3401.0,57271.0,28.000000000000004
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:43:00+00:00,0.26,0.29,0.22,0.29,0.2601,0.28,0.28,0.29,24143.0,80570.0,28.999999999999996
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:44:00+00:00,0.29,0.3,0.29,0.29,0.2901,0.29,0.28,0.29,1156.0,81712.0,28.999999999999996
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:45:00+00:00,0.29,0.3,0.29,0.3,0.2974,0.29,0.29,0.3,5819.0,87531.0,30.0
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:46:00+00:00,0.3,0.33,0.3,0.33,0.3048,0.3,0.33,0.34,21286.0,107798.0,33.0
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:47:00+00:00,0.34,0.35,0.33,0.33,0.3356,0.33,0.32,0.33,9840.0,117538.0,33.0
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,,DAL,,2026-04-04 00:48:00+00:00,0.33,0.35,0.33,0.34,0.3311,0.33,0.33,0.34,3522.0,120960.0,34.0
