period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,118,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,12:00,"Pacers lineup change (Jalen Slawson, Micah Potter, Kobe Brown, Quenton Jackson, Ethan Thompson)",lineupchange,0,,basketball_play,1775427066,481,True,2026-04-05 22:11:06+00:00,1,720.0,0.0,0.0,1
4,117,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,12:00,"Cavaliers lineup change (Thomas Bryant, James Harden, Keon Ellis, Donovan Mitchell, Max Strus)",lineupchange,0,,basketball_play,1775427066,480,True,2026-04-05 22:11:06+00:00,1,720.0,0.0,0.0,2
4,116,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775427066,479,True,2026-04-05 22:11:06+00:00,1,720.0,0.0,0.0,3
4,115,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,12:00,Micah Potter vs. Thomas Bryant (Max Strus gains possession),opentip,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427068,478,True,2026-04-05 22:11:08+00:00,1,720.0,0.0,0.0,4
4,114,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,11:43,Thomas Bryant misses two point jump shot,twopointmiss,0,,basketball_play,1775427082,477,True,2026-04-05 22:11:22+00:00,1,703.0,17.0,0.2833333333333333,5
4,113,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,11:41,Micah Potter defensive rebound,rebound,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427084,476,True,2026-04-05 22:11:24+00:00,1,701.0,19.0,0.31666666666666665,6
4,112,quarter,1,90381a35-42a6-4975-851f-175418e4271a,0,11:28,Thomas Bryant shooting foul (Micah Potter draws the foul),shootingfoul,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427099,475,True,2026-04-05 22:11:39+00:00,1,688.0,32.0,0.5333333333333333,7
4,111,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,1,11:28,Micah Potter makes regular free throw 1 of 2,freethrowmade,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427128,474,True,2026-04-05 22:12:08+00:00,1,688.0,32.0,0.5333333333333333,8
4,110,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:28,Micah Potter makes regular free throw 2 of 2,freethrowmade,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427146,473,True,2026-04-05 22:12:26+00:00,1,688.0,32.0,0.5333333333333333,9
4,109,quarter,1,90381a35-42a6-4975-851f-175418e4271a,2,11:18,Donovan Mitchell misses three point pullup jump shot,threepointmiss,0,,basketball_play,1775427158,472,True,2026-04-05 22:12:38+00:00,1,678.0,42.0,0.7,10
4,108,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:14,Quenton Jackson defensive rebound,rebound,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427162,471,True,2026-04-05 22:12:42+00:00,1,674.0,46.0,0.7666666666666667,11
4,107,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:08,Kobe Brown misses three point jump shot,threepointmiss,0,,basketball_play,1775427168,470,True,2026-04-05 22:12:48+00:00,1,668.0,52.0,0.8666666666666667,12
4,106,quarter,1,90381a35-42a6-4975-851f-175418e4271a,2,11:06,Thomas Bryant defensive rebound,rebound,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427170,469,True,2026-04-05 22:12:50+00:00,1,666.0,54.0,0.9,13
4,105,quarter,1,90381a35-42a6-4975-851f-175418e4271a,2,10:54,Max Strus misses three point jump shot,threepointmiss,0,,basketball_play,1775427182,468,True,2026-04-05 22:13:02+00:00,1,654.0,66.0,1.1,14
4,104,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,10:51,Micah Potter defensive rebound,rebound,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427185,467,True,2026-04-05 22:13:05+00:00,1,651.0,69.0,1.15,15
4,103,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,5,10:47,Kobe Brown makes three point running pullup jump shot (Micah Potter assists),threepointmade,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427189,466,True,2026-04-05 22:13:09+00:00,1,647.0,73.0,1.2166666666666666,16
4,102,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,5,10:35,Quenton Jackson shooting foul (Donovan Mitchell draws the foul),shootingfoul,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427204,465,True,2026-04-05 22:13:24+00:00,1,635.0,85.0,1.4166666666666667,17
4,101,quarter,1,90381a35-42a6-4975-851f-175418e4271a,5,10:35,Donovan Mitchell misses regular free throw 1 of 2,freethrowmiss,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427233,464,True,2026-04-05 22:13:53+00:00,1,635.0,85.0,1.4166666666666667,18
4,100,quarter,1,90381a35-42a6-4975-851f-175418e4271a,5,10:35,Cavaliers offensive rebound,rebound,0,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427233,463,True,2026-04-05 22:13:53+00:00,1,635.0,85.0,1.4166666666666667,19
4,99,quarter,1,90381a35-42a6-4975-851f-175418e4271a,5,10:35,Donovan Mitchell makes regular free throw 2 of 2,freethrowmade,1,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427255,462,True,2026-04-05 22:14:15+00:00,1,635.0,85.0,1.4166666666666667,20
4,98,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,10:18,Micah Potter makes three point jump shot (Ethan Thompson assists),threepointmade,1,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427273,461,True,2026-04-05 22:14:33+00:00,1,618.0,102.0,1.7,21
4,97,quarter,1,90381a35-42a6-4975-851f-175418e4271a,8,10:05,Thomas Bryant makes two point cutting layup (James Harden assists),twopointmade,3,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427285,460,True,2026-04-05 22:14:45+00:00,1,605.0,115.0,1.9166666666666667,22
4,96,quarter,1,90381a35-42a6-4975-851f-175418e4271a,8,9:52,Max Strus personal foul (Micah Potter draws the foul),personalfoul,3,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427305,459,True,2026-04-05 22:15:05+00:00,1,592.0,128.0,2.1333333333333333,23
4,95,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,9:46,Jalen Slawson makes three point jump shot (Quenton Jackson assists),threepointmade,3,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427321,458,True,2026-04-05 22:15:21+00:00,1,586.0,134.0,2.2333333333333334,24
4,94,quarter,1,90381a35-42a6-4975-851f-175418e4271a,11,9:35,Donovan Mitchell turnover (lost ball) (Quenton Jackson steals),turnover,3,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427332,457,True,2026-04-05 22:15:32+00:00,1,575.0,145.0,2.4166666666666665,25
4,93,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,9:32,Quenton Jackson turnover (bad pass) (Donovan Mitchell steals),turnover,3,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427336,456,True,2026-04-05 22:15:36+00:00,1,572.0,148.0,2.466666666666667,26
4,92,quarter,1,90381a35-42a6-4975-851f-175418e4271a,11,9:23,James Harden makes three point jump shot (Donovan Mitchell assists),threepointmade,6,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427344,455,True,2026-04-05 22:15:44+00:00,1,563.0,157.0,2.6166666666666667,27
4,91,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,9:13,Quenton Jackson misses two point cutting finger roll layup,twopointmiss,6,,basketball_play,1775427354,454,True,2026-04-05 22:15:54+00:00,1,553.0,167.0,2.783333333333333,28
4,90,quarter,1,90381a35-42a6-4975-851f-175418e4271a,11,9:12,Donovan Mitchell defensive rebound,rebound,6,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427355,453,True,2026-04-05 22:15:55+00:00,1,552.0,168.0,2.8,29
4,89,quarter,1,90381a35-42a6-4975-851f-175418e4271a,11,9:09,Max Strus misses three point running jump shot,threepointmiss,6,,basketball_play,1775427359,452,True,2026-04-05 22:15:59+00:00,1,549.0,171.0,2.85,30
4,88,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,9:08,Pacers defensive rebound,rebound,6,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427360,451,True,2026-04-05 22:16:00+00:00,1,548.0,172.0,2.8666666666666667,31
4,87,quarter,1,,11,9:08,Stoppage (Out of bounds),stoppage,6,,basketball_play,1775427364,450,True,2026-04-05 22:16:04+00:00,1,548.0,172.0,2.8666666666666667,32
4,86,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,8:56,Jalen Slawson turnover (bad pass) (James Harden steals),turnover,6,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427378,449,True,2026-04-05 22:16:18+00:00,1,536.0,184.0,3.066666666666667,33
4,85,quarter,1,90381a35-42a6-4975-851f-175418e4271a,11,8:45,Keon Ellis makes three point jump shot (Donovan Mitchell assists),threepointmade,9,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427388,448,True,2026-04-05 22:16:28+00:00,1,525.0,195.0,3.25,34
4,84,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,14,8:32,Jalen Slawson makes three point jump shot (Quenton Jackson assists),threepointmade,9,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427401,447,True,2026-04-05 22:16:41+00:00,1,512.0,208.0,3.466666666666667,35
4,83,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,14,8:21,Ethan Thompson shooting foul (Max Strus draws the foul),shootingfoul,9,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427416,446,True,2026-04-05 22:16:56+00:00,1,501.0,219.0,3.65,36
4,82,quarter,1,90381a35-42a6-4975-851f-175418e4271a,14,8:21,Max Strus misses regular free throw 1 of 2,freethrowmiss,9,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427442,445,True,2026-04-05 22:17:22+00:00,1,501.0,219.0,3.65,37
4,81,quarter,1,90381a35-42a6-4975-851f-175418e4271a,14,8:21,Cavaliers offensive rebound,rebound,9,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427442,444,True,2026-04-05 22:17:22+00:00,1,501.0,219.0,3.65,38
4,80,quarter,1,90381a35-42a6-4975-851f-175418e4271a,14,8:21,Max Strus makes regular free throw 2 of 2,freethrowmade,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427456,443,True,2026-04-05 22:17:36+00:00,1,501.0,219.0,3.65,39
4,79,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,14,8:10,Ethan Thompson misses three point jump shot,threepointmiss,10,,basketball_play,1775427470,442,True,2026-04-05 22:17:50+00:00,1,490.0,230.0,3.8333333333333335,40
4,78,quarter,1,90381a35-42a6-4975-851f-175418e4271a,14,8:07,Keon Ellis defensive rebound,rebound,10,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427473,441,True,2026-04-05 22:17:53+00:00,1,487.0,233.0,3.8833333333333333,41
4,77,quarter,1,90381a35-42a6-4975-851f-175418e4271a,14,7:58,James Harden misses three point stepback jump shot,threepointmiss,10,,basketball_play,1775427482,440,True,2026-04-05 22:18:02+00:00,1,478.0,242.0,4.033333333333333,42
4,76,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,14,7:56,Pacers defensive rebound,rebound,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427484,439,True,2026-04-05 22:18:04+00:00,1,476.0,244.0,4.066666666666666,43
4,75,quarter,1,,14,7:56,Stoppage (Out of bounds),stoppage,10,,basketball_play,1775427488,438,True,2026-04-05 22:18:08+00:00,1,476.0,244.0,4.066666666666666,44
4,74,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,7:45,Micah Potter makes three point jump shot (Quenton Jackson assists),threepointmade,10,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427501,437,True,2026-04-05 22:18:21+00:00,1,465.0,255.0,4.25,45
4,73,quarter,1,90381a35-42a6-4975-851f-175418e4271a,17,7:31,Donovan Mitchell misses two point driving finger roll layup,twopointmiss,10,,basketball_play,1775427515,436,True,2026-04-05 22:18:35+00:00,1,451.0,269.0,4.483333333333333,46
4,72,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,7:29,Jalen Slawson defensive rebound,rebound,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1775427517,435,True,2026-04-05 22:18:37+00:00,1,449.0,271.0,4.516666666666667,47
4,71,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,20,7:25,Quenton Jackson makes three point jump shot (Jalen Slawson assists),threepointmade,10,90381a35-42a6-4975-851f-175418e4271a,basketball_play,1775427521,434,True,2026-04-05 22:18:41+00:00,1,445.0,275.0,4.583333333333333,48
4,70,quarter,1,90381a35-42a6-4975-851f-175418e4271a,20,7:24,Cavaliers 60 second timeout,teamtimeout,10,,basketball_play,1775427529,433,True,2026-04-05 22:18:49+00:00,1,444.0,276.0,4.6,49
4,69,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,20,7:24,"Pacers lineup change (Jalen Slawson, Micah Potter, Kobe Brown, Taelon Peter, Kam Jones)",lineupchange,10,,basketball_play,1775427531,432,True,2026-04-05 22:18:51+00:00,1,444.0,276.0,4.6,50
