ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:09:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,685.0,172807.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:10:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,647.0,173454.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:11:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,1646.0,175100.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:12:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,2771.0,177690.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:13:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,16369.0,194059.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:14:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,11682.0,205741.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:15:00+00:00,0.87,0.89,0.87,0.89,0.8763,0.87,0.88,0.89,13757.0,219498.0,89.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:16:00+00:00,0.89,0.9,0.88,0.88,0.8856,0.89,0.87,0.88,11995.0,228570.0,88.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:17:00+00:00,0.88,0.88,0.86,0.87,0.8624,0.88,0.86,0.87,16766.0,245106.0,87.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:18:00+00:00,0.87,0.88,0.87,0.88,0.8736,0.87,0.87,0.88,840.0,245835.0,88.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:19:00+00:00,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,788.0,246623.0,88.0
KXNBAGAME-26APR05LACSAC-LAC,KXNBAGAME-26APR05LACSAC,,LAC,,2026-04-06 01:20:00+00:00,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,152.0,246775.0,88.0
