period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,123,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,"Magic lineup change (Franz Wagner, Paolo Banchero, Desmond Bane, Jalen Suggs, Wendell Carter Jr.)",lineupchange,0,,basketball_play,1775430632,532,True,2026-04-05 23:10:32+00:00,1,720.0,0.0,0.0,1
4,122,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,12:00,"Pelicans lineup change (Jeremiah Fears, Yves Missi, Saddiq Bey, Zion Williamson, Herbert Jones)",lineupchange,0,,basketball_play,1775430632,531,True,2026-04-05 23:10:32+00:00,1,720.0,0.0,0.0,2
4,121,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775430632,530,True,2026-04-05 23:10:32+00:00,1,720.0,0.0,0.0,3
4,120,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,Wendell Carter Jr. vs. Yves Missi (Jalen Suggs gains possession),opentip,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1775430638,529,True,2026-04-05 23:10:38+00:00,1,720.0,0.0,0.0,4
4,119,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:46,Jalen Suggs misses three point pullup jump shot,threepointmiss,0,,basketball_play,1775430646,528,True,2026-04-05 23:10:46+00:00,1,706.0,14.0,0.23333333333333334,5
4,118,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:41,Herbert Jones defensive rebound,rebound,0,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1775430651,527,True,2026-04-05 23:10:51+00:00,1,701.0,19.0,0.31666666666666665,6
4,117,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:24,Jeremiah Fears misses three point jump shot,threepointmiss,0,,basketball_play,1775430667,526,True,2026-04-05 23:11:07+00:00,1,684.0,36.0,0.6,7
4,116,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:21,Franz Wagner defensive rebound,rebound,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1775430670,525,True,2026-04-05 23:11:10+00:00,1,681.0,39.0,0.65,8
4,115,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,11:17,Paolo Banchero makes two point running layup (Jalen Suggs assists),twopointmade,0,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1775430673,524,True,2026-04-05 23:11:13+00:00,1,677.0,43.0,0.7166666666666667,9
4,114,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,2,10:59,Herbert Jones makes three point pullup bank jump shot (Yves Missi assists),threepointmade,3,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1775430692,523,True,2026-04-05 23:11:32+00:00,1,659.0,61.0,1.0166666666666666,10
4,113,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,4,10:47,Wendell Carter Jr. makes two point cutting dunk (Jalen Suggs assists),twopointmade,3,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1775430704,522,True,2026-04-05 23:11:44+00:00,1,647.0,73.0,1.2166666666666666,11
4,112,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,4,10:24,Saddiq Bey misses two point fadeaway jump shot,twopointmiss,3,,basketball_play,1775430727,521,True,2026-04-05 23:12:07+00:00,1,624.0,96.0,1.6,12
