period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,114,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,12:00,"Knicks lineup change (Jalen Brunson, Josh Hart, Karl-Anthony Towns, OG Anunoby, Mikal Bridges)",lineupchange,0,,basketball_play,1775517189,469,True,2026-04-06 23:13:09+00:00,1,720.0,0.0,0.0,1
4,113,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,0,12:00,"Hawks lineup change (CJ McCollum, Onyeka Okongwu, Nickeil Alexander-Walker, Jalen Johnson, Dyson Daniels)",lineupchange,0,,basketball_play,1775517189,468,True,2026-04-06 23:13:09+00:00,1,720.0,0.0,0.0,2
4,112,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775517189,467,True,2026-04-06 23:13:09+00:00,1,720.0,0.0,0.0,3
4,111,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,0,12:00,Karl-Anthony Towns vs. Onyeka Okongwu (Jalen Johnson gains possession),opentip,0,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517192,466,True,2026-04-06 23:13:12+00:00,1,720.0,0.0,0.0,4
4,110,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,0,11:38,CJ McCollum misses two point driving floating jump shot,twopointmiss,0,,basketball_play,1775517210,465,True,2026-04-06 23:13:30+00:00,1,698.0,22.0,0.36666666666666664,5
4,109,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:33,OG Anunoby defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517215,464,True,2026-04-06 23:13:35+00:00,1,693.0,27.0,0.45,6
4,108,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:32,OG Anunoby turnover (bad pass) (CJ McCollum steals),turnover,0,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517216,463,True,2026-04-06 23:13:36+00:00,1,692.0,28.0,0.4666666666666667,7
4,107,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,0,11:29,CJ McCollum makes three point pullup jump shot,threepointmade,3,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517219,462,True,2026-04-06 23:13:39+00:00,1,689.0,31.0,0.5166666666666667,8
4,106,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:09,Karl-Anthony Towns turnover (out of bounds bad pass),turnover,3,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517240,461,True,2026-04-06 23:14:00+00:00,1,669.0,51.0,0.85,9
4,105,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,0,10:47,Onyeka Okongwu makes two point driving layup (CJ McCollum assists),twopointmade,5,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517268,460,True,2026-04-06 23:14:28+00:00,1,647.0,73.0,1.2166666666666666,10
4,104,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,3,10:37,Karl-Anthony Towns makes three point jump shot (Josh Hart assists),threepointmade,5,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517279,459,True,2026-04-06 23:14:39+00:00,1,637.0,83.0,1.3833333333333333,11
4,103,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,3,10:25,Josh Hart shooting foul (Onyeka Okongwu draws the foul),shootingfoul,5,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517293,458,True,2026-04-06 23:14:53+00:00,1,625.0,95.0,1.5833333333333333,12
4,102,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,3,10:25,Onyeka Okongwu makes regular free throw 1 of 2,freethrowmade,6,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517333,457,True,2026-04-06 23:15:33+00:00,1,625.0,95.0,1.5833333333333333,13
4,101,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,3,10:25,Onyeka Okongwu makes regular free throw 2 of 2,freethrowmade,7,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517348,456,True,2026-04-06 23:15:48+00:00,1,625.0,95.0,1.5833333333333333,14
4,100,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,5,10:13,Mikal Bridges makes two point cutting dunk (Karl-Anthony Towns assists),twopointmade,7,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517362,455,True,2026-04-06 23:16:02+00:00,1,613.0,107.0,1.7833333333333334,15
4,99,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,5,10:00,Jalen Johnson makes three point jump shot (CJ McCollum assists),threepointmade,10,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517374,454,True,2026-04-06 23:16:14+00:00,1,600.0,120.0,2.0,16
4,98,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,8,9:41,OG Anunoby makes three point jump shot (Mikal Bridges assists),threepointmade,10,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517394,453,True,2026-04-06 23:16:34+00:00,1,581.0,139.0,2.316666666666667,17
4,97,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,8,9:30,Jalen Johnson turnover (out of bounds bad pass),turnover,10,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517406,452,True,2026-04-06 23:16:46+00:00,1,570.0,150.0,2.5,18
4,96,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,10,9:09,Mikal Bridges makes two point cutting dunk (Karl-Anthony Towns assists),twopointmade,10,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517433,451,True,2026-04-06 23:17:13+00:00,1,549.0,171.0,2.85,19
4,95,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,10,8:58,CJ McCollum misses two point driving floating bank jump shot,twopointmiss,10,,basketball_play,1775517443,450,True,2026-04-06 23:17:23+00:00,1,538.0,182.0,3.033333333333333,20
4,94,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,10,8:56,Karl-Anthony Towns defensive rebound,rebound,10,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1775517445,449,True,2026-04-06 23:17:25+00:00,1,536.0,184.0,3.066666666666667,21
4,93,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,10,8:54,Jalen Brunson turnover (out of bounds bad pass),turnover,10,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517449,448,True,2026-04-06 23:17:29+00:00,1,534.0,186.0,3.1,22
4,92,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,10,8:44,Jalen Johnson misses three point jump shot,threepointmiss,10,,basketball_play,1775517465,447,True,2026-04-06 23:17:45+00:00,1,524.0,196.0,3.2666666666666666,23
4,91,quarter,1,e0729403-9c95-4ee2-b5d4-f704d8322570,10,8:42,Hawks offensive rebound,rebound,10,e0729403-9c95-4ee2-b5d4-f704d8322570,basketball_play,1775517470,446,True,2026-04-06 23:17:50+00:00,1,522.0,198.0,3.3,24
