period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,107,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,12:00,"Hornets lineup change (Kon Knueppel, Miles Bridges, LaMelo Ball, Brandon Miller, Moussa Diabate)",lineupchange,0,,basketball_play,1775607201,432,True,2026-04-08 00:13:21+00:00,1,720.0,0.0,0.0,1
4,106,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,12:00,"Celtics lineup change (Jaylen Brown, Sam Hauser, Neemias Queta, Jayson Tatum, Derrick White)",lineupchange,0,,basketball_play,1775607201,431,True,2026-04-08 00:13:21+00:00,1,720.0,0.0,0.0,2
4,105,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775607201,430,True,2026-04-08 00:13:21+00:00,1,720.0,0.0,0.0,3
4,104,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,12:00,Moussa Diabate vs. Neemias Queta (Sam Hauser gains possession),opentip,0,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607204,429,True,2026-04-08 00:13:24+00:00,1,720.0,0.0,0.0,4
4,103,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,11:44,Jaylen Brown makes two point cutting layup (Jayson Tatum assists),twopointmade,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607216,428,True,2026-04-08 00:13:36+00:00,1,704.0,16.0,0.26666666666666666,5
4,102,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:26,Brandon Miller misses three point jump shot,threepointmiss,2,,basketball_play,1775607234,427,True,2026-04-08 00:13:54+00:00,1,686.0,34.0,0.5666666666666667,6
4,101,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:25,Miles Bridges offensive rebound,rebound,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607235,426,True,2026-04-08 00:13:55+00:00,1,685.0,35.0,0.5833333333333334,7
4,100,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:22,Kon Knueppel turnover (traveling),turnover,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607241,425,True,2026-04-08 00:14:01+00:00,1,682.0,38.0,0.6333333333333333,8
4,99,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,11:05,Jaylen Brown misses two point stepback jump shot,twopointmiss,2,,basketball_play,1775607272,424,True,2026-04-08 00:14:32+00:00,1,665.0,55.0,0.9166666666666666,9
4,98,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,11:03,Sam Hauser offensive rebound,rebound,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607274,423,True,2026-04-08 00:14:34+00:00,1,663.0,57.0,0.95,10
4,97,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,11:00,Sam Hauser misses three point pullup jump shot,threepointmiss,2,,basketball_play,1775607277,422,True,2026-04-08 00:14:37+00:00,1,660.0,60.0,1.0,11
4,96,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,10:58,Miles Bridges defensive rebound,rebound,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607279,421,True,2026-04-08 00:14:39+00:00,1,658.0,62.0,1.0333333333333334,12
4,95,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,3,10:53,LaMelo Ball makes three point running pullup jump shot (Miles Bridges assists),threepointmade,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607285,420,True,2026-04-08 00:14:45+00:00,1,653.0,67.0,1.1166666666666667,13
4,94,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,3,10:37,Neemias Queta makes two point cutting layup (Jayson Tatum assists),twopointmade,4,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607300,419,True,2026-04-08 00:15:00+00:00,1,637.0,83.0,1.3833333333333333,14
4,93,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,3,10:23,Miles Bridges misses three point jump shot,threepointmiss,4,,basketball_play,1775607314,418,True,2026-04-08 00:15:14+00:00,1,623.0,97.0,1.6166666666666667,15
4,92,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,3,10:22,Jaylen Brown defensive rebound,rebound,4,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607315,417,True,2026-04-08 00:15:15+00:00,1,622.0,98.0,1.6333333333333333,16
4,91,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,3,10:10,Sam Hauser misses three point jump shot,threepointmiss,4,,basketball_play,1775607328,416,True,2026-04-08 00:15:28+00:00,1,610.0,110.0,1.8333333333333333,17
4,90,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,3,10:08,Miles Bridges defensive rebound,rebound,4,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607330,415,True,2026-04-08 00:15:30+00:00,1,608.0,112.0,1.8666666666666667,18
4,89,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,5,10:01,Miles Bridges makes two point running layup,twopointmade,4,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607336,414,True,2026-04-08 00:15:36+00:00,1,601.0,119.0,1.9833333333333334,19
4,88,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,9:41,Neemias Queta misses two point reverse layup,twopointmiss,4,,basketball_play,1775607356,413,True,2026-04-08 00:15:56+00:00,1,581.0,139.0,2.316666666666667,20
4,87,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,9:40,Neemias Queta offensive rebound,rebound,4,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1775607357,412,True,2026-04-08 00:15:57+00:00,1,580.0,140.0,2.3333333333333335,21
4,86,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,9:39,Neemias Queta makes two point putback dunk,twopointmade,6,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1775607359,411,True,2026-04-08 00:15:59+00:00,1,579.0,141.0,2.35,22
4,85,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,5,9:28,LaMelo Ball misses three point pullup jump shot,threepointmiss,6,,basketball_play,1775607369,410,True,2026-04-08 00:16:09+00:00,1,568.0,152.0,2.533333333333333,23
