ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:39:00+00:00,0.48,0.48,0.47,0.47,0.4796,0.48,0.47,0.48,2527.0,137545.0,47.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:40:00+00:00,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,2621.0,140166.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:41:00+00:00,0.48,0.48,0.47,0.47,0.4777,0.48,0.47,0.48,191.0,140207.0,47.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:42:00+00:00,0.48,0.48,0.46,0.46,0.4751,0.47,0.44,0.46,2209.0,140598.0,46.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:43:00+00:00,0.46,0.51,0.46,0.51,0.4769,0.46,0.5,0.51,5576.0,143918.0,51.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:44:00+00:00,0.51,0.51,0.49,0.49,0.5089,0.51,0.49,0.5,3517.0,147357.0,49.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:45:00+00:00,0.5,0.52,0.5,0.51,0.5138,0.49,0.5,0.51,3024.0,150311.0,51.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:46:00+00:00,0.51,0.52,0.51,0.51,0.5144,0.51,0.5,0.51,8169.0,156520.0,51.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:47:00+00:00,0.49,0.49,0.48,0.48,0.4862,0.51,0.47,0.48,515.0,156999.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:48:00+00:00,0.47,0.48,0.47,0.48,0.4738,0.48,0.47,0.48,1703.0,156717.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:49:00+00:00,0.48,0.48,0.47,0.48,0.48,0.48,0.47,0.48,7568.0,164256.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:50:00+00:00,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,186.0,164442.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:51:00+00:00,0.48,0.48,0.46,0.46,0.4758,0.48,0.45,0.46,1361.0,165784.0,46.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:52:00+00:00,0.45,0.45,0.39,0.39,0.4275,0.46,0.39,0.4,16549.0,178795.0,39.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:53:00+00:00,0.4,0.4,0.38,0.38,0.3903,0.39,0.38,0.39,13336.0,186675.0,38.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:54:00+00:00,0.38,0.38,0.37,0.37,0.371,0.38,0.37,0.38,4417.0,185383.0,37.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:55:00+00:00,0.38,0.38,0.37,0.38,0.3769,0.37,0.37,0.38,834.0,186164.0,38.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:56:00+00:00,0.38,0.38,0.37,0.38,0.3796,0.38,0.37,0.38,754.0,186886.0,38.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:57:00+00:00,0.38,0.41,0.36,0.41,0.3761,0.38,0.4,0.41,32002.0,213311.0,41.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:58:00+00:00,0.41,0.41,0.35,0.35,0.3822,0.41,0.34,0.35,7539.0,220507.0,35.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-07 23:59:00+00:00,0.34,0.38,0.33,0.35,0.3711,0.35,0.35,0.36,3238.0,223502.0,35.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:00:00+00:00,0.36,0.36,0.31,0.31,0.3447,0.35,0.3,0.31,919.0,223659.0,31.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:01:00+00:00,0.3,0.36,0.3,0.33,0.341,0.31,0.32,0.33,4261.0,227690.0,33.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:02:00+00:00,0.33,0.35,0.33,0.35,0.3402,0.33,0.34,0.35,2998.0,230510.0,35.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:03:00+00:00,0.35,0.39,0.35,0.39,0.3679,0.35,0.38,0.39,1959.0,232131.0,39.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:04:00+00:00,0.4,0.49,0.38,0.49,0.4311,0.39,0.48,0.49,55002.0,283216.0,49.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:05:00+00:00,0.49,0.52,0.48,0.52,0.5037,0.49,0.5,0.52,2358.0,284542.0,52.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:06:00+00:00,0.5,0.52,0.5,0.51,0.5079,0.52,0.5,0.51,3170.0,286283.0,51.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:07:00+00:00,0.51,0.52,0.49,0.49,0.5076,0.51,0.48,0.49,1732.0,286926.0,49.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:08:00+00:00,0.49,0.5,0.47,0.48,0.4883,0.49,0.47,0.48,1875.0,288580.0,48.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:09:00+00:00,0.48,0.55,0.48,0.55,0.5394,0.48,0.54,0.55,30688.0,313956.0,55.00000000000001
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:10:00+00:00,0.55,0.58,0.54,0.54,0.5458,0.55,0.53,0.54,5082.0,316913.0,54.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:11:00+00:00,0.54,0.54,0.53,0.54,0.5392,0.54,0.53,0.54,1410.0,318087.0,54.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:12:00+00:00,0.54,0.54,0.52,0.54,0.5364,0.54,0.53,0.54,3904.0,321975.0,54.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:13:00+00:00,0.54,0.58,0.53,0.57,0.5678,0.54,0.56,0.57,16598.0,337200.0,56.99999999999999
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:14:00+00:00,0.57,0.6,0.53,0.53,0.5809,0.57,0.52,0.53,7242.0,342525.0,53.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:15:00+00:00,0.53,0.55,0.51,0.55,0.5285,0.53,0.53,0.54,7676.0,350140.0,55.00000000000001
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:16:00+00:00,0.54,0.61,0.53,0.61,0.561,0.55,0.59,0.61,17392.0,366976.0,61.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:17:00+00:00,0.61,0.61,0.59,0.6,0.6095,0.61,0.6,0.61,5945.0,372531.0,60.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:18:00+00:00,0.61,0.62,0.6,0.62,0.6146,0.6,0.61,0.62,4926.0,374864.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:19:00+00:00,0.62,0.62,0.61,0.61,0.6157,0.62,0.6,0.61,950.0,375584.0,61.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:20:00+00:00,0.62,0.68,0.62,0.68,0.6379,0.61,0.67,0.68,16828.0,389116.0,68.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:21:00+00:00,0.67,0.67,0.62,0.63,0.6491,0.68,0.63,0.64,673.0,389462.0,63.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:22:00+00:00,0.64,0.64,0.61,0.62,0.6276,0.63,0.61,0.62,2276.0,391581.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:23:00+00:00,0.61,0.62,0.6,0.61,0.6105,0.62,0.6,0.61,2863.0,390985.0,61.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:24:00+00:00,0.6,0.67,0.6,0.67,0.6134,0.61,0.66,0.67,14879.0,404969.0,67.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:25:00+00:00,0.67,0.7,0.67,0.7,0.6844,0.67,0.68,0.7,5888.0,407756.0,70.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:26:00+00:00,0.69,0.7,0.69,0.7,0.6955,0.7,0.68,0.7,924.0,408113.0,70.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:27:00+00:00,0.7,0.7,0.58,0.58,0.6574,0.7,0.58,0.59,47156.0,388503.0,57.99999999999999
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:28:00+00:00,0.59,0.61,0.59,0.6,0.5985,0.58,0.59,0.6,2935.0,387529.0,60.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:29:00+00:00,0.6,0.6,0.59,0.6,0.5999,0.6,0.59,0.6,658.0,388176.0,60.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:30:00+00:00,0.6,0.6,0.59,0.59,0.5968,0.6,0.59,0.6,767.0,388457.0,59.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:31:00+00:00,0.6,0.62,0.56,0.62,0.5909,0.59,0.61,0.62,38793.0,404338.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:32:00+00:00,0.62,0.65,0.62,0.63,0.6346,0.62,0.62,0.63,1884.0,405231.0,63.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:33:00+00:00,0.64,0.65,0.64,0.64,0.6488,0.63,0.62,0.63,1143.0,406357.0,64.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:34:00+00:00,0.64,0.65,0.62,0.63,0.6368,0.64,0.62,0.63,2021.0,407289.0,63.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:35:00+00:00,0.63,0.65,0.61,0.63,0.6255,0.63,0.61,0.62,6739.0,412655.0,63.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:36:00+00:00,0.61,0.62,0.61,0.62,0.6195,0.63,0.61,0.62,333.0,412987.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:37:00+00:00,0.62,0.62,0.61,0.62,0.6197,0.62,0.61,0.62,5770.0,418604.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:38:00+00:00,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.62,566.0,419170.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:39:00+00:00,0.62,0.62,0.61,0.62,0.6172,0.62,0.61,0.62,838.0,419776.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:40:00+00:00,0.62,0.62,0.61,0.62,0.6198,0.62,0.61,0.62,831.0,420588.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:41:00+00:00,0.62,0.62,0.61,0.62,0.62,0.62,0.61,0.62,1391.0,421976.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:42:00+00:00,0.62,0.62,0.61,0.62,0.6154,0.62,0.61,0.62,659.0,422335.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:43:00+00:00,0.62,0.62,0.61,0.62,0.62,0.62,0.61,0.62,1005.0,423340.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:44:00+00:00,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.62,943.0,424283.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:45:00+00:00,0.62,0.62,0.61,0.62,0.6133,0.62,0.61,0.62,1520.0,424789.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:46:00+00:00,0.62,0.62,0.61,0.62,0.6176,0.62,0.61,0.62,609.0,425253.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:47:00+00:00,0.62,0.62,0.61,0.62,0.6196,0.62,0.61,0.62,1233.0,426442.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:48:00+00:00,0.62,0.62,0.61,0.62,0.6198,0.62,0.61,0.62,3098.0,429489.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:49:00+00:00,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.62,1100.0,430355.0,62.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:50:00+00:00,0.62,0.62,0.61,0.61,0.6199,0.62,0.61,0.62,628.0,430355.0,61.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:51:00+00:00,0.62,0.65,0.59,0.59,0.6307,0.61,0.58,0.59,4995.0,431703.0,59.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:52:00+00:00,0.59,0.64,0.59,0.59,0.6173,0.59,0.58,0.59,13693.0,439359.0,59.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:53:00+00:00,0.59,0.66,0.59,0.66,0.622,0.59,0.65,0.66,8407.0,439122.0,66.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:54:00+00:00,0.66,0.66,0.64,0.65,0.6538,0.66,0.64,0.65,3190.0,442203.0,65.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:55:00+00:00,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.65,3763.0,445966.0,65.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:56:00+00:00,0.65,0.65,0.61,0.63,0.6232,0.65,0.62,0.63,603.0,445616.0,63.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:57:00+00:00,0.63,0.68,0.63,0.66,0.6488,0.63,0.66,0.67,9293.0,442899.0,66.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:58:00+00:00,0.67,0.73,0.67,0.71,0.6862,0.66,0.7,0.71,22276.0,464317.0,71.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 00:59:00+00:00,0.71,0.77,0.7,0.77,0.7372,0.71,0.75,0.77,16061.0,478013.0,77.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 01:00:00+00:00,0.77,0.79,0.73,0.75,0.7465,0.77,0.73,0.76,16259.0,489431.0,75.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 01:01:00+00:00,0.77,0.81,0.76,0.81,0.7728,0.75,0.79,0.8,8377.0,497558.0,81.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 01:02:00+00:00,0.8,0.84,0.78,0.84,0.8176,0.81,0.84,0.85,9056.0,504339.0,84.0
KXNBAGAME-26APR07MILBKN-BKN,KXNBAGAME-26APR07MILBKN,,BKN,,2026-04-08 01:03:00+00:00,0.85,0.89,0.82,0.87,0.8594,0.84,0.86,0.87,25076.0,526176.0,87.0
