ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:09:00+00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,1667.0,108011.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:10:00+00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,4203.0,112214.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:11:00+00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,2484.0,114683.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:12:00+00:00,0.71,0.72,0.7,0.7,0.7051,0.71,0.69,0.7,3154.0,114914.0,70.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:13:00+00:00,0.7,0.71,0.69,0.71,0.691,0.7,0.7,0.71,657.0,115525.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:14:00+00:00,0.71,0.73,0.7,0.73,0.7264,0.71,0.72,0.73,9085.0,124310.0,73.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:15:00+00:00,0.73,0.75,0.72,0.72,0.7333,0.73,0.71,0.72,9559.0,133859.0,72.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:16:00+00:00,0.72,0.73,0.71,0.71,0.7284,0.72,0.69,0.71,7497.0,141329.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:17:00+00:00,0.7,0.71,0.68,0.68,0.708,0.71,0.67,0.69,7460.0,148729.0,68.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:18:00+00:00,0.69,0.69,0.68,0.69,0.69,0.68,0.68,0.69,2682.0,151403.0,69.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:19:00+00:00,0.68,0.68,0.68,0.68,0.68,0.69,0.67,0.68,1164.0,152528.0,68.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:20:00+00:00,0.68,0.7,0.68,0.7,0.6954,0.68,0.69,0.7,7420.0,158891.0,70.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:21:00+00:00,0.69,0.7,0.69,0.7,0.7,0.7,0.69,0.7,1678.0,160568.0,70.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:22:00+00:00,0.7,0.7,0.69,0.7,0.7,0.7,0.69,0.7,2682.0,163248.0,70.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:23:00+00:00,0.7,0.72,0.7,0.71,0.7038,0.7,0.69,0.7,364.0,163547.0,71.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:24:00+00:00,0.69,0.71,0.69,0.69,0.6906,0.71,0.67,0.69,473.0,163901.0,69.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:25:00+00:00,0.69,0.73,0.69,0.73,0.7097,0.69,0.72,0.73,831.0,164728.0,73.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:26:00+00:00,0.72,0.73,0.68,0.68,0.697,0.73,0.67,0.68,5641.0,169057.0,68.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:27:00+00:00,0.67,0.67,0.63,0.63,0.6436,0.68,0.62,0.63,554.0,169611.0,63.0
KXNBAGAME-26APR07UTANOP-NOP,KXNBAGAME-26APR07UTANOP,,NOP,,2026-04-08 00:28:00+00:00,0.63,0.63,0.62,0.62,0.6274,0.63,0.61,0.62,4478.0,174045.0,62.0
