period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,125,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,0,12:00,"Bucks lineup change (Taurean Prince, Ryan Rollins, Jericho Sims, Ousmane Dieng, AJ Green)",lineupchange,0,,basketball_play,1775689997,484,True,2026-04-08 23:13:17+00:00,1,720.0,0.0,0.0,1
4,124,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Jalen Duren, Ausar Thompson, Cade Cunningham, Tobias Harris, Duncan Robinson)",lineupchange,0,,basketball_play,1775689997,483,True,2026-04-08 23:13:17+00:00,1,720.0,0.0,0.0,2
4,123,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775689997,482,True,2026-04-08 23:13:17+00:00,1,720.0,0.0,0.0,3
4,122,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,Jericho Sims vs. Jalen Duren (Ausar Thompson gains possession),opentip,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775689999,481,True,2026-04-08 23:13:19+00:00,1,720.0,0.0,0.0,4
4,121,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:42,Duncan Robinson misses three point jump shot,threepointmiss,0,,basketball_play,1775690016,480,True,2026-04-08 23:13:36+00:00,1,702.0,18.0,0.3,5
4,120,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,0,11:37,Taurean Prince defensive rebound,rebound,0,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,basketball_play,1775690021,479,True,2026-04-08 23:13:41+00:00,1,697.0,23.0,0.38333333333333336,6
4,119,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,3,11:23,AJ Green makes three point bank jump shot (Jericho Sims assists),threepointmade,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1775690038,478,True,2026-04-08 23:13:58+00:00,1,683.0,37.0,0.6166666666666667,7
4,118,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,11:23,Cade Cunningham shooting foul (AJ Green draws the foul),shootingfoul,0,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,basketball_play,1775690041,477,True,2026-04-08 23:14:01+00:00,1,683.0,37.0,0.6166666666666667,8
4,117,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,4,11:23,AJ Green makes regular free throw 1 of 1,freethrowmade,0,,basketball_play,1775690062,476,True,2026-04-08 23:14:22+00:00,1,683.0,37.0,0.6166666666666667,9
4,116,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,11:09,Cade Cunningham misses three point pullup jump shot,threepointmiss,0,,basketball_play,1775690077,475,True,2026-04-08 23:14:37+00:00,1,669.0,51.0,0.85,10
