ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:41:00+00:00,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,7385.0,891031.0,42.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:42:00+00:00,0.42,0.42,0.41,0.42,0.4199,0.42,0.41,0.42,6985.0,897824.0,42.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:43:00+00:00,0.41,0.42,0.41,0.42,0.4196,0.42,0.41,0.42,8831.0,905966.0,42.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:44:00+00:00,0.42,0.48,0.42,0.48,0.4553,0.42,0.46,0.49,29441.0,934090.0,48.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:45:00+00:00,0.48,0.51,0.45,0.5,0.4628,0.48,0.49,0.51,116177.0,1035625.0,50.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:46:00+00:00,0.51,0.52,0.46,0.46,0.497,0.5,0.45,0.46,34864.0,1067725.0,46.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:47:00+00:00,0.46,0.47,0.42,0.45,0.4414,0.46,0.44,0.45,18600.0,1083464.0,45.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:48:00+00:00,0.45,0.46,0.42,0.42,0.4392,0.45,0.41,0.42,15833.0,1096927.0,42.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:49:00+00:00,0.41,0.42,0.38,0.38,0.4019,0.42,0.38,0.39,23855.0,1112368.0,38.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:50:00+00:00,0.39,0.39,0.38,0.39,0.3872,0.38,0.38,0.39,17002.0,1122634.0,39.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:51:00+00:00,0.38,0.39,0.38,0.39,0.3896,0.39,0.38,0.39,18351.0,1140172.0,39.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:52:00+00:00,0.39,0.39,0.38,0.38,0.3894,0.39,0.38,0.39,13718.0,1152953.0,38.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:53:00+00:00,0.38,0.41,0.38,0.39,0.3944,0.38,0.38,0.39,12145.0,1164949.0,39.0
KXNBAGAME-26APR08PORSAS-POR,KXNBAGAME-26APR08PORSAS,,POR,,2026-04-09 01:54:00+00:00,0.39,0.43,0.39,0.43,0.411,0.39,0.42,0.43,46288.0,1210728.0,43.0
