ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:39:00+00:00,0.4,0.41,0.4,0.41,0.4002,0.41,0.4,0.41,827.0,148893.0,41.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:40:00+00:00,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.41,540.0,149433.0,41.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:41:00+00:00,0.41,0.41,0.4,0.41,0.4045,0.41,0.4,0.41,477.0,149444.0,41.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:42:00+00:00,0.41,0.41,0.39,0.4,0.4012,0.41,0.39,0.4,2128.0,150705.0,40.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:43:00+00:00,0.4,0.47,0.4,0.46,0.4119,0.4,0.44,0.46,52554.0,203136.0,46.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:44:00+00:00,0.46,0.49,0.46,0.49,0.4648,0.46,0.47,0.49,6775.0,209213.0,49.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:45:00+00:00,0.48,0.49,0.47,0.47,0.4796,0.49,0.46,0.47,5176.0,214389.0,47.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:46:00+00:00,0.47,0.47,0.46,0.46,0.4686,0.47,0.46,0.47,335.0,214678.0,46.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:47:00+00:00,0.46,0.46,0.42,0.43,0.4391,0.46,0.42,0.43,2498.0,216052.0,43.0
KXNBAGAME-26APR09INDBKN-BKN,KXNBAGAME-26APR09INDBKN,,BKN,,2026-04-09 23:48:00+00:00,0.43,0.43,0.39,0.41,0.402,0.43,0.4,0.41,1910.0,217477.0,41.0
