period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,121,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (Tyrese Maxey, Adem Bona, VJ Edgecombe, Kelly Oubre Jr., Paul George)",lineupchange,0,,basketball_play,1775779893,491,True,2026-04-10 00:11:33+00:00,1,720.0,0.0,0.0,1
4,120,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,"Rockets lineup change (Josh Okogie, Alperen Sengun, Kevin Durant, Jabari Smith Jr., Amen Thompson)",lineupchange,0,,basketball_play,1775779893,490,True,2026-04-10 00:11:33+00:00,1,720.0,0.0,0.0,2
4,119,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1775779893,489,True,2026-04-10 00:11:33+00:00,1,720.0,0.0,0.0,3
4,118,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,Adem Bona vs. Alperen Sengun (Kevin Durant gains possession),opentip,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1775779895,488,True,2026-04-10 00:11:35+00:00,1,720.0,0.0,0.0,4
4,117,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:41,Amen Thompson turnover (bad pass) (Paul George steals),turnover,0,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1775779911,487,True,2026-04-10 00:11:51+00:00,1,701.0,19.0,0.31666666666666665,5
4,116,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,11:36,Kelly Oubre Jr. makes two point running dunk (VJ Edgecombe assists),twopointmade,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1775779915,486,True,2026-04-10 00:11:55+00:00,1,696.0,24.0,0.4,6
4,115,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:16,Alperen Sengun misses two point jump shot,twopointmiss,0,,basketball_play,1775779936,485,True,2026-04-10 00:12:16+00:00,1,676.0,44.0,0.7333333333333333,7
4,114,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:16,Josh Okogie offensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1775779936,484,True,2026-04-10 00:12:16+00:00,1,676.0,44.0,0.7333333333333333,8
4,113,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:15,Josh Okogie makes two point tip layup,twopointmade,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1775779939,483,True,2026-04-10 00:12:19+00:00,1,675.0,45.0,0.75,9
4,112,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,10:56,VJ Edgecombe misses three point pullup jump shot,threepointmiss,2,,basketball_play,1775779955,482,True,2026-04-10 00:12:35+00:00,1,656.0,64.0,1.0666666666666667,10
4,111,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,10:55,Alperen Sengun defensive rebound,rebound,2,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1775779956,481,True,2026-04-10 00:12:36+00:00,1,655.0,65.0,1.0833333333333333,11
4,110,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,10:46,Jabari Smith Jr. makes two point turnaround fadeaway jump shot (Alperen Sengun assists),twopointmade,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1775779966,480,True,2026-04-10 00:12:46+00:00,1,646.0,74.0,1.2333333333333334,12
4,109,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,10:30,Paul George makes two point layup,twopointmade,4,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1775779982,479,True,2026-04-10 00:13:02+00:00,1,630.0,90.0,1.5,13
