ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:11:00+00:00,0.19,0.19,0.18,0.18,0.1804,0.19,0.18,0.19,286.0,34893.0,18.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:12:00+00:00,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,59.0,34893.0,19.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:13:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,594.0,34893.0,19.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:14:00+00:00,0.19,0.19,0.17,0.17,0.1718,0.19,0.17,0.18,1216.0,36075.0,17.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:15:00+00:00,0.18,0.18,0.17,0.18,0.1749,0.17,0.17,0.18,5270.0,36716.0,18.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:16:00+00:00,0.18,0.18,0.13,0.14,0.1585,0.18,0.13,0.14,1998.0,37785.0,14.000000000000002
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:17:00+00:00,0.13,0.13,0.1,0.1,0.1063,0.14,0.1,0.11,9074.0,44221.0,10.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:18:00+00:00,0.09,0.1,0.08,0.08,0.0901,0.1,0.08,0.09,984.0,45164.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:19:00+00:00,0.09,0.1,0.09,0.09,0.0912,0.08,0.07,0.09,1815.0,46928.0,9.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:20:00+00:00,0.08,0.08,0.07,0.07,0.0733,0.09,0.07,0.08,3161.0,47934.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:21:00+00:00,0.08,0.08,0.07,0.08,0.0795,0.07,0.07,0.08,430.0,47934.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:22:00+00:00,0.08,0.08,0.07,0.07,0.0771,0.08,0.06,0.07,4200.0,50377.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:23:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1942.0,50423.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:24:00+00:00,0.07,0.07,0.05,0.06,0.0537,0.07,0.05,0.06,1763.0,50408.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:25:00+00:00,0.05,0.07,0.03,0.04,0.0457,0.06,0.03,0.04,3435.0,49624.0,4.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:26:00+00:00,0.04,0.04,0.03,0.03,0.032,0.04,0.02,0.03,2694.0,50316.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:27:00+00:00,0.02,0.03,0.02,0.02,0.0231,0.03,0.01,0.02,13245.0,61324.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:28:00+00:00,0.02,0.04,0.01,0.02,0.0224,0.02,0.01,0.02,13911.0,72283.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:29:00+00:00,0.02,0.03,0.02,0.02,0.0254,0.02,0.01,0.02,30725.0,103003.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:30:00+00:00,0.02,0.03,0.02,0.03,0.0203,0.02,0.02,0.03,7572.0,110575.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:31:00+00:00,0.02,0.03,0.02,0.03,0.0294,0.03,0.02,0.03,1547.0,112122.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:32:00+00:00,0.03,0.05,0.02,0.05,0.04,0.03,0.04,0.05,1652.0,113420.0,5.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:33:00+00:00,0.04,0.06,0.04,0.06,0.0497,0.05,0.05,0.06,1608.0,114843.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:34:00+00:00,0.06,0.06,0.05,0.06,0.0598,0.06,0.05,0.06,944.0,115753.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:35:00+00:00,0.05,0.07,0.05,0.07,0.0695,0.06,0.07,0.08,5135.0,115525.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:36:00+00:00,0.07,0.07,0.06,0.07,0.0699,0.07,0.07,0.08,777.0,116287.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:37:00+00:00,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,1250.0,117035.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:38:00+00:00,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,398.0,117035.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:39:00+00:00,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,550.0,117051.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:40:00+00:00,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,132.0,117183.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:41:00+00:00,0.08,0.09,0.06,0.09,0.0838,0.08,0.08,0.09,1907.0,117998.0,9.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:42:00+00:00,0.08,0.09,0.08,0.09,0.0899,0.09,0.07,0.09,587.0,118582.0,9.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:43:00+00:00,0.08,0.09,0.07,0.08,0.0794,0.09,0.08,0.09,2199.0,118540.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:44:00+00:00,0.08,0.08,0.05,0.06,0.0569,0.08,0.07,0.08,3835.0,116872.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:45:00+00:00,0.07,0.07,0.05,0.07,0.0668,0.06,0.07,0.08,454.0,116650.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:46:00+00:00,0.07,0.08,0.07,0.08,0.0766,0.07,0.07,0.08,297.0,116845.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:47:00+00:00,0.07,0.08,0.07,0.08,0.0769,0.08,0.07,0.08,1787.0,117532.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:48:00+00:00,0.07,0.08,0.07,0.08,0.0766,0.08,0.07,0.08,73.0,117555.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:49:00+00:00,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,500.0,117055.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:50:00+00:00,0.07,0.09,0.07,0.07,0.0805,0.07,0.06,0.07,269.0,117280.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:51:00+00:00,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,63.0,117293.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:52:00+00:00,0.08,0.09,0.08,0.08,0.0811,0.06,0.08,0.09,3574.0,117551.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:53:00+00:00,0.09,0.1,0.09,0.09,0.0902,0.08,0.09,0.1,438.0,117872.0,9.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:54:00+00:00,0.1,0.1,0.08,0.08,0.0866,0.09,0.07,0.08,2300.0,120008.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:55:00+00:00,0.08,0.08,0.07,0.08,0.0766,0.08,0.07,0.08,184.0,120068.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:56:00+00:00,0.08,0.1,0.08,0.1,0.0844,0.08,0.09,0.11,1103.0,120008.0,10.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:57:00+00:00,0.11,0.12,0.1,0.11,0.1129,0.1,0.1,0.11,5158.0,124316.0,11.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:58:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,803.0,125119.0,11.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 00:59:00+00:00,0.11,0.11,0.1,0.11,0.1075,0.11,0.1,0.11,3971.0,127114.0,11.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:00:00+00:00,0.11,0.11,0.1,0.11,0.1043,0.11,0.09,0.11,1767.0,127881.0,11.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:01:00+00:00,0.11,0.12,0.11,0.11,0.1133,0.11,0.1,0.11,1758.0,128556.0,11.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:02:00+00:00,0.1,0.11,0.08,0.08,0.0978,0.11,0.07,0.08,1605.0,129851.0,8.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:03:00+00:00,0.08,0.1,0.07,0.07,0.081,0.08,0.06,0.07,8328.0,135856.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:04:00+00:00,0.07,0.07,0.06,0.07,0.0695,0.07,0.06,0.07,4260.0,139919.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:05:00+00:00,0.07,0.07,0.06,0.07,0.0699,0.07,0.06,0.07,1890.0,141796.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:06:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1072.0,142868.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:07:00+00:00,0.06,0.07,0.06,0.07,0.0694,0.07,0.06,0.07,849.0,143667.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:08:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1561.0,145228.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:09:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1501.0,146729.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:10:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1962.0,148691.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:11:00+00:00,0.07,0.07,0.06,0.07,0.0687,0.07,0.06,0.07,490.0,149115.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:12:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,553.0,149668.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:13:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,5024.0,154692.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:14:00+00:00,0.06,0.07,0.06,0.07,0.0699,0.07,0.06,0.07,266.0,154955.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:15:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,1335.0,156290.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:16:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,508.0,156798.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:17:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,2448.0,157722.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:18:00+00:00,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,606.0,158328.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:19:00+00:00,0.07,0.07,0.06,0.07,0.0698,0.07,0.06,0.07,646.0,158954.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:20:00+00:00,0.07,0.07,0.06,0.07,0.0642,0.07,0.05,0.07,2459.0,160116.0,7.000000000000001
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:21:00+00:00,0.07,0.07,0.06,0.06,0.0618,0.07,0.05,0.06,1281.0,159302.0,6.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:22:00+00:00,0.05,0.06,0.04,0.04,0.0508,0.06,0.04,0.05,8699.0,153929.0,4.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:23:00+00:00,0.03,0.05,0.03,0.04,0.035,0.04,0.03,0.04,202.0,153927.0,4.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:24:00+00:00,0.03,0.04,0.03,0.04,0.036,0.04,0.02,0.03,418.0,154341.0,4.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:25:00+00:00,0.03,0.03,0.02,0.02,0.0257,0.04,0.02,0.03,2360.0,155691.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:26:00+00:00,0.03,0.03,0.02,0.03,0.0266,0.02,0.02,0.03,1221.0,156502.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:27:00+00:00,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,697.0,157199.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:28:00+00:00,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,100.0,157299.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:29:00+00:00,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,2894.0,154666.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:30:00+00:00,0.02,0.03,0.02,0.03,0.0295,0.02,0.02,0.03,1009.0,155627.0,3.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:31:00+00:00,0.02,0.02,0.01,0.01,0.0183,0.03,0.01,0.02,2248.0,156799.0,1.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:32:00+00:00,0.02,0.02,0.01,0.02,0.0196,0.01,0.01,0.02,243.0,156799.0,2.0
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:33:00+00:00,,,,,,0.02,0.01,0.02,0.0,156799.0,
KXNBAGAME-26APR10BKNMIL-BKN,KXNBAGAME-26APR10BKNMIL,,BKN,,2026-04-11 01:34:00+00:00,0.02,0.02,0.01,0.01,0.0106,0.02,0.01,0.02,784.0,156799.0,1.0
