ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:41:00+00:00,0.37,0.37,0.36,0.37,0.37,0.37,0.36,0.37,872.0,95572.0,37.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:42:00+00:00,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,147.0,95719.0,37.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:43:00+00:00,0.37,0.37,0.36,0.37,0.369,0.37,0.36,0.37,71.0,95790.0,37.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:44:00+00:00,0.38,0.39,0.36,0.38,0.3811,0.37,0.38,0.39,4440.0,99014.0,38.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:45:00+00:00,0.39,0.41,0.37,0.39,0.3949,0.38,0.37,0.38,44847.0,138870.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:46:00+00:00,0.39,0.4,0.38,0.4,0.387,0.39,0.39,0.4,2346.0,140105.0,40.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:47:00+00:00,0.4,0.44,0.4,0.44,0.4072,0.4,0.43,0.45,4338.0,142164.0,44.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:48:00+00:00,0.43,0.44,0.38,0.38,0.4088,0.44,0.37,0.38,15339.0,148121.0,38.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:49:00+00:00,0.38,0.39,0.37,0.38,0.3879,0.38,0.36,0.37,11820.0,159624.0,38.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:50:00+00:00,0.37,0.39,0.36,0.39,0.3667,0.38,0.38,0.39,4887.0,160048.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:51:00+00:00,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.39,2463.0,162151.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:52:00+00:00,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,3416.0,165567.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:53:00+00:00,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,603.0,166170.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:54:00+00:00,0.39,0.39,0.37,0.39,0.3817,0.39,0.38,0.39,4285.0,169246.0,39.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:55:00+00:00,0.39,0.4,0.39,0.4,0.3905,0.39,0.38,0.39,513.0,169759.0,40.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:56:00+00:00,0.39,0.42,0.38,0.42,0.4008,0.4,0.41,0.42,6803.0,176549.0,42.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:57:00+00:00,0.42,0.43,0.37,0.37,0.3946,0.42,0.36,0.37,8787.0,182417.0,37.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:58:00+00:00,0.37,0.37,0.33,0.34,0.341,0.37,0.34,0.35,1969.0,182385.0,34.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 01:59:00+00:00,0.34,0.35,0.34,0.35,0.3426,0.34,0.34,0.35,1654.0,181581.0,35.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 02:00:00+00:00,0.35,0.35,0.34,0.34,0.3424,0.35,0.34,0.35,4829.0,185613.0,34.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 02:01:00+00:00,0.35,0.35,0.34,0.35,0.3481,0.34,0.35,0.36,1396.0,186671.0,35.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 02:02:00+00:00,0.36,0.38,0.34,0.38,0.3537,0.35,0.37,0.38,4874.0,188144.0,38.0
KXNBAGAME-26APR10MEMUTA-MEM,KXNBAGAME-26APR10MEMUTA,,MEM,,2026-04-11 02:03:00+00:00,0.38,0.38,0.34,0.34,0.3668,0.38,0.33,0.34,3053.0,190855.0,34.0
