ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:10:00+00:00,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,3971.0,327136.0,22.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:11:00+00:00,0.21,0.22,0.2,0.21,0.2162,0.22,0.2,0.21,5736.0,332714.0,21.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:12:00+00:00,0.21,0.21,0.2,0.2,0.2039,0.21,0.19,0.2,1534.0,333493.0,20.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:13:00+00:00,0.2,0.21,0.19,0.21,0.2023,0.2,0.19,0.21,10111.0,341196.0,21.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:14:00+00:00,0.21,0.21,0.17,0.17,0.1875,0.21,0.16,0.17,13127.0,346482.0,17.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:15:00+00:00,0.17,0.17,0.14,0.15,0.1502,0.17,0.13,0.15,5584.0,351728.0,15.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:16:00+00:00,0.15,0.15,0.14,0.15,0.1487,0.15,0.15,0.16,13043.0,362843.0,15.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:17:00+00:00,0.16,0.17,0.13,0.14,0.1408,0.15,0.13,0.14,3115.0,364186.0,14.000000000000002
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:18:00+00:00,0.14,0.14,0.12,0.14,0.1337,0.14,0.13,0.15,78007.0,429808.0,14.000000000000002
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:19:00+00:00,0.14,0.15,0.13,0.14,0.1399,0.14,0.13,0.14,4798.0,434536.0,14.000000000000002
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:20:00+00:00,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,35890.0,470426.0,14.000000000000002
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:21:00+00:00,0.14,0.15,0.14,0.15,0.1492,0.14,0.14,0.15,1104.0,471528.0,15.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:22:00+00:00,0.15,0.15,0.14,0.15,0.1487,0.15,0.14,0.15,374.0,471804.0,15.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:23:00+00:00,0.15,0.15,0.12,0.13,0.14,0.15,0.12,0.13,12057.0,473902.0,13.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:24:00+00:00,0.12,0.14,0.12,0.13,0.1308,0.13,0.13,0.15,2925.0,474297.0,13.0
KXNBAGAME-26APR12ATLMIA-ATL,KXNBAGAME-26APR12ATLMIA,,ATL,,2026-04-12 22:25:00+00:00,0.15,0.15,0.13,0.13,0.1496,0.13,0.13,0.14,892.0,475155.0,13.0
