period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,135,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,12:00,"Nets lineup change (E.J. Liddell, Ben Saraf, Drake Powell, Trevon Scott, Malachi Smith)",lineupchange,0,,basketball_play,1776031954,470,True,2026-04-12 22:12:34+00:00,1,720.0,0.0,0.0,1
4,134,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,0,12:00,"Raptors lineup change (RJ Barrett, Immanuel Quickley, Brandon Ingram, Scottie Barnes, Jakob Poeltl)",lineupchange,0,,basketball_play,1776031954,469,True,2026-04-12 22:12:34+00:00,1,720.0,0.0,0.0,2
4,133,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1776031954,468,True,2026-04-12 22:12:34+00:00,1,720.0,0.0,0.0,3
4,132,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,0,12:00,Trevon Scott vs. Jakob Poeltl (Scottie Barnes gains possession),opentip,0,96c447dd-2cdd-4c58-a151-ef0df87de981,basketball_play,1776031955,467,True,2026-04-12 22:12:35+00:00,1,720.0,0.0,0.0,4
4,131,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,0,11:41,Jakob Poeltl turnover (lost ball) (E.J. Liddell steals),turnover,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1776031972,466,True,2026-04-12 22:12:52+00:00,1,701.0,19.0,0.31666666666666665,5
4,130,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,11:34,E.J. Liddell makes three point jump shot (Malachi Smith assists),threepointmade,0,96c447dd-2cdd-4c58-a151-ef0df87de981,basketball_play,1776031979,465,True,2026-04-12 22:12:59+00:00,1,694.0,26.0,0.43333333333333335,6
4,129,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,3,11:20,RJ Barrett misses three point jump shot,threepointmiss,0,,basketball_play,1776031993,464,True,2026-04-12 22:13:13+00:00,1,680.0,40.0,0.6666666666666666,7
4,128,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,11:19,Nets defensive rebound,rebound,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1776031994,463,True,2026-04-12 22:13:14+00:00,1,679.0,41.0,0.6833333333333333,8
4,127,quarter,1,,3,11:19,Stoppage (Out of bounds),stoppage,0,,basketball_play,1776031997,462,True,2026-04-12 22:13:17+00:00,1,679.0,41.0,0.6833333333333333,9
4,126,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,10:59,Ben Saraf misses two point driving layup,twopointmiss,0,,basketball_play,1776032020,461,True,2026-04-12 22:13:40+00:00,1,659.0,61.0,1.0166666666666666,10
4,125,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,3,10:56,Jakob Poeltl defensive rebound,rebound,0,96c447dd-2cdd-4c58-a151-ef0df87de981,basketball_play,1776032022,460,True,2026-04-12 22:13:42+00:00,1,656.0,64.0,1.0666666666666667,11
4,124,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,3,10:49,Immanuel Quickley misses three point jump shot,threepointmiss,0,,basketball_play,1776032029,459,True,2026-04-12 22:13:49+00:00,1,649.0,71.0,1.1833333333333333,12
4,123,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,10:46,E.J. Liddell defensive rebound,rebound,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1776032032,458,True,2026-04-12 22:13:52+00:00,1,646.0,74.0,1.2333333333333334,13
4,122,quarter,1,96c447dd-2cdd-4c58-a151-ef0df87de981,3,10:40,RJ Barrett personal foul (Malachi Smith draws the foul),personalfoul,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1776032041,457,True,2026-04-12 22:14:01+00:00,1,640.0,80.0,1.3333333333333333,14
