ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:10:00+00:00,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,83.0,373430.0,91.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:11:00+00:00,0.91,0.91,0.9,0.9,0.9096,0.91,0.9,0.91,28.0,373457.0,90.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:12:00+00:00,0.91,0.92,0.9,0.91,0.91,0.9,0.9,0.91,22329.0,375561.0,91.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:13:00+00:00,0.92,0.92,0.91,0.92,0.9175,0.91,0.91,0.92,9914.0,383823.0,92.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:14:00+00:00,0.92,0.93,0.92,0.92,0.9292,0.92,0.92,0.93,1520.0,385230.0,92.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:15:00+00:00,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.93,944.0,386174.0,93.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:16:00+00:00,0.92,0.92,0.91,0.92,0.9194,0.93,0.91,0.92,16204.0,388800.0,92.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:17:00+00:00,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,4832.0,393632.0,92.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:18:00+00:00,0.92,0.93,0.92,0.93,0.93,0.92,0.92,0.93,3880.0,397512.0,93.0
KXNBAGAME-26APR12DETIND-DET,KXNBAGAME-26APR12DETIND,,DET,,2026-04-12 22:19:00+00:00,0.93,0.94,0.92,0.93,0.9384,0.93,0.92,0.93,7090.0,404585.0,93.0
