period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,105,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,"Kings lineup change (Nique Clifford, Precious Achiuwa, Devin Carter, Maxime Raynaud, Daeqwon Plowden)",lineupchange,0,,basketball_play,1776041001,478,True,2026-04-13 00:43:21+00:00,1,720.0,0.0,0.0,1
4,104,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,12:00,"Trail Blazers lineup change (Jrue Holiday, Donovan Clingan, Deni Avdija, Scoot Henderson, Toumani Camara)",lineupchange,0,,basketball_play,1776041001,477,True,2026-04-13 00:43:21+00:00,1,720.0,0.0,0.0,2
4,103,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1776041001,476,True,2026-04-13 00:43:21+00:00,1,720.0,0.0,0.0,3
4,102,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,12:00,Maxime Raynaud vs. Donovan Clingan (Deni Avdija gains possession),opentip,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1776041003,475,True,2026-04-13 00:43:23+00:00,1,720.0,0.0,0.0,4
4,101,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:42,Nique Clifford blocks Jrue Holiday's three point jump shot,threepointmiss,0,,basketball_play,1776041018,474,True,2026-04-13 00:43:38+00:00,1,702.0,18.0,0.3,5
4,100,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:39,Jrue Holiday offensive rebound,rebound,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1776041021,473,True,2026-04-13 00:43:41+00:00,1,699.0,21.0,0.35,6
4,99,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:37,Jrue Holiday makes two point fadeaway jump shot,twopointmade,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1776041023,472,True,2026-04-13 00:43:43+00:00,1,697.0,23.0,0.38333333333333336,7
4,98,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,11:15,Maxime Raynaud misses three point jump shot,threepointmiss,2,,basketball_play,1776041046,471,True,2026-04-13 00:44:06+00:00,1,675.0,45.0,0.75,8
4,97,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:13,Donovan Clingan defensive rebound,rebound,2,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1776041048,470,True,2026-04-13 00:44:08+00:00,1,673.0,47.0,0.7833333333333333,9
4,96,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:00,Donovan Clingan makes three point jump shot,threepointmade,5,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1776041059,469,True,2026-04-13 00:44:19+00:00,1,660.0,60.0,1.0,10
4,95,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,10:48,Maxime Raynaud misses two point driving floating jump shot,twopointmiss,5,,basketball_play,1776041072,468,True,2026-04-13 00:44:32+00:00,1,648.0,72.0,1.2,11
4,94,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,10:46,Donovan Clingan defensive rebound,rebound,5,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1776041074,467,True,2026-04-13 00:44:34+00:00,1,646.0,74.0,1.2333333333333334,12
4,93,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,10:35,Toumani Camara misses three point pullup jump shot,threepointmiss,5,,basketball_play,1776041085,466,True,2026-04-13 00:44:45+00:00,1,635.0,85.0,1.4166666666666667,13
4,92,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,10:32,Donovan Clingan offensive rebound,rebound,5,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1776041088,465,True,2026-04-13 00:44:48+00:00,1,632.0,88.0,1.4666666666666666,14
