ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:09:00+00:00,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,420.0,298559.0,82.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:10:00+00:00,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,868.0,299427.0,82.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:11:00+00:00,0.82,0.83,0.82,0.82,0.8224,0.82,0.8,0.82,1714.0,301141.0,82.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:12:00+00:00,0.84,0.86,0.84,0.86,0.8432,0.82,0.86,0.87,809.0,301683.0,86.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:13:00+00:00,0.87,0.88,0.86,0.88,0.8694,0.86,0.86,0.88,5920.0,307310.0,88.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:14:00+00:00,0.88,0.88,0.85,0.86,0.8763,0.88,0.85,0.87,11994.0,318710.0,86.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:15:00+00:00,0.86,0.87,0.86,0.87,0.8625,0.86,0.86,0.87,3441.0,321868.0,87.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:16:00+00:00,0.87,0.89,0.86,0.89,0.8785,0.87,0.88,0.89,972.0,322737.0,89.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:17:00+00:00,0.89,0.91,0.88,0.91,0.8979,0.89,0.9,0.91,12495.0,334943.0,91.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:18:00+00:00,0.91,0.91,0.88,0.88,0.8911,0.91,0.87,0.88,20603.0,353587.0,88.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:19:00+00:00,0.88,0.89,0.85,0.85,0.8725,0.88,0.85,0.86,25282.0,370990.0,85.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:20:00+00:00,0.86,0.86,0.85,0.86,0.86,0.85,0.85,0.86,6398.0,377371.0,86.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:21:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,3912.0,381283.0,86.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:22:00+00:00,0.86,0.86,0.85,0.86,0.8564,0.86,0.85,0.86,8831.0,388262.0,86.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:23:00+00:00,0.86,0.91,0.86,0.9,0.8823,0.86,0.88,0.89,59819.0,443790.0,90.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:24:00+00:00,0.89,0.92,0.89,0.91,0.9081,0.9,0.9,0.91,73470.0,504466.0,91.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:25:00+00:00,0.91,0.91,0.9,0.91,0.91,0.91,0.9,0.91,21742.0,526208.0,91.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:26:00+00:00,0.91,0.92,0.91,0.92,0.914,0.91,0.91,0.92,21192.0,547359.0,92.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:27:00+00:00,0.92,0.93,0.9,0.91,0.9172,0.92,0.91,0.92,3527.0,549680.0,91.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:28:00+00:00,0.93,0.94,0.92,0.94,0.9316,0.91,0.93,0.94,13250.0,561093.0,94.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:29:00+00:00,0.94,0.96,0.94,0.96,0.9439,0.94,0.96,0.97,3144.0,563787.0,96.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:30:00+00:00,0.96,0.98,0.96,0.98,0.9733,0.96,0.97,0.98,30220.0,572494.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:31:00+00:00,0.98,0.98,0.97,0.97,0.9798,0.98,0.97,0.98,5545.0,572519.0,97.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:32:00+00:00,0.98,0.99,0.97,0.99,0.9791,0.97,0.98,0.99,14173.0,582239.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:33:00+00:00,0.99,0.99,0.98,0.98,0.9884,0.99,0.98,0.99,12070.0,590355.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:34:00+00:00,0.98,0.99,0.98,0.98,0.9838,0.98,0.98,0.99,3731.0,590090.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:35:00+00:00,0.98,0.99,0.98,0.98,0.9889,0.98,0.98,0.99,4162.0,593352.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:36:00+00:00,0.98,0.99,0.98,0.98,0.9801,0.98,0.98,0.99,2064.0,591468.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:37:00+00:00,0.98,0.99,0.98,0.98,0.9801,0.98,0.98,0.99,479.0,590999.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:38:00+00:00,0.99,0.99,0.98,0.99,0.9804,0.98,0.98,0.99,17961.0,574528.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:39:00+00:00,,,,,,0.99,0.98,0.99,0.0,574528.0,
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:40:00+00:00,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99,11910.0,562680.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:41:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,695.0,561985.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:42:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,12.0,561973.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:43:00+00:00,0.98,0.99,0.98,0.98,0.9852,0.98,0.98,0.99,5132.0,562142.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:44:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,13.0,562129.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:45:00+00:00,0.98,0.99,0.98,0.98,0.9802,0.98,0.98,0.99,10508.0,552063.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:46:00+00:00,0.99,0.99,0.98,0.98,0.9828,0.98,0.98,0.99,753.0,551730.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:47:00+00:00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,348.0,551382.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:48:00+00:00,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.99,301.0,551083.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:49:00+00:00,0.99,0.99,0.98,0.98,0.9899,0.98,0.98,0.99,12080.0,563033.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:50:00+00:00,0.98,0.99,0.98,0.99,0.987,0.98,0.98,0.99,7115.0,565918.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:51:00+00:00,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,16001.0,581202.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:52:00+00:00,0.98,0.99,0.98,0.99,0.99,0.99,0.98,0.99,5048.0,586248.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:53:00+00:00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,1.0,586249.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:54:00+00:00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,10000.0,596249.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:55:00+00:00,,,,,,0.99,0.98,0.99,0.0,596249.0,
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:56:00+00:00,,,,,,0.99,0.98,0.99,0.0,596249.0,
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:57:00+00:00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,20.0,596269.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:58:00+00:00,0.99,0.99,0.98,0.98,0.98,0.99,0.98,0.99,50001.0,614096.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 22:59:00+00:00,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.99,2024.0,616119.0,98.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:00:00+00:00,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99,3500.0,619619.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:01:00+00:00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,10.0,619629.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:02:00+00:00,0.98,0.99,0.98,0.99,0.9893,0.99,0.98,0.99,5792.0,625005.0,99.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:03:00+00:00,0.98,0.98,0.93,0.94,0.9772,0.99,0.93,0.95,89695.0,692592.0,94.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:04:00+00:00,0.94,0.94,0.91,0.92,0.9309,0.94,0.91,0.92,5174.0,693260.0,92.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:05:00+00:00,0.92,0.92,0.91,0.91,0.9161,0.92,0.91,0.92,25781.0,704793.0,91.0
KXNBAGAME-26APR12WASCLE-CLE,KXNBAGAME-26APR12WASCLE,,CLE,,2026-04-12 23:06:00+00:00,0.92,0.92,0.91,0.92,0.9178,0.91,0.91,0.92,7402.0,708169.0,92.0
