period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,122,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,12:00,"Hornets lineup change (Brandon Miller, Moussa Diabate, Kon Knueppel, LaMelo Ball, Miles Bridges)",lineupchange,0,,basketball_play,1776469251,535,True,2026-04-17 23:40:51+00:00,1,720.0,0.0,0.0,1
4,121,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,"Magic lineup change (Paolo Banchero, Franz Wagner, Desmond Bane, Wendell Carter Jr., Jalen Suggs)",lineupchange,0,,basketball_play,1776469251,534,True,2026-04-17 23:40:51+00:00,1,720.0,0.0,0.0,2
4,120,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1776469251,533,True,2026-04-17 23:40:51+00:00,1,720.0,0.0,0.0,3
4,119,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,Moussa Diabate vs. Wendell Carter Jr. (Paolo Banchero gains possession),opentip,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469255,532,True,2026-04-17 23:40:55+00:00,1,720.0,0.0,0.0,4
4,118,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:46,Jalen Suggs turnover (out of bounds step),turnover,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469267,531,True,2026-04-17 23:41:07+00:00,1,706.0,14.0,0.23333333333333334,5
4,117,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:25,LaMelo Ball misses two point stepback jump shot,twopointmiss,0,,basketball_play,1776469298,530,True,2026-04-17 23:41:38+00:00,1,685.0,35.0,0.5833333333333334,6
4,116,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:24,Moussa Diabate offensive rebound,rebound,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469299,529,True,2026-04-17 23:41:39+00:00,1,684.0,36.0,0.6,7
4,115,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:24,Moussa Diabate misses two point tip layup,twopointmiss,0,,basketball_play,1776469303,528,True,2026-04-17 23:41:43+00:00,1,684.0,36.0,0.6,8
4,114,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:24,Hornets offensive rebound,rebound,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469303,527,True,2026-04-17 23:41:43+00:00,1,684.0,36.0,0.6,9
4,113,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:24,Franz Wagner personal foul (Loose ball) (Moussa Diabate draws the foul),personalfoul,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469306,526,True,2026-04-17 23:41:46+00:00,1,684.0,36.0,0.6,10
4,112,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:20,Miles Bridges offensive foul (Off the ball) (Jalen Suggs draws the foul),offensivefoul,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469330,525,True,2026-04-17 23:42:10+00:00,1,680.0,40.0,0.6666666666666666,11
4,111,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,11:20,Miles Bridges turnover (offensive foul),turnover,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469330,524,True,2026-04-17 23:42:10+00:00,1,680.0,40.0,0.6666666666666666,12
4,110,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:06,Paolo Banchero makes two point pullup jump shot,twopointmade,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469356,523,True,2026-04-17 23:42:36+00:00,1,666.0,54.0,0.9,13
4,109,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,10:51,Miles Bridges misses three point jump shot,threepointmiss,2,,basketball_play,1776469370,522,True,2026-04-17 23:42:50+00:00,1,651.0,69.0,1.15,14
4,108,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,10:48,Hornets offensive rebound,rebound,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469373,521,True,2026-04-17 23:42:53+00:00,1,648.0,72.0,1.2,15
4,107,quarter,1,,0,10:48,Stoppage (Out of bounds),stoppage,2,,basketball_play,1776469378,520,True,2026-04-17 23:42:58+00:00,1,648.0,72.0,1.2,16
4,106,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,2,10:45,Miles Bridges makes two point cutting dunk (LaMelo Ball assists),twopointmade,2,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469399,519,True,2026-04-17 23:43:19+00:00,1,645.0,75.0,1.25,17
4,105,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,10:31,Desmond Bane misses three point jump shot,threepointmiss,2,,basketball_play,1776469412,518,True,2026-04-17 23:43:32+00:00,1,631.0,89.0,1.4833333333333334,18
4,104,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,2,10:28,Moussa Diabate defensive rebound,rebound,2,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469415,517,True,2026-04-17 23:43:35+00:00,1,628.0,92.0,1.5333333333333334,19
4,103,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,2,10:22,Kon Knueppel misses two point pullup bank jump shot,twopointmiss,2,,basketball_play,1776469423,516,True,2026-04-17 23:43:43+00:00,1,622.0,98.0,1.6333333333333333,20
4,102,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,10:20,Desmond Bane defensive rebound,rebound,2,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469425,515,True,2026-04-17 23:43:45+00:00,1,620.0,100.0,1.6666666666666667,21
4,101,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,10:15,Desmond Bane makes two point running layup,twopointmade,4,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469431,514,True,2026-04-17 23:43:51+00:00,1,615.0,105.0,1.75,22
4,100,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,2,10:15,Moussa Diabate defensive goaltending violation,defensivegoaltending,4,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469437,513,True,2026-04-17 23:43:57+00:00,1,615.0,105.0,1.75,23
4,99,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,5,9:58,Brandon Miller makes three point pullup jump shot,threepointmade,4,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469459,512,True,2026-04-17 23:44:19+00:00,1,598.0,122.0,2.033333333333333,24
4,98,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:45,Paolo Banchero makes two point driving layup,twopointmade,6,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469472,511,True,2026-04-17 23:44:32+00:00,1,585.0,135.0,2.25,25
4,97,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,5,9:25,Paolo Banchero blocks Moussa Diabate's two point cutting layup,twopointmiss,6,,basketball_play,1776469492,510,True,2026-04-17 23:44:52+00:00,1,565.0,155.0,2.5833333333333335,26
4,96,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:21,Jalen Suggs defensive rebound,rebound,6,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469496,509,True,2026-04-17 23:44:56+00:00,1,561.0,159.0,2.65,27
4,95,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:15,Jalen Suggs makes two point pullup jump shot,twopointmade,8,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1776469501,508,True,2026-04-17 23:45:01+00:00,1,555.0,165.0,2.75,28
4,94,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,5,9:05,Miles Bridges misses three point jump shot,threepointmiss,8,,basketball_play,1776469513,507,True,2026-04-17 23:45:13+00:00,1,545.0,175.0,2.9166666666666665,29
4,93,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:02,Franz Wagner defensive rebound,rebound,8,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1776469515,506,True,2026-04-17 23:45:15+00:00,1,542.0,178.0,2.966666666666667,30
