ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:48:00+00:00,0.73,0.73,0.72,0.73,0.7299,0.73,0.72,0.73,116503.7,1375243.25,73.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:49:00+00:00,0.73,0.73,0.72,0.73,0.7298,0.73,0.72,0.73,272206.48,1641428.17,73.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:50:00+00:00,0.73,0.73,0.72,0.73,0.7299,0.73,0.73,0.74,97697.81,1737109.31,73.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:51:00+00:00,0.73,0.75,0.72,0.73,0.7349,0.73,0.72,0.73,151705.22,1878330.03,73.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:52:00+00:00,0.73,0.74,0.7,0.71,0.724,0.73,0.7,0.71,59186.62,1909092.53,71.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:53:00+00:00,0.71,0.71,0.67,0.71,0.6939,0.71,0.7,0.71,94731.43,1986932.16,71.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:54:00+00:00,0.71,0.71,0.66,0.69,0.6811,0.71,0.68,0.69,174636.43,2133669.49,69.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:55:00+00:00,0.69,0.7,0.68,0.69,0.6959,0.69,0.69,0.7,80862.09,2171834.75,69.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:56:00+00:00,0.7,0.75,0.69,0.75,0.744,0.69,0.74,0.75,96057.75,2263648.44,75.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:57:00+00:00,0.75,0.81,0.74,0.81,0.7799,0.75,0.8,0.81,92326.08,2343416.77,81.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:58:00+00:00,0.81,0.81,0.8,0.81,0.8096,0.81,0.8,0.81,202219.7,2531653.44,81.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 02:59:00+00:00,0.81,0.81,0.8,0.81,0.8059,0.81,0.8,0.81,112236.46,2503338.94,81.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:00:00+00:00,0.8,0.81,0.8,0.81,0.8088,0.81,0.8,0.81,19598.21,2518375.79,81.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:01:00+00:00,0.81,0.82,0.8,0.82,0.8091,0.81,0.82,0.83,63883.42,2546764.87,82.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:02:00+00:00,0.83,0.84,0.82,0.83,0.8379,0.82,0.82,0.83,79777.91,2613669.78,83.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:03:00+00:00,0.83,0.85,0.81,0.84,0.8347,0.83,0.84,0.85,82080.8,2682423.49,84.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:04:00+00:00,0.85,0.85,0.82,0.84,0.8388,0.84,0.83,0.84,148231.65,2825936.12,84.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:05:00+00:00,0.84,0.86,0.83,0.86,0.8552,0.84,0.85,0.86,106543.26,2866499.48,86.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:06:00+00:00,0.86,0.88,0.85,0.87,0.8649,0.86,0.86,0.87,143499.58,2996206.07,87.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:07:00+00:00,0.87,0.89,0.86,0.89,0.8702,0.87,0.89,0.9,48082.87,3034757.63,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:08:00+00:00,0.89,0.9,0.88,0.88,0.8876,0.89,0.87,0.88,95489.25,3067373.09,88.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:09:00+00:00,0.88,0.89,0.86,0.88,0.8767,0.88,0.88,0.89,146728.84,3150800.81,88.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:10:00+00:00,0.89,0.89,0.88,0.89,0.8867,0.88,0.88,0.89,66300.59,3184621.83,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:11:00+00:00,0.89,0.89,0.88,0.88,0.8885,0.89,0.88,0.89,73096.26,3236228.31,88.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:12:00+00:00,0.89,0.89,0.88,0.89,0.8897,0.88,0.88,0.89,40134.97,3274248.58,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:13:00+00:00,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.9,46538.92,3320367.54,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:14:00+00:00,0.9,0.91,0.89,0.91,0.9014,0.89,0.9,0.91,96134.44,3394307.99,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:15:00+00:00,0.91,0.92,0.9,0.91,0.9142,0.91,0.9,0.91,30486.76,3406463.33,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:16:00+00:00,0.91,0.92,0.88,0.89,0.8973,0.91,0.88,0.89,103886.82,3450080.88,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:17:00+00:00,0.89,0.9,0.88,0.89,0.8833,0.89,0.88,0.89,138059.32,3529272.81,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:18:00+00:00,0.89,0.91,0.88,0.91,0.8925,0.89,0.9,0.91,86108.05,3532548.66,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:19:00+00:00,0.91,0.91,0.9,0.91,0.9063,0.91,0.9,0.91,31441.55,3539156.67,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:20:00+00:00,0.9,0.91,0.89,0.91,0.9031,0.91,0.9,0.91,41349.42,3571171.28,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:21:00+00:00,0.91,0.91,0.89,0.9,0.8993,0.91,0.89,0.9,29693.11,3597971.45,90.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:22:00+00:00,0.9,0.9,0.89,0.9,0.8997,0.9,0.89,0.9,77134.56,3673178.2,90.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:23:00+00:00,0.9,0.9,0.89,0.9,0.8976,0.9,0.89,0.9,6068.53,3677980.71,90.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:24:00+00:00,0.9,0.9,0.89,0.9,0.8935,0.9,0.89,0.9,9082.75,3681157.23,90.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:25:00+00:00,0.9,0.93,0.89,0.93,0.9091,0.9,0.92,0.93,266668.13,3780289.69,93.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:26:00+00:00,0.92,0.93,0.9,0.91,0.9101,0.93,0.9,0.91,133621.04,3831170.91,91.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:27:00+00:00,0.91,0.91,0.9,0.9,0.9067,0.91,0.89,0.9,68524.33,3879074.45,90.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:28:00+00:00,0.9,0.9,0.88,0.89,0.8947,0.9,0.88,0.89,25561.86,3903398.33,89.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:29:00+00:00,0.89,0.89,0.85,0.85,0.8717,0.89,0.85,0.86,53703.74,3911708.27,85.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:30:00+00:00,0.86,0.86,0.84,0.84,0.8548,0.85,0.84,0.85,146481.4,4015976.5,84.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:31:00+00:00,0.85,0.85,0.84,0.85,0.8496,0.84,0.84,0.85,19615.61,4034067.13,85.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:32:00+00:00,0.85,0.86,0.84,0.85,0.8533,0.85,0.84,0.85,22367.7,4048513.35,85.0
KXNBAGAME-26APR20MINDEN-DEN,KXNBAGAME-26APR20MINDEN,,DEN,,2026-04-21 03:33:00+00:00,0.85,0.85,0.82,0.82,0.8374,0.85,0.82,0.83,50674.7,4081897.27,82.0
