period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,109,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,"Rockets lineup change (Josh Okogie, Alperen Sengun, Jabari Smith Jr., Amen Thompson, Kevin Durant)",lineupchange,0,,basketball_play,1776826052,469,True,2026-04-22 02:47:32+00:00,1,720.0,0.0,0.0,1
4,108,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,"Lakers lineup change (Rui Hachimura, Deandre Ayton, Marcus Smart, Luke Kennard, LeBron James)",lineupchange,0,,basketball_play,1776826052,468,True,2026-04-22 02:47:32+00:00,1,720.0,0.0,0.0,2
4,107,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1776826052,467,True,2026-04-22 02:47:32+00:00,1,720.0,0.0,0.0,3
4,106,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,Alperen Sengun vs. Deandre Ayton (Rui Hachimura gains possession),opentip,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826055,466,True,2026-04-22 02:47:35+00:00,1,720.0,0.0,0.0,4
4,105,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,11:34,Kevin Durant blocks Luke Kennard's two point fadeaway jump shot,twopointmiss,0,,basketball_play,1776826077,465,True,2026-04-22 02:47:57+00:00,1,694.0,26.0,0.43333333333333335,5
4,104,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:31,Alperen Sengun defensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826080,464,True,2026-04-22 02:48:00+00:00,1,691.0,29.0,0.48333333333333334,6
4,103,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:27,Alperen Sengun misses two point running layup,twopointmiss,0,,basketball_play,1776826084,463,True,2026-04-22 02:48:04+00:00,1,687.0,33.0,0.55,7
4,102,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:27,Alperen Sengun offensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826084,462,True,2026-04-22 02:48:04+00:00,1,687.0,33.0,0.55,8
4,101,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,3,11:24,Jabari Smith Jr. makes three point jump shot (Alperen Sengun assists),threepointmade,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826088,461,True,2026-04-22 02:48:08+00:00,1,684.0,36.0,0.6,9
4,100,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,3,11:03,Marcus Smart misses two point driving finger roll layup,twopointmiss,0,,basketball_play,1776826108,460,True,2026-04-22 02:48:28+00:00,1,663.0,57.0,0.95,10
4,99,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,3,11:01,Jabari Smith Jr. defensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826110,459,True,2026-04-22 02:48:30+00:00,1,661.0,59.0,0.9833333333333333,11
4,98,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,3,10:48,Josh Okogie misses three point jump shot,threepointmiss,0,,basketball_play,1776826123,458,True,2026-04-22 02:48:43+00:00,1,648.0,72.0,1.2,12
4,97,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,3,10:45,Kevin Durant offensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826126,457,True,2026-04-22 02:48:46+00:00,1,645.0,75.0,1.25,13
4,96,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,3,10:43,Kevin Durant turnover (bad pass) (LeBron James steals),turnover,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826132,456,True,2026-04-22 02:48:52+00:00,1,643.0,77.0,1.2833333333333334,14
4,95,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,3,10:37,LeBron James makes two point running finger roll layup,twopointmade,2,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826135,455,True,2026-04-22 02:48:55+00:00,1,637.0,83.0,1.3833333333333333,15
4,94,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,10:11,Amen Thompson makes two point fadeaway jump shot (Jabari Smith Jr. assists),twopointmade,2,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826160,454,True,2026-04-22 02:49:20+00:00,1,611.0,109.0,1.8166666666666667,16
4,93,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,5,9:58,Marcus Smart makes two point driving layup,twopointmade,4,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826174,453,True,2026-04-22 02:49:34+00:00,1,598.0,122.0,2.033333333333333,17
4,92,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,9:58,Amen Thompson shooting foul (Marcus Smart draws the foul),shootingfoul,4,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826177,452,True,2026-04-22 02:49:37+00:00,1,598.0,122.0,2.033333333333333,18
4,91,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,5,9:58,Marcus Smart makes regular free throw 1 of 1,freethrowmade,5,,basketball_play,1776826207,451,True,2026-04-22 02:50:07+00:00,1,598.0,122.0,2.033333333333333,19
4,90,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,9:50,Kevin Durant turnover (lost ball) (Marcus Smart steals),turnover,5,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826218,450,True,2026-04-22 02:50:18+00:00,1,590.0,130.0,2.1666666666666665,20
4,89,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,9:47,Kevin Durant shooting foul (LeBron James draws the foul),shootingfoul,5,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826223,449,True,2026-04-22 02:50:23+00:00,1,587.0,133.0,2.216666666666667,21
4,88,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,5,9:47,LeBron James misses regular free throw 1 of 2,freethrowmiss,5,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826260,448,True,2026-04-22 02:51:00+00:00,1,587.0,133.0,2.216666666666667,22
4,87,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,5,9:47,Lakers offensive rebound,rebound,5,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826260,447,True,2026-04-22 02:51:00+00:00,1,587.0,133.0,2.216666666666667,23
4,86,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,5,9:47,LeBron James makes regular free throw 2 of 2,freethrowmade,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826276,446,True,2026-04-22 02:51:16+00:00,1,587.0,133.0,2.216666666666667,24
4,85,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,9:24,Josh Okogie misses two point layup,twopointmiss,6,,basketball_play,1776826300,445,True,2026-04-22 02:51:40+00:00,1,564.0,156.0,2.6,25
4,84,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,5,9:21,Josh Okogie offensive rebound,rebound,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826303,444,True,2026-04-22 02:51:43+00:00,1,561.0,159.0,2.65,26
4,83,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,7,9:21,Josh Okogie makes two point tip layup,twopointmade,6,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826303,443,True,2026-04-22 02:51:43+00:00,1,561.0,159.0,2.65,27
4,82,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,7,9:10,LeBron James turnover (double dribble),turnover,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826317,442,True,2026-04-22 02:51:57+00:00,1,550.0,170.0,2.8333333333333335,28
4,81,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,7,8:56,Amen Thompson turnover (bad pass) (Marcus Smart steals),turnover,6,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826341,441,True,2026-04-22 02:52:21+00:00,1,536.0,184.0,3.066666666666667,29
4,80,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,7,8:51,Rui Hachimura misses three point running jump shot,threepointmiss,6,,basketball_play,1776826347,440,True,2026-04-22 02:52:27+00:00,1,531.0,189.0,3.15,30
4,79,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,7,8:47,Kevin Durant defensive rebound,rebound,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826351,439,True,2026-04-22 02:52:31+00:00,1,527.0,193.0,3.216666666666667,31
4,78,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,9,8:42,Kevin Durant makes two point pullup jump shot,twopointmade,6,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1776826356,438,True,2026-04-22 02:52:36+00:00,1,522.0,198.0,3.3,32
4,77,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,9,8:23,Marcus Smart makes three point pullup jump shot (LeBron James assists),threepointmade,9,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1776826374,437,True,2026-04-22 02:52:54+00:00,1,503.0,217.0,3.6166666666666667,33
4,76,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,9,8:00,Alperen Sengun misses two point floating jump shot,twopointmiss,9,,basketball_play,1776826398,436,True,2026-04-22 02:53:18+00:00,1,480.0,240.0,4.0,34
