ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:12:00+00:00,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,9832.0,1431945.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:13:00+00:00,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.34,14933.0,1446837.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:14:00+00:00,0.34,0.34,0.33,0.34,0.3397,0.34,0.33,0.35,17670.0,1464502.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:15:00+00:00,0.34,0.36,0.31,0.32,0.3372,0.34,0.31,0.32,55452.0,1518865.0,32.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:16:00+00:00,0.32,0.35,0.31,0.34,0.3364,0.32,0.33,0.34,33510.0,1551592.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:17:00+00:00,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.34,23085.0,1574505.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:18:00+00:00,0.34,0.34,0.33,0.34,0.3376,0.34,0.33,0.34,74752.0,1617033.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:19:00+00:00,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.34,22265.0,1639283.0,34.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:20:00+00:00,0.34,0.36,0.33,0.36,0.3424,0.34,0.35,0.36,28712.0,1662447.0,36.0
KXNBAGAME-26FEB01LALNYK-LAL,KXNBAGAME-26FEB01LALNYK,,LAL,,2026-02-02 00:21:00+00:00,0.36,0.4,0.36,0.4,0.3655,0.36,0.39,0.4,16906.0,1679012.0,40.0
