ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:42:00+00:00,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.85,4354.0,862859.0,85.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:43:00+00:00,0.85,0.85,0.84,0.85,0.8488,0.85,0.84,0.85,4456.0,867314.0,85.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:44:00+00:00,0.85,0.86,0.84,0.86,0.845,0.85,0.85,0.86,5079.0,872393.0,86.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:45:00+00:00,0.85,0.86,0.83,0.84,0.8469,0.86,0.83,0.84,13455.0,885848.0,84.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:46:00+00:00,0.84,0.84,0.8,0.8,0.8133,0.84,0.8,0.81,18015.0,903787.0,80.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:47:00+00:00,0.8,0.81,0.75,0.77,0.7853,0.8,0.76,0.77,28255.0,929233.0,77.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:48:00+00:00,0.77,0.79,0.76,0.78,0.7711,0.77,0.77,0.78,18152.0,946806.0,78.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:49:00+00:00,0.78,0.78,0.75,0.78,0.7654,0.78,0.77,0.78,17398.0,964134.0,78.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:50:00+00:00,0.78,0.79,0.78,0.78,0.7851,0.78,0.78,0.79,31541.0,994821.0,78.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:51:00+00:00,0.78,0.79,0.73,0.73,0.7669,0.78,0.73,0.74,50287.0,1043763.0,73.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:52:00+00:00,0.73,0.76,0.73,0.75,0.7387,0.73,0.74,0.75,27784.0,1071247.0,75.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:53:00+00:00,0.75,0.77,0.74,0.77,0.7544,0.75,0.74,0.75,26017.0,1095687.0,77.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:54:00+00:00,0.75,0.77,0.73,0.77,0.7409,0.77,0.76,0.78,38496.0,1091828.0,77.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:55:00+00:00,0.78,0.8,0.78,0.8,0.78,0.77,0.78,0.8,49929.0,1140638.0,80.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:56:00+00:00,0.79,0.8,0.78,0.8,0.7923,0.8,0.79,0.8,12188.0,1149534.0,80.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:57:00+00:00,0.8,0.8,0.79,0.79,0.7954,0.8,0.78,0.79,5014.0,1154548.0,79.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:58:00+00:00,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.79,2377.0,1156825.0,79.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 20:59:00+00:00,0.79,0.81,0.78,0.78,0.7976,0.79,0.78,0.79,7750.0,1162401.0,78.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 21:00:00+00:00,0.79,0.79,0.76,0.77,0.7781,0.78,0.76,0.77,13131.0,1168905.0,77.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 21:01:00+00:00,0.77,0.78,0.76,0.76,0.769,0.77,0.75,0.76,8664.0,1177487.0,76.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 21:02:00+00:00,0.76,0.76,0.74,0.75,0.7517,0.76,0.74,0.76,10530.0,1188004.0,75.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 21:03:00+00:00,0.75,0.79,0.74,0.79,0.756,0.75,0.8,0.81,15857.0,1192448.0,79.0
KXNBAGAME-26FEB01MILBOS-BOS,KXNBAGAME-26FEB01MILBOS,,BOS,,2026-02-01 21:04:00+00:00,0.81,0.82,0.79,0.79,0.7981,0.79,0.78,0.79,19904.0,1212288.0,79.0
