period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,114,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,12:00,"Grizzlies lineup change (Jaylen Wells, Olivier-Maxence Prosper, GG Jackson, Scotty Pippen Jr., Cedric Coward)",lineupchange,0,,basketball_play,1770433889,469,True,2026-02-07 03:11:29+00:00,1,720.0,0.0,0.0,1
4,113,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,12:00,"Trail Blazers lineup change (Jrue Holiday, Toumani Camara, Jerami Grant, Shaedon Sharpe, Donovan Clingan)",lineupchange,0,,basketball_play,1770433889,468,True,2026-02-07 03:11:29+00:00,1,720.0,0.0,0.0,2
4,112,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770433889,467,True,2026-02-07 03:11:29+00:00,1,720.0,0.0,0.0,3
4,111,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,12:00,Olivier-Maxence Prosper vs. Donovan Clingan (Toumani Camara gains possession),opentip,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770433891,466,True,2026-02-07 03:11:31+00:00,1,720.0,0.0,0.0,4
4,110,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:48,Jerami Grant misses three point jump shot,threepointmiss,0,,basketball_play,1770433900,465,True,2026-02-07 03:11:40+00:00,1,708.0,12.0,0.2,5
4,109,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:46,Cedric Coward defensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770433902,464,True,2026-02-07 03:11:42+00:00,1,706.0,14.0,0.23333333333333334,6
4,108,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:31,GG Jackson misses two point driving layup,twopointmiss,0,,basketball_play,1770433917,463,True,2026-02-07 03:11:57+00:00,1,691.0,29.0,0.48333333333333334,7
4,107,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:29,GG Jackson offensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770433919,462,True,2026-02-07 03:11:59+00:00,1,689.0,31.0,0.5166666666666667,8
4,106,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:20,Jaylen Wells misses three point jump shot,threepointmiss,0,,basketball_play,1770433928,461,True,2026-02-07 03:12:08+00:00,1,680.0,40.0,0.6666666666666666,9
4,105,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:17,Shaedon Sharpe defensive rebound,rebound,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770433931,460,True,2026-02-07 03:12:11+00:00,1,677.0,43.0,0.7166666666666667,10
4,104,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:03,Jrue Holiday misses two point turnaround bank jump shot,twopointmiss,0,,basketball_play,1770433946,459,True,2026-02-07 03:12:26+00:00,1,663.0,57.0,0.95,11
4,103,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,11:01,Donovan Clingan offensive rebound,rebound,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770433948,458,True,2026-02-07 03:12:28+00:00,1,661.0,59.0,0.9833333333333333,12
4,102,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,10:55,Toumani Camara misses three point jump shot,threepointmiss,0,,basketball_play,1770433953,457,True,2026-02-07 03:12:33+00:00,1,655.0,65.0,1.0833333333333333,13
4,101,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,10:51,Scotty Pippen Jr. defensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770433957,456,True,2026-02-07 03:12:37+00:00,1,651.0,69.0,1.15,14
4,100,quarter,1,,0,10:47,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770433964,455,True,2026-02-07 03:12:44+00:00,1,647.0,73.0,1.2166666666666666,15
4,99,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,0,10:38,Jrue Holiday personal foul (Jaylen Wells draws the foul),personalfoul,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770433982,454,True,2026-02-07 03:13:02+00:00,1,638.0,82.0,1.3666666666666667,16
4,98,quarter,1,,0,10:37,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770434004,453,True,2026-02-07 03:13:24+00:00,1,637.0,83.0,1.3833333333333333,17
4,97,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,3,10:31,Olivier-Maxence Prosper makes three point jump shot (Cedric Coward assists),threepointmade,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770434021,452,True,2026-02-07 03:13:41+00:00,1,631.0,89.0,1.4833333333333334,18
4,96,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,3,10:17,Jrue Holiday misses two point driving bank hook shot,twopointmiss,0,,basketball_play,1770434034,451,True,2026-02-07 03:13:54+00:00,1,617.0,103.0,1.7166666666666666,19
4,95,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,3,10:15,Cedric Coward defensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770434036,450,True,2026-02-07 03:13:56+00:00,1,615.0,105.0,1.75,20
4,94,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,6,10:09,Jaylen Wells makes three point running jump shot (GG Jackson assists),threepointmade,0,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770434042,449,True,2026-02-07 03:14:02+00:00,1,609.0,111.0,1.85,21
4,93,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,6,9:47,Toumani Camara makes three point jump shot (Shaedon Sharpe assists),threepointmade,3,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770434064,448,True,2026-02-07 03:14:24+00:00,1,587.0,133.0,2.216666666666667,22
4,92,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,6,9:32,Olivier-Maxence Prosper misses three point jump shot,threepointmiss,3,,basketball_play,1770434079,447,True,2026-02-07 03:14:39+00:00,1,572.0,148.0,2.466666666666667,23
4,91,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,6,9:28,Trail Blazers defensive rebound,rebound,3,2229b01e-68eb-46ad-adf4-71a9533c84fc,basketball_play,1770434083,446,True,2026-02-07 03:14:43+00:00,1,568.0,152.0,2.533333333333333,24
4,90,quarter,1,,6,9:28,Stoppage (Out of bounds),stoppage,3,,basketball_play,1770434087,445,True,2026-02-07 03:14:47+00:00,1,568.0,152.0,2.533333333333333,25
4,89,quarter,1,2229b01e-68eb-46ad-adf4-71a9533c84fc,6,9:13,Jerami Grant makes two point driving layup,twopointmade,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1770434106,444,True,2026-02-07 03:15:06+00:00,1,553.0,167.0,2.783333333333333,26
