ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:11:00+00:00,0.43,0.44,0.43,0.44,0.4382,0.44,0.43,0.44,2215.0,408678.0,44.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:12:00+00:00,0.44,0.45,0.44,0.45,0.4454,0.44,0.44,0.45,5506.0,414184.0,45.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:13:00+00:00,0.45,0.45,0.44,0.45,0.4419,0.45,0.44,0.45,16801.0,430967.0,45.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:14:00+00:00,0.45,0.49,0.44,0.49,0.4501,0.45,0.48,0.49,84330.0,515282.0,49.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:15:00+00:00,0.49,0.51,0.48,0.48,0.491,0.49,0.47,0.48,24457.0,539359.0,48.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:16:00+00:00,0.48,0.48,0.44,0.46,0.4557,0.48,0.45,0.46,5100.0,544078.0,46.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:17:00+00:00,0.46,0.46,0.43,0.43,0.4556,0.46,0.42,0.43,7495.0,551546.0,43.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:18:00+00:00,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.43,4170.0,555716.0,43.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:19:00+00:00,0.43,0.43,0.41,0.42,0.4197,0.43,0.4,0.42,7832.0,563320.0,42.0
KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,,CLE,,2026-02-10 02:20:00+00:00,0.41,0.41,0.34,0.34,0.3826,0.42,0.34,0.35,6667.0,568342.0,34.0
