ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:42:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,286.0,482107.0,70.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:43:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,1438.0,483545.0,70.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:44:00+00:00,0.7,0.7,0.69,0.69,0.6909,0.7,0.68,0.69,7645.0,491158.0,69.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:45:00+00:00,0.68,0.69,0.68,0.69,0.6898,0.69,0.68,0.69,1208.0,492346.0,69.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:46:00+00:00,0.69,0.7,0.68,0.7,0.6916,0.69,0.69,0.7,11454.0,503772.0,70.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:47:00+00:00,0.69,0.7,0.68,0.7,0.694,0.7,0.69,0.71,1024.0,504556.0,70.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:48:00+00:00,0.7,0.71,0.68,0.71,0.7032,0.7,0.7,0.71,1387.0,505740.0,71.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:49:00+00:00,0.71,0.72,0.71,0.72,0.7145,0.71,0.71,0.72,3782.0,509512.0,72.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:50:00+00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,2548.0,512060.0,72.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:51:00+00:00,0.72,0.72,0.71,0.72,0.72,0.72,0.71,0.72,2471.0,514530.0,72.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:52:00+00:00,0.72,0.72,0.71,0.72,0.7184,0.72,0.71,0.72,5045.0,519549.0,72.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:53:00+00:00,0.72,0.74,0.71,0.73,0.7286,0.72,0.72,0.73,4786.0,524011.0,73.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:54:00+00:00,0.73,0.73,0.72,0.73,0.73,0.73,0.72,0.73,14920.0,538890.0,73.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:55:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,1503.0,540393.0,73.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:56:00+00:00,0.74,0.75,0.73,0.75,0.7438,0.73,0.74,0.75,8150.0,548496.0,75.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:57:00+00:00,0.75,0.8,0.75,0.8,0.7689,0.75,0.79,0.8,16637.0,562550.0,80.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:58:00+00:00,0.8,0.84,0.79,0.84,0.8074,0.8,0.83,0.84,16814.0,578811.0,84.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 00:59:00+00:00,0.84,0.89,0.84,0.89,0.8683,0.84,0.87,0.89,10651.0,588041.0,89.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:00:00+00:00,0.88,0.9,0.86,0.89,0.8886,0.89,0.88,0.89,71778.0,646409.0,89.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:01:00+00:00,0.88,0.9,0.88,0.89,0.8884,0.89,0.88,0.89,14837.0,658479.0,89.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:02:00+00:00,0.88,0.89,0.84,0.85,0.8596,0.89,0.84,0.85,10932.0,663541.0,85.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:03:00+00:00,0.85,0.85,0.83,0.84,0.8396,0.85,0.83,0.84,4940.0,668350.0,84.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:04:00+00:00,0.84,0.84,0.83,0.84,0.84,0.84,0.83,0.84,6131.0,674476.0,84.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:05:00+00:00,0.83,0.85,0.83,0.83,0.8475,0.84,0.83,0.84,3560.0,677764.0,83.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:06:00+00:00,0.84,0.84,0.8,0.81,0.8171,0.83,0.8,0.81,3718.0,681369.0,81.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:07:00+00:00,0.81,0.81,0.78,0.81,0.8091,0.81,0.8,0.81,12181.0,691659.0,81.0
KXNBAGAME-26FEB09UTAMIA-MIA,KXNBAGAME-26FEB09UTAMIA,,MIA,,2026-02-10 01:08:00+00:00,0.81,0.85,0.8,0.82,0.8268,0.81,0.81,0.83,11403.0,701111.0,82.0
