ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:11:00+00:00,0.34,0.34,0.33,0.34,0.3398,0.33,0.33,0.34,1312.0,100332.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:12:00+00:00,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,237.0,100569.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:13:00+00:00,0.34,0.36,0.34,0.35,0.348,0.34,0.33,0.35,1535.0,102048.0,35.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:14:00+00:00,0.35,0.36,0.33,0.34,0.3508,0.35,0.33,0.34,1818.0,103090.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:15:00+00:00,0.34,0.37,0.34,0.34,0.3528,0.34,0.33,0.34,649.0,103695.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:16:00+00:00,0.34,0.34,0.33,0.34,0.3387,0.34,0.33,0.34,265.0,103960.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:17:00+00:00,0.33,0.34,0.32,0.34,0.3285,0.34,0.33,0.34,6678.0,110388.0,34.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:18:00+00:00,0.34,0.34,0.31,0.31,0.338,0.34,0.3,0.31,846.0,111170.0,31.0
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:19:00+00:00,0.31,0.31,0.28,0.29,0.3014,0.31,0.28,0.29,171.0,111294.0,28.999999999999996
KXNBAGAME-26FEB11SACUTA-SAC,KXNBAGAME-26FEB11SACUTA,,SAC,,2026-02-12 02:20:00+00:00,0.28,0.34,0.28,0.34,0.3156,0.29,0.33,0.34,6659.0,117414.0,34.0
