ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:14:00+00:00,0.53,0.53,0.51,0.53,0.5254,0.53,0.51,0.53,14746.0,1878605.0,53.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:15:00+00:00,0.53,0.53,0.52,0.53,0.53,0.53,0.52,0.53,44417.0,1922924.0,53.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:16:00+00:00,0.53,0.54,0.51,0.51,0.526,0.53,0.5,0.51,34830.0,1954307.0,51.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:17:00+00:00,0.51,0.52,0.4,0.42,0.4632,0.51,0.4,0.42,135250.0,2079938.0,42.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:18:00+00:00,0.42,0.48,0.4,0.48,0.4537,0.42,0.47,0.48,84423.0,2160646.0,48.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:19:00+00:00,0.48,0.56,0.47,0.56,0.493,0.48,0.54,0.56,48018.0,2207510.0,56.00000000000001
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:20:00+00:00,0.54,0.61,0.54,0.58,0.5799,0.56,0.56,0.57,75333.0,2261930.0,57.99999999999999
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:21:00+00:00,0.57,0.58,0.55,0.58,0.5627,0.58,0.56,0.58,55856.0,2317430.0,57.99999999999999
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:22:00+00:00,0.58,0.62,0.57,0.62,0.6092,0.58,0.61,0.62,52771.0,2353708.0,62.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:23:00+00:00,0.62,0.63,0.6,0.62,0.6224,0.62,0.61,0.62,53651.0,2401263.0,62.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:24:00+00:00,0.62,0.63,0.6,0.63,0.6223,0.62,0.62,0.63,115700.0,2487374.0,63.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:25:00+00:00,0.63,0.65,0.62,0.63,0.6316,0.63,0.62,0.63,65051.0,2542419.0,63.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:26:00+00:00,0.62,0.71,0.62,0.7,0.6763,0.63,0.68,0.7,88583.0,2617096.0,70.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:27:00+00:00,0.7,0.76,0.68,0.74,0.7146,0.7,0.72,0.74,81985.0,2678327.0,74.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:28:00+00:00,0.74,0.76,0.72,0.74,0.7458,0.74,0.72,0.73,139829.0,2805660.0,74.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:29:00+00:00,0.73,0.74,0.71,0.71,0.7342,0.74,0.7,0.71,60853.0,2864341.0,71.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:30:00+00:00,0.71,0.73,0.65,0.73,0.6858,0.71,0.71,0.72,52606.0,2905862.0,73.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:31:00+00:00,0.72,0.76,0.72,0.75,0.7471,0.73,0.74,0.75,86209.0,2923107.0,75.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:32:00+00:00,0.75,0.76,0.74,0.76,0.759,0.75,0.75,0.76,48743.0,2966811.0,76.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:33:00+00:00,0.75,0.76,0.74,0.76,0.7574,0.76,0.74,0.76,40250.0,2996677.0,76.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:34:00+00:00,0.76,0.79,0.73,0.78,0.757,0.76,0.77,0.78,54013.0,3041567.0,78.0
KXNBAGAME-26FEB20DENPOR-DEN,KXNBAGAME-26FEB20DENPOR,,DEN,,2026-02-21 03:35:00+00:00,0.78,0.8,0.75,0.77,0.7786,0.78,0.75,0.77,80901.0,3117800.0,77.0
