period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,89,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Derrick Jones Jr., Kawhi Leonard, Brook Lopez, John Collins, Kris Dunn)",lineupchange,0,,basketball_play,1771643750.0,469,True,2026-02-21 03:15:50+00:00,1,720.0,0.0,0.0,1
4,88,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,"Lakers lineup change (Deandre Ayton, Luka Doncic, Austin Reaves, Marcus Smart, LeBron James)",lineupchange,0,,basketball_play,1771643750.0,468,True,2026-02-21 03:15:50+00:00,1,720.0,0.0,0.0,2
4,87,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771643750.0,467,True,2026-02-21 03:15:50+00:00,1,720.0,0.0,0.0,3
4,86,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,Brook Lopez vs. Deandre Ayton (LeBron James gains possession),opentip,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1771643767.0,466,True,2026-02-21 03:16:07+00:00,1,720.0,0.0,0.0,4
4,85,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,11:43,Luka Doncic misses two point driving layup,twopointmiss,0,,basketball_play,1771643779.0,465,True,2026-02-21 03:16:19+00:00,1,703.0,17.0,0.2833333333333333,5
4,84,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:41,Kris Dunn defensive rebound,rebound,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771643781.0,464,True,2026-02-21 03:16:21+00:00,1,701.0,19.0,0.31666666666666665,6
4,83,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:27,Kawhi Leonard turnover (bad pass) (LeBron James steals),turnover,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1771643796.0,463,True,2026-02-21 03:16:36+00:00,1,687.0,33.0,0.55,7
4,82,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,11:23,Deandre Ayton turnover (out of bounds lost ball),turnover,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771643800.0,462,True,2026-02-21 03:16:40+00:00,1,683.0,37.0,0.6166666666666667,8
4,81,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,11:06,Brook Lopez makes two point hook shot (Kawhi Leonard assists),twopointmade,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1771643825.0,461,True,2026-02-21 03:17:05+00:00,1,666.0,54.0,0.9,9
4,80,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,10:49,Luka Doncic misses three point stepback jump shot,threepointmiss,0,,basketball_play,1771643842.0,460,True,2026-02-21 03:17:22+00:00,1,649.0,71.0,1.1833333333333333,10
