ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:09:00+00:00,0.57,0.57,0.56,0.56,0.5699,0.57,0.56,0.57,176.0,288837.0,56.00000000000001
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:10:00+00:00,0.57,0.57,0.56,0.56,0.5623,0.56,0.55,0.56,2807.0,291221.0,56.00000000000001
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:11:00+00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.56,659.0,291880.0,56.00000000000001
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:12:00+00:00,0.56,0.58,0.56,0.56,0.5652,0.56,0.55,0.56,1986.0,293866.0,56.00000000000001
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:13:00+00:00,0.56,0.56,0.55,0.55,0.5528,0.56,0.54,0.55,413.0,294279.0,55.00000000000001
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:14:00+00:00,0.54,0.55,0.52,0.52,0.5425,0.55,0.51,0.52,18577.0,308553.0,52.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:15:00+00:00,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.52,3338.0,310410.0,51.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:16:00+00:00,0.52,0.54,0.52,0.54,0.5355,0.51,0.53,0.54,1907.0,312031.0,54.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:17:00+00:00,0.54,0.54,0.53,0.54,0.538,0.54,0.53,0.54,1920.0,313951.0,54.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:18:00+00:00,0.54,0.54,0.49,0.49,0.5209,0.54,0.48,0.49,13977.0,326095.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:19:00+00:00,0.49,0.49,0.48,0.49,0.4884,0.49,0.48,0.49,3035.0,326602.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:20:00+00:00,0.49,0.49,0.48,0.49,0.4834,0.49,0.48,0.49,1542.0,327111.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:21:00+00:00,0.49,0.51,0.49,0.51,0.5006,0.49,0.5,0.51,2371.0,329107.0,51.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:22:00+00:00,0.51,0.51,0.5,0.51,0.5082,0.51,0.5,0.51,1608.0,330483.0,51.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:23:00+00:00,0.51,0.52,0.51,0.52,0.5171,0.51,0.51,0.52,1814.0,331967.0,52.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:24:00+00:00,0.52,0.52,0.51,0.51,0.5105,0.52,0.5,0.51,4901.0,336860.0,51.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:25:00+00:00,0.51,0.51,0.47,0.47,0.4821,0.51,0.46,0.47,9317.0,345880.0,47.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:26:00+00:00,0.47,0.5,0.47,0.5,0.4954,0.47,0.49,0.5,1318.0,346998.0,50.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:27:00+00:00,0.49,0.5,0.49,0.5,0.4999,0.5,0.49,0.5,856.0,347846.0,50.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:28:00+00:00,0.5,0.5,0.49,0.49,0.4907,0.5,0.48,0.49,2419.0,350075.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:29:00+00:00,0.49,0.49,0.45,0.47,0.4781,0.49,0.47,0.48,11287.0,350672.0,47.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:30:00+00:00,0.48,0.5,0.47,0.49,0.4929,0.47,0.48,0.49,16271.0,366933.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:31:00+00:00,0.49,0.53,0.49,0.49,0.4986,0.49,0.48,0.5,4033.0,368571.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:32:00+00:00,0.5,0.51,0.49,0.49,0.5052,0.49,0.49,0.5,2487.0,371057.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:33:00+00:00,0.5,0.52,0.49,0.52,0.5024,0.49,0.5,0.52,1772.0,372405.0,52.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:34:00+00:00,0.52,0.52,0.49,0.49,0.5108,0.52,0.48,0.49,1195.0,373450.0,49.0
KXNBAGAME-26FEB20UTAMEM-MEM,KXNBAGAME-26FEB20UTAMEM,,MEM,,2026-02-21 00:35:00+00:00,0.49,0.49,0.43,0.43,0.451,0.49,0.42,0.43,3295.0,374885.0,43.0
