period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,120,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,"Kings lineup change (Keegan Murray, DeMar DeRozan, Russell Westbrook, Maxime Raynaud, Precious Achiuwa)",lineupchange,0,,basketball_play,1771722625,492,True,2026-02-22 01:10:25+00:00,1,720.0,0.0,0.0,1
4,119,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,"Spurs lineup change (De'Aaron Fox, Victor Wembanyama, Julian Champagnie, Devin Vassell, Stephon Castle)",lineupchange,0,,basketball_play,1771722625,491,True,2026-02-22 01:10:25+00:00,1,720.0,0.0,0.0,2
4,118,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771722625,490,True,2026-02-22 01:10:25+00:00,1,720.0,0.0,0.0,3
4,117,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,Maxime Raynaud vs. Victor Wembanyama (Stephon Castle gains possession),opentip,0,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1771722626,489,True,2026-02-22 01:10:26+00:00,1,720.0,0.0,0.0,4
4,116,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:45,De'Aaron Fox makes two point stepback jump shot,twopointmade,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771722638,488,True,2026-02-22 01:10:38+00:00,1,705.0,15.0,0.25,5
4,115,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,11:30,Maxime Raynaud misses two point floating jump shot,twopointmiss,2,,basketball_play,1771722654,487,True,2026-02-22 01:10:54+00:00,1,690.0,30.0,0.5,6
4,114,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,11:24,Maxime Raynaud offensive rebound,rebound,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771722659,486,True,2026-02-22 01:10:59+00:00,1,684.0,36.0,0.6,7
4,113,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,11:24,Victor Wembanyama blocks Maxime Raynaud's two point tip layup,twopointmiss,2,,basketball_play,1771722659,485,True,2026-02-22 01:10:59+00:00,1,684.0,36.0,0.6,8
4,112,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:23,Stephon Castle defensive rebound,rebound,2,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1771722660,484,True,2026-02-22 01:11:00+00:00,1,683.0,37.0,0.6166666666666667,9
4,111,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:16,Victor Wembanyama makes two point driving floating jump shot (De'Aaron Fox assists),twopointmade,4,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771722667,483,True,2026-02-22 01:11:07+00:00,1,676.0,44.0,0.7333333333333333,10
