period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,108,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,"Magic lineup change (Wendell Carter Jr., Desmond Bane, Tristan da Silva, Paolo Banchero, Anthony Black)",lineupchange,0,,basketball_play,1771812620,476,True,2026-02-23 02:10:20+00:00,1,720.0,0.0,0.0,1
4,107,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Derrick Jones Jr., Kawhi Leonard, Brook Lopez, Kobe Sanders, Kris Dunn)",lineupchange,0,,basketball_play,1771812620,475,True,2026-02-23 02:10:20+00:00,1,720.0,0.0,0.0,2
4,106,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771812620,474,True,2026-02-23 02:10:20+00:00,1,720.0,0.0,0.0,3
4,105,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,Wendell Carter Jr. vs. Brook Lopez (Kawhi Leonard gains possession),opentip,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812623,473,True,2026-02-23 02:10:23+00:00,1,720.0,0.0,0.0,4
4,104,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:33,Kawhi Leonard misses three point jump shot,threepointmiss,0,,basketball_play,1771812646,472,True,2026-02-23 02:10:46+00:00,1,693.0,27.0,0.45,5
4,103,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:31,Wendell Carter Jr. defensive rebound,rebound,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812648,471,True,2026-02-23 02:10:48+00:00,1,691.0,29.0,0.48333333333333334,6
4,102,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,11:25,Anthony Black turnover (bad pass) (Kawhi Leonard steals),turnover,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812654,470,True,2026-02-23 02:10:54+00:00,1,685.0,35.0,0.5833333333333334,7
4,101,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:21,Kawhi Leonard makes two point running dunk (Derrick Jones Jr. assists),twopointmade,2,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812658,469,True,2026-02-23 02:10:58+00:00,1,681.0,39.0,0.65,8
4,100,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,11:02,Wendell Carter Jr. makes two point layup (Paolo Banchero assists),twopointmade,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812677,468,True,2026-02-23 02:11:17+00:00,1,662.0,58.0,0.9666666666666667,9
4,99,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,10:49,Wendell Carter Jr. personal foul (Brook Lopez draws the foul),personalfoul,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812694,467,True,2026-02-23 02:11:34+00:00,1,649.0,71.0,1.1833333333333333,10
4,98,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,10:43,Brook Lopez makes three point jump shot (Kawhi Leonard assists),threepointmade,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812714,466,True,2026-02-23 02:11:54+00:00,1,643.0,77.0,1.2833333333333334,11
4,97,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,10:23,Tristan da Silva makes three point jump shot (Paolo Banchero assists),threepointmade,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812734,465,True,2026-02-23 02:12:14+00:00,1,623.0,97.0,1.6166666666666667,12
4,96,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,5,9:56,Brook Lopez misses two point fadeaway jump shot,twopointmiss,5,,basketball_play,1771812761,464,True,2026-02-23 02:12:41+00:00,1,596.0,124.0,2.066666666666667,13
4,95,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,5,9:56,Clippers offensive rebound,rebound,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812761,463,True,2026-02-23 02:12:41+00:00,1,596.0,124.0,2.066666666666667,14
4,94,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,5,9:56,Clippers turnover (shot clock violation),turnover,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812766,462,True,2026-02-23 02:12:46+00:00,1,596.0,124.0,2.066666666666667,15
4,93,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:37,Kawhi Leonard blocks Tristan da Silva's three point jump shot,threepointmiss,5,,basketball_play,1771812792,461,True,2026-02-23 02:13:12+00:00,1,577.0,143.0,2.3833333333333333,16
4,92,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,9:36,Tristan da Silva offensive rebound,rebound,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812793,460,True,2026-02-23 02:13:13+00:00,1,576.0,144.0,2.4,17
4,91,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,5,9:36,Brook Lopez shooting foul (Tristan da Silva draws the foul),shootingfoul,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812797,459,True,2026-02-23 02:13:17+00:00,1,576.0,144.0,2.4,18
4,90,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,6,9:36,Tristan da Silva makes regular free throw 1 of 2,freethrowmade,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812825,458,True,2026-02-23 02:13:45+00:00,1,576.0,144.0,2.4,19
4,89,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,7,9:36,Tristan da Silva makes regular free throw 2 of 2,freethrowmade,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812841,457,True,2026-02-23 02:14:01+00:00,1,576.0,144.0,2.4,20
4,88,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,7,9:15,Kawhi Leonard misses two point pullup jump shot,twopointmiss,5,,basketball_play,1771812863,456,True,2026-02-23 02:14:23+00:00,1,555.0,165.0,2.75,21
4,87,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,7,9:14,Magic defensive rebound,rebound,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812864,455,True,2026-02-23 02:14:24+00:00,1,554.0,166.0,2.7666666666666666,22
4,86,quarter,1,,7,9:14,Stoppage (Out of bounds),stoppage,5,,basketball_play,1771812868,454,True,2026-02-23 02:14:28+00:00,1,554.0,166.0,2.7666666666666666,23
4,85,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,9,9:00,Wendell Carter Jr. makes two point cutting layup (Paolo Banchero assists),twopointmade,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812884,453,True,2026-02-23 02:14:44+00:00,1,540.0,180.0,3.0,24
4,84,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,9,8:48,Kobe Sanders misses three point jump shot,threepointmiss,5,,basketball_play,1771812895,452,True,2026-02-23 02:14:55+00:00,1,528.0,192.0,3.2,25
4,83,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,9,8:46,Paolo Banchero defensive rebound,rebound,5,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812897,451,True,2026-02-23 02:14:57+00:00,1,526.0,194.0,3.2333333333333334,26
4,82,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,9,8:38,Derrick Jones Jr. blocks Paolo Banchero's two point pullup jump shot,twopointmiss,5,,basketball_play,1771812906,450,True,2026-02-23 02:15:06+00:00,1,518.0,202.0,3.3666666666666667,27
4,81,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,9,8:36,Kawhi Leonard defensive rebound,rebound,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812908,449,True,2026-02-23 02:15:08+00:00,1,516.0,204.0,3.4,28
4,80,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,9,8:34,Kobe Sanders makes two point running dunk (Kawhi Leonard assists),twopointmade,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812910,448,True,2026-02-23 02:15:10+00:00,1,514.0,206.0,3.433333333333333,29
4,79,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,9,8:20,Kawhi Leonard shooting foul (Desmond Bane draws the foul),shootingfoul,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812927,447,True,2026-02-23 02:15:27+00:00,1,500.0,220.0,3.6666666666666665,30
4,78,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,10,8:20,Desmond Bane makes regular free throw 1 of 2,freethrowmade,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812951,446,True,2026-02-23 02:15:51+00:00,1,500.0,220.0,3.6666666666666665,31
4,77,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,11,8:20,Desmond Bane makes regular free throw 2 of 2,freethrowmade,7,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812969,445,True,2026-02-23 02:16:09+00:00,1,500.0,220.0,3.6666666666666665,32
4,76,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,11,8:06,Kawhi Leonard misses two point pullup jump shot,twopointmiss,7,,basketball_play,1771812985,444,True,2026-02-23 02:16:25+00:00,1,486.0,234.0,3.9,33
4,75,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,11,8:03,Wendell Carter Jr. defensive rebound,rebound,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771812988,443,True,2026-02-23 02:16:28+00:00,1,483.0,237.0,3.95,34
4,74,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,13,7:54,Desmond Bane makes two point pullup jump shot (Tristan da Silva assists),twopointmade,7,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771812997,442,True,2026-02-23 02:16:37+00:00,1,474.0,246.0,4.1,35
4,73,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,13,7:39,Derrick Jones Jr. misses two point driving floating bank jump shot,twopointmiss,7,,basketball_play,1771813013,441,True,2026-02-23 02:16:53+00:00,1,459.0,261.0,4.35,36
4,72,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,13,7:37,Wendell Carter Jr. defensive rebound,rebound,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771813015,440,True,2026-02-23 02:16:55+00:00,1,457.0,263.0,4.383333333333334,37
4,71,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,13,7:30,Paolo Banchero turnover (bad pass) (Kawhi Leonard steals),turnover,7,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1771813023,439,True,2026-02-23 02:17:03+00:00,1,450.0,270.0,4.5,38
4,70,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,13,7:28,Kawhi Leonard turnover (out of bounds step),turnover,7,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1771813030,438,True,2026-02-23 02:17:10+00:00,1,448.0,272.0,4.533333333333333,39
4,69,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,13,7:28,"Magic lineup change (Wendell Carter Jr., Tristan da Silva, Paolo Banchero, Jett Howard, Anthony Black)",lineupchange,7,,basketball_play,1771813052,437,True,2026-02-23 02:17:32+00:00,1,448.0,272.0,4.533333333333333,40
