period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,125,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,"Jazz lineup change (Lauri Markkanen, Cody Williams, Kyle Filipowski, Ace Bailey, Isaiah Collier)",lineupchange,0,,basketball_play,1771900991,477,True,2026-02-24 02:43:11+00:00,1,720.0,0.0,0.0,1
4,124,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,"Rockets lineup change (Alperen Sengun, Tari Eason, Jabari Smith Jr., Amen Thompson, Kevin Durant)",lineupchange,0,,basketball_play,1771900991,476,True,2026-02-24 02:43:11+00:00,1,720.0,0.0,0.0,2
4,123,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771900991,475,True,2026-02-24 02:43:11+00:00,1,720.0,0.0,0.0,3
4,122,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,Kyle Filipowski vs. Alperen Sengun (Jabari Smith Jr. gains possession),opentip,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771900994,474,True,2026-02-24 02:43:14+00:00,1,720.0,0.0,0.0,4
4,121,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:40,Jabari Smith Jr. makes three point jump shot (Kevin Durant assists),threepointmade,3,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901010,473,True,2026-02-24 02:43:30+00:00,1,700.0,20.0,0.3333333333333333,5
4,120,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,11:16,Lauri Markkanen makes two point driving floating jump shot (Kyle Filipowski assists),twopointmade,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901034,472,True,2026-02-24 02:43:54+00:00,1,676.0,44.0,0.7333333333333333,6
4,119,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,10:53,Tari Eason turnover (bad pass) (Kyle Filipowski steals),turnover,3,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901057,471,True,2026-02-24 02:44:17+00:00,1,653.0,67.0,1.1166666666666667,7
4,118,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:48,Cody Williams makes two point running finger roll layup (Kyle Filipowski assists),twopointmade,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901063,470,True,2026-02-24 02:44:23+00:00,1,648.0,72.0,1.2,8
4,117,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:33,Alperen Sengun turnover (bad pass) (Ace Bailey steals),turnover,3,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901079,469,True,2026-02-24 02:44:39+00:00,1,633.0,87.0,1.45,9
4,116,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:32,Kyle Filipowski turnover (out of bounds step),turnover,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901085,468,True,2026-02-24 02:44:45+00:00,1,632.0,88.0,1.4666666666666666,10
4,115,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:22,Kyle Filipowski blocks Alperen Sengun's two point driving hook shot,twopointmiss,3,,basketball_play,1771901109,467,True,2026-02-24 02:45:09+00:00,1,622.0,98.0,1.6333333333333333,11
4,114,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:18,Isaiah Collier defensive rebound,rebound,3,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901113,466,True,2026-02-24 02:45:13+00:00,1,618.0,102.0,1.7,12
4,113,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:14,Kyle Filipowski misses two point running pullup jump shot,twopointmiss,3,,basketball_play,1771901117,465,True,2026-02-24 02:45:17+00:00,1,614.0,106.0,1.7666666666666666,13
4,112,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:12,Amen Thompson defensive rebound,rebound,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901119,464,True,2026-02-24 02:45:19+00:00,1,612.0,108.0,1.8,14
4,111,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:12,Amen Thompson turnover (out of bounds lost ball),turnover,3,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901121,463,True,2026-02-24 02:45:21+00:00,1,612.0,108.0,1.8,15
4,110,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:09,Lauri Markkanen misses three point jump shot,threepointmiss,3,,basketball_play,1771901136,462,True,2026-02-24 02:45:36+00:00,1,609.0,111.0,1.85,16
4,109,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:07,Alperen Sengun defensive rebound,rebound,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901138,461,True,2026-02-24 02:45:38+00:00,1,607.0,113.0,1.8833333333333333,17
4,108,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:03,Isaiah Collier shooting foul (Amen Thompson draws the foul),shootingfoul,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901145,460,True,2026-02-24 02:45:45+00:00,1,603.0,117.0,1.95,18
4,107,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:03,Amen Thompson misses regular free throw 1 of 2,freethrowmiss,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901164,459,True,2026-02-24 02:46:04+00:00,1,603.0,117.0,1.95,19
4,106,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:03,Rockets offensive rebound,rebound,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1771901164,458,True,2026-02-24 02:46:04+00:00,1,603.0,117.0,1.95,20
4,105,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:03,Amen Thompson makes regular free throw 2 of 2,freethrowmade,4,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1771901164,457,True,2026-02-24 02:46:04+00:00,1,603.0,117.0,1.95,21
