ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:39:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,336.0,110333.0,86.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:40:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,160.0,110493.0,86.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:41:00+00:00,0.86,0.86,0.85,0.85,0.8501,0.86,0.84,0.85,2798.0,112329.0,85.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:42:00+00:00,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.85,213.0,112542.0,85.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:43:00+00:00,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.85,86.0,112628.0,85.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:44:00+00:00,0.85,0.87,0.85,0.87,0.8513,0.85,0.86,0.87,51096.0,163472.0,87.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:45:00+00:00,0.87,0.89,0.87,0.89,0.8756,0.87,0.88,0.89,957.0,164429.0,89.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:46:00+00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,960.0,165239.0,89.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:47:00+00:00,0.89,0.89,0.88,0.88,0.8899,0.89,0.88,0.89,592.0,165826.0,88.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:48:00+00:00,0.89,0.89,0.88,0.88,0.8806,0.88,0.87,0.88,1288.0,166943.0,88.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:49:00+00:00,0.88,0.89,0.87,0.89,0.8806,0.88,0.88,0.89,1771.0,168514.0,89.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:50:00+00:00,0.89,0.89,0.86,0.87,0.8762,0.89,0.86,0.87,1371.0,169680.0,87.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:51:00+00:00,0.86,0.87,0.86,0.87,0.86,0.87,0.87,0.89,1708.0,171183.0,87.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:52:00+00:00,0.87,0.88,0.85,0.88,0.862,0.87,0.85,0.87,35764.0,186610.0,88.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:53:00+00:00,0.85,0.85,0.84,0.84,0.8404,0.88,0.84,0.85,771.0,187067.0,84.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:54:00+00:00,0.86,0.89,0.85,0.89,0.8777,0.84,0.88,0.89,8659.0,195147.0,89.0
KXNBAGAME-26FEB24WASATL-ATL,KXNBAGAME-26FEB24WASATL,,ATL,,2026-02-25 00:55:00+00:00,0.89,0.89,0.88,0.88,0.8808,0.89,0.87,0.88,778.0,195655.0,88.0
