ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:41:00+00:00,0.67,0.67,0.66,0.67,0.6698,0.67,0.66,0.67,1189.0,1157221.0,67.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:42:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,54726.0,1211947.0,67.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:43:00+00:00,0.67,0.69,0.67,0.68,0.6737,0.67,0.67,0.68,14541.0,1223191.0,68.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:44:00+00:00,0.68,0.71,0.68,0.71,0.6954,0.68,0.7,0.71,19404.0,1242330.0,71.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:45:00+00:00,0.71,0.73,0.7,0.73,0.7153,0.71,0.73,0.74,41320.0,1275276.0,73.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:46:00+00:00,0.74,0.79,0.73,0.73,0.7484,0.73,0.72,0.73,32174.0,1302391.0,73.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:47:00+00:00,0.73,0.76,0.72,0.73,0.7384,0.73,0.72,0.73,28198.0,1328742.0,73.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:48:00+00:00,0.73,0.75,0.71,0.72,0.7292,0.73,0.71,0.72,34344.0,1362527.0,72.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:49:00+00:00,0.72,0.72,0.71,0.72,0.72,0.72,0.71,0.72,37933.0,1400184.0,72.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:50:00+00:00,0.72,0.72,0.71,0.72,0.72,0.72,0.71,0.72,24500.0,1424663.0,72.0
KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,,SAS,,2026-02-26 00:51:00+00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,5588.0,1430251.0,72.0
