ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:15:00+00:00,0.25,0.25,0.24,0.25,0.2499,0.25,0.24,0.25,5344.0,331745.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:16:00+00:00,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,3651.0,335367.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:17:00+00:00,0.25,0.25,0.22,0.22,0.2418,0.25,0.21,0.22,8806.0,343789.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:18:00+00:00,0.22,0.23,0.21,0.21,0.2168,0.22,0.2,0.21,8048.0,347530.0,21.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:19:00+00:00,0.2,0.25,0.2,0.25,0.2374,0.21,0.24,0.25,6626.0,351651.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:20:00+00:00,0.25,0.28,0.25,0.28,0.2635,0.25,0.27,0.28,27624.0,376629.0,28.000000000000004
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:21:00+00:00,0.28,0.32,0.28,0.31,0.3065,0.28,0.31,0.32,11644.0,387448.0,31.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:22:00+00:00,0.32,0.32,0.27,0.29,0.2884,0.31,0.28,0.29,19104.0,405446.0,28.999999999999996
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:23:00+00:00,0.29,0.33,0.28,0.29,0.2946,0.29,0.29,0.3,15404.0,414523.0,28.999999999999996
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:24:00+00:00,0.3,0.3,0.27,0.28,0.2909,0.29,0.27,0.28,13412.0,427596.0,28.000000000000004
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:25:00+00:00,0.28,0.28,0.26,0.27,0.2705,0.28,0.26,0.27,11799.0,436472.0,27.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:26:00+00:00,0.27,0.27,0.26,0.27,0.2698,0.27,0.26,0.27,23764.0,459450.0,27.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:27:00+00:00,0.27,0.28,0.27,0.28,0.2763,0.27,0.27,0.28,29747.0,489197.0,28.000000000000004
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:28:00+00:00,0.28,0.28,0.26,0.26,0.2751,0.28,0.25,0.26,11434.0,496723.0,26.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:29:00+00:00,0.26,0.27,0.24,0.27,0.2576,0.26,0.26,0.27,19518.0,515481.0,27.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:30:00+00:00,0.27,0.27,0.19,0.2,0.2331,0.27,0.19,0.2,23368.0,533940.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:31:00+00:00,0.19,0.22,0.18,0.19,0.1989,0.2,0.18,0.19,17968.0,549611.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:32:00+00:00,0.19,0.21,0.18,0.21,0.1927,0.19,0.2,0.21,18336.0,558439.0,21.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:33:00+00:00,0.21,0.22,0.18,0.19,0.1938,0.21,0.18,0.2,31516.0,585247.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:34:00+00:00,0.2,0.2,0.18,0.2,0.1899,0.19,0.18,0.19,6873.0,590958.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:35:00+00:00,0.19,0.22,0.19,0.2,0.2022,0.2,0.19,0.2,15966.0,605536.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:36:00+00:00,0.2,0.22,0.2,0.22,0.2191,0.2,0.21,0.22,9501.0,614520.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:37:00+00:00,0.22,0.23,0.22,0.23,0.2281,0.22,0.22,0.23,7503.0,621767.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:38:00+00:00,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,11890.0,633657.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:39:00+00:00,0.23,0.23,0.22,0.23,0.2298,0.23,0.23,0.24,6316.0,639753.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:40:00+00:00,0.25,0.27,0.23,0.25,0.2404,0.23,0.24,0.25,13813.0,650839.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:41:00+00:00,0.25,0.26,0.24,0.24,0.2493,0.25,0.23,0.24,7656.0,656728.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:42:00+00:00,0.24,0.24,0.21,0.23,0.2278,0.24,0.22,0.23,12374.0,668927.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:43:00+00:00,0.23,0.28,0.23,0.28,0.2509,0.23,0.24,0.27,14335.0,678802.0,28.000000000000004
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:44:00+00:00,0.27,0.27,0.24,0.24,0.2476,0.28,0.24,0.25,10326.0,684495.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:45:00+00:00,0.25,0.25,0.24,0.25,0.2482,0.24,0.24,0.25,12981.0,693760.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:46:00+00:00,0.25,0.25,0.24,0.25,0.2497,0.25,0.24,0.25,6623.0,699929.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:47:00+00:00,0.25,0.26,0.24,0.25,0.2488,0.25,0.25,0.26,5467.0,702466.0,25.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:48:00+00:00,0.25,0.25,0.23,0.24,0.2401,0.25,0.23,0.24,3335.0,705519.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:49:00+00:00,0.24,0.24,0.21,0.24,0.2218,0.24,0.23,0.24,8845.0,705418.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:50:00+00:00,0.24,0.24,0.21,0.23,0.2252,0.24,0.23,0.24,11152.0,711968.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:51:00+00:00,0.24,0.27,0.22,0.24,0.2492,0.23,0.23,0.24,15634.0,715101.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:52:00+00:00,0.24,0.27,0.23,0.27,0.2498,0.24,0.26,0.27,45062.0,757896.0,27.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:53:00+00:00,0.26,0.28,0.24,0.28,0.2709,0.27,0.27,0.28,24168.0,777615.0,28.000000000000004
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:54:00+00:00,0.27,0.28,0.23,0.24,0.2521,0.28,0.23,0.24,64699.0,835164.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:55:00+00:00,0.24,0.24,0.23,0.24,0.2383,0.24,0.23,0.24,19716.0,850960.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:56:00+00:00,0.24,0.24,0.23,0.23,0.2392,0.24,0.22,0.23,22209.0,872120.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:57:00+00:00,0.22,0.23,0.22,0.23,0.2295,0.23,0.22,0.23,5927.0,877479.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:58:00+00:00,0.23,0.24,0.21,0.22,0.2255,0.23,0.21,0.22,12323.0,889176.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 03:59:00+00:00,0.22,0.23,0.2,0.22,0.2152,0.22,0.21,0.22,20990.0,905956.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:00:00+00:00,0.21,0.25,0.19,0.23,0.2278,0.22,0.21,0.23,14842.0,909586.0,23.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:01:00+00:00,0.23,0.25,0.22,0.22,0.2319,0.23,0.21,0.22,19499.0,924514.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:02:00+00:00,0.22,0.22,0.19,0.22,0.2048,0.22,0.21,0.22,16795.0,937786.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:03:00+00:00,0.22,0.22,0.2,0.21,0.2142,0.22,0.2,0.21,6106.0,941906.0,21.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:04:00+00:00,0.2,0.22,0.2,0.22,0.2093,0.21,0.21,0.22,6889.0,946597.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:05:00+00:00,0.22,0.23,0.2,0.21,0.225,0.22,0.2,0.21,15945.0,959316.0,21.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:06:00+00:00,0.21,0.21,0.19,0.2,0.201,0.21,0.19,0.2,7209.0,964927.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:07:00+00:00,0.2,0.2,0.18,0.2,0.1962,0.2,0.18,0.19,10841.0,971254.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:08:00+00:00,0.18,0.2,0.16,0.2,0.1875,0.2,0.19,0.2,15054.0,967754.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:09:00+00:00,0.2,0.2,0.19,0.2,0.1976,0.2,0.19,0.2,7442.0,971566.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:10:00+00:00,0.2,0.2,0.19,0.2,0.1959,0.2,0.19,0.2,17023.0,980464.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:11:00+00:00,0.2,0.2,0.19,0.2,0.195,0.2,0.19,0.2,15568.0,980898.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:12:00+00:00,0.19,0.2,0.17,0.17,0.1884,0.2,0.16,0.17,14250.0,993875.0,17.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:13:00+00:00,0.17,0.19,0.17,0.19,0.1882,0.17,0.18,0.19,12258.0,1003617.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:14:00+00:00,0.19,0.2,0.16,0.17,0.1837,0.19,0.16,0.17,13201.0,1014586.0,17.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:15:00+00:00,0.17,0.2,0.14,0.18,0.1688,0.17,0.16,0.18,21512.0,1023217.0,18.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:16:00+00:00,0.18,0.19,0.17,0.18,0.1776,0.18,0.17,0.18,13507.0,1028674.0,18.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:17:00+00:00,0.18,0.19,0.17,0.18,0.1857,0.18,0.17,0.18,42397.0,1068157.0,18.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:18:00+00:00,0.18,0.19,0.17,0.19,0.1857,0.18,0.18,0.19,36462.0,1103121.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:19:00+00:00,0.19,0.19,0.18,0.19,0.1897,0.19,0.18,0.19,10422.0,1112078.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:20:00+00:00,0.19,0.19,0.18,0.19,0.1874,0.19,0.18,0.19,5440.0,1116082.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:21:00+00:00,0.19,0.19,0.18,0.19,0.1889,0.19,0.18,0.19,8901.0,1124048.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:22:00+00:00,0.19,0.19,0.18,0.19,0.1899,0.19,0.18,0.19,9618.0,1133649.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:23:00+00:00,0.18,0.19,0.18,0.19,0.1888,0.19,0.18,0.19,4200.0,1137328.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:24:00+00:00,0.19,0.19,0.18,0.19,0.1897,0.19,0.18,0.19,4440.0,1141650.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:25:00+00:00,0.19,0.19,0.18,0.19,0.1889,0.19,0.18,0.19,9144.0,1148830.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:26:00+00:00,0.19,0.19,0.18,0.19,0.189,0.19,0.18,0.19,14415.0,1160259.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:27:00+00:00,0.19,0.19,0.18,0.19,0.1893,0.19,0.18,0.19,2588.0,1162473.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:28:00+00:00,0.19,0.19,0.18,0.19,0.1887,0.19,0.18,0.19,5928.0,1166845.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:29:00+00:00,0.19,0.19,0.18,0.19,0.1895,0.19,0.18,0.19,11589.0,1177880.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:30:00+00:00,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.19,26443.0,1204295.0,19.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:31:00+00:00,0.19,0.2,0.18,0.2,0.1906,0.19,0.18,0.2,29685.0,1233496.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:32:00+00:00,0.2,0.2,0.17,0.2,0.1915,0.2,0.19,0.2,45064.0,1274651.0,20.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:33:00+00:00,0.2,0.22,0.17,0.22,0.1966,0.2,0.21,0.22,43538.0,1313572.0,22.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:34:00+00:00,0.22,0.26,0.21,0.24,0.2447,0.22,0.23,0.24,149060.0,1452043.0,24.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:35:00+00:00,0.24,0.28,0.24,0.26,0.2557,0.24,0.24,0.26,93322.0,1539467.0,26.0
KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,,LAC,,2026-02-27 04:36:00+00:00,0.26,0.27,0.23,0.25,0.2527,0.26,0.23,0.26,79013.0,1607779.0,25.0
