ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:42:00+00:00,0.58,0.58,0.57,0.57,0.5765,0.58,0.56,0.57,6762.0,1196603.0,56.99999999999999
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:43:00+00:00,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.57,7359.0,1203561.0,56.99999999999999
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:44:00+00:00,0.57,0.58,0.54,0.55,0.5627,0.57,0.54,0.55,23797.0,1224344.0,55.00000000000001
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:45:00+00:00,0.55,0.58,0.55,0.58,0.5639,0.55,0.57,0.58,23206.0,1247191.0,57.99999999999999
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:46:00+00:00,0.58,0.67,0.58,0.67,0.6445,0.58,0.66,0.67,32513.0,1279128.0,67.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:47:00+00:00,0.67,0.7,0.66,0.7,0.68,0.67,0.69,0.7,29165.0,1304182.0,70.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:48:00+00:00,0.7,0.7,0.67,0.69,0.6888,0.7,0.67,0.69,24828.0,1323707.0,69.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:49:00+00:00,0.69,0.73,0.67,0.73,0.7034,0.69,0.71,0.73,150395.0,1448409.0,73.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:50:00+00:00,0.73,0.73,0.71,0.71,0.7178,0.73,0.71,0.72,25625.0,1462130.0,71.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:51:00+00:00,0.72,0.72,0.71,0.72,0.7193,0.71,0.71,0.72,19302.0,1479773.0,72.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:52:00+00:00,0.72,0.72,0.7,0.71,0.7053,0.72,0.7,0.71,38765.0,1467670.0,71.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:53:00+00:00,0.71,0.71,0.65,0.66,0.6758,0.71,0.64,0.65,56574.0,1470606.0,66.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:54:00+00:00,0.64,0.65,0.59,0.61,0.6165,0.66,0.61,0.62,28727.0,1483223.0,61.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:55:00+00:00,0.62,0.63,0.6,0.61,0.6118,0.61,0.6,0.61,26194.0,1502638.0,61.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:56:00+00:00,0.61,0.61,0.6,0.61,0.6081,0.61,0.6,0.61,15520.0,1514714.0,61.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:57:00+00:00,0.61,0.61,0.59,0.6,0.6014,0.61,0.59,0.6,19165.0,1530304.0,60.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:58:00+00:00,0.6,0.6,0.59,0.6,0.6,0.6,0.59,0.6,16567.0,1546820.0,60.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 20:59:00+00:00,0.6,0.62,0.56,0.56,0.5683,0.6,0.55,0.56,41064.0,1571229.0,56.00000000000001
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:00:00+00:00,0.56,0.59,0.55,0.59,0.5748,0.56,0.57,0.59,19709.0,1589801.0,59.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:01:00+00:00,0.59,0.59,0.56,0.58,0.5765,0.59,0.56,0.58,28706.0,1608381.0,57.99999999999999
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:02:00+00:00,0.58,0.64,0.57,0.58,0.5795,0.58,0.57,0.58,43422.0,1635818.0,57.99999999999999
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:03:00+00:00,0.58,0.59,0.57,0.59,0.5855,0.58,0.58,0.59,26478.0,1661488.0,59.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:04:00+00:00,0.59,0.6,0.57,0.59,0.5901,0.59,0.57,0.58,13310.0,1674533.0,59.0
KXNBAGAME-26FEB28HOUMIA-HOU,KXNBAGAME-26FEB28HOUMIA,,HOU,,2026-02-28 21:05:00+00:00,0.58,0.59,0.57,0.58,0.5806,0.59,0.57,0.58,16498.0,1690282.0,57.99999999999999
