ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:09:00+00:00,,,,,,0.5,0.49,0.5,0.0,115242.0,
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:10:00+00:00,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,12.0,115254.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:11:00+00:00,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.49,697.0,115929.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:12:00+00:00,0.49,0.49,0.48,0.48,0.4873,0.5,0.47,0.48,969.0,116889.0,48.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:13:00+00:00,0.52,0.53,0.48,0.48,0.5228,0.48,0.47,0.48,768.0,117031.0,48.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:14:00+00:00,0.48,0.49,0.48,0.49,0.4892,0.48,0.48,0.49,1247.0,117778.0,49.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:15:00+00:00,0.49,0.53,0.49,0.5,0.4979,0.49,0.47,0.48,4120.0,118211.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:16:00+00:00,0.48,0.48,0.43,0.45,0.4594,0.5,0.44,0.45,5865.0,123673.0,45.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:17:00+00:00,0.45,0.51,0.45,0.51,0.4689,0.45,0.52,0.53,13468.0,137120.0,51.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:18:00+00:00,0.53,0.53,0.52,0.53,0.5298,0.51,0.52,0.53,965.0,138043.0,53.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:19:00+00:00,0.53,0.53,0.52,0.53,0.5297,0.53,0.52,0.53,1738.0,138680.0,53.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:20:00+00:00,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.54,238.0,138680.0,53.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:21:00+00:00,0.54,0.54,0.49,0.49,0.5286,0.53,0.49,0.51,1865.0,139867.0,49.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:22:00+00:00,0.51,0.54,0.51,0.54,0.5202,0.49,0.53,0.54,5614.0,145480.0,54.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:23:00+00:00,0.53,0.55,0.53,0.55,0.5305,0.54,0.53,0.55,18285.0,140325.0,55.00000000000001
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:24:00+00:00,0.55,0.55,0.53,0.55,0.5478,0.55,0.53,0.55,705.0,140995.0,55.00000000000001
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:25:00+00:00,0.55,0.55,0.54,0.55,0.55,0.55,0.54,0.56,3032.0,144026.0,55.00000000000001
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:26:00+00:00,0.56,0.56,0.54,0.54,0.5517,0.55,0.52,0.53,1849.0,145825.0,54.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:27:00+00:00,0.54,0.54,0.51,0.51,0.538,0.54,0.5,0.51,12858.0,156468.0,51.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:28:00+00:00,0.51,0.52,0.49,0.49,0.4981,0.51,0.47,0.49,2745.0,155603.0,49.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:29:00+00:00,0.49,0.49,0.44,0.46,0.47,0.49,0.45,0.46,1836.0,156983.0,46.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:30:00+00:00,0.46,0.49,0.45,0.46,0.4659,0.46,0.45,0.46,1875.0,157558.0,46.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:31:00+00:00,0.48,0.48,0.45,0.45,0.4618,0.46,0.44,0.45,2059.0,156769.0,45.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:32:00+00:00,0.45,0.46,0.43,0.45,0.4317,0.45,0.44,0.45,5745.0,156798.0,45.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:33:00+00:00,0.45,0.45,0.41,0.43,0.4238,0.45,0.42,0.43,6894.0,152571.0,43.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:34:00+00:00,0.43,0.5,0.41,0.5,0.4745,0.43,0.49,0.51,13169.0,161012.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:35:00+00:00,0.51,0.52,0.5,0.51,0.51,0.5,0.49,0.51,4562.0,165188.0,51.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:36:00+00:00,0.51,0.51,0.48,0.5,0.4999,0.51,0.48,0.5,14365.0,178901.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:37:00+00:00,0.5,0.51,0.49,0.5,0.4997,0.5,0.49,0.5,1923.0,180632.0,50.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:38:00+00:00,0.5,0.5,0.49,0.49,0.4942,0.5,0.49,0.5,1244.0,181584.0,49.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:39:00+00:00,0.5,0.5,0.48,0.49,0.4905,0.49,0.48,0.49,7101.0,188521.0,49.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:40:00+00:00,0.49,0.54,0.49,0.53,0.5218,0.49,0.52,0.54,9767.0,193658.0,53.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:41:00+00:00,0.54,0.56,0.52,0.54,0.5393,0.53,0.53,0.54,4633.0,195637.0,54.0
KXNBAGAME-26MAR01MEMIND-IND,KXNBAGAME-26MAR01MEMIND,,IND,,2026-03-01 22:42:00+00:00,0.54,0.59,0.49,0.49,0.5477,0.54,0.48,0.49,11371.0,204251.0,49.0
