ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:09:00+00:00,0.76,0.76,0.75,0.75,0.7581,0.76,0.74,0.75,9143.0,465110.0,75.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:10:00+00:00,0.75,0.75,0.74,0.75,0.7496,0.75,0.74,0.75,2380.0,467490.0,75.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:11:00+00:00,0.75,0.76,0.74,0.76,0.7504,0.75,0.75,0.77,5009.0,472494.0,76.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:12:00+00:00,0.77,0.78,0.76,0.78,0.7698,0.76,0.77,0.78,14328.0,486656.0,78.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:13:00+00:00,0.78,0.79,0.78,0.79,0.7806,0.78,0.78,0.79,27651.0,514307.0,79.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:14:00+00:00,0.79,0.8,0.78,0.8,0.7885,0.79,0.79,0.8,13185.0,524934.0,80.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:15:00+00:00,0.8,0.81,0.79,0.8,0.8013,0.8,0.79,0.8,16237.0,540357.0,80.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:16:00+00:00,0.8,0.8,0.76,0.77,0.7785,0.8,0.77,0.78,19752.0,556465.0,77.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:17:00+00:00,0.78,0.81,0.78,0.8,0.7883,0.77,0.79,0.8,14131.0,570044.0,80.0
KXNBAGAME-26MAR01NOPLAC-LAC,KXNBAGAME-26MAR01NOPLAC,,LAC,,2026-03-02 02:18:00+00:00,0.8,0.84,0.8,0.84,0.8027,0.8,0.83,0.84,17264.0,587235.0,84.0
