period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,121,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Derrick Jones Jr., Kobe Sanders, Kris Dunn, Kawhi Leonard, Brook Lopez)",lineupchange,0,,basketball_play,1772507553,481,True,2026-03-03 03:12:33+00:00,1,720.0,0.0,0.0,1
4,120,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,12:00,"Warriors lineup change (De'Anthony Melton, Draymond Green, Al Horford, Brandin Podziemski, Moses Moody)",lineupchange,0,,basketball_play,1772507553,480,True,2026-03-03 03:12:33+00:00,1,720.0,0.0,0.0,2
4,119,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772507553,479,True,2026-03-03 03:12:33+00:00,1,720.0,0.0,0.0,3
4,118,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,Brook Lopez vs. Al Horford (Derrick Jones Jr. gains possession),opentip,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772507556,478,True,2026-03-03 03:12:36+00:00,1,720.0,0.0,0.0,4
4,117,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:43,Brook Lopez misses three point jump shot,threepointmiss,0,,basketball_play,1772507568,477,True,2026-03-03 03:12:48+00:00,1,703.0,17.0,0.2833333333333333,5
4,116,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:38,Moses Moody defensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1772507573,476,True,2026-03-03 03:12:53+00:00,1,698.0,22.0,0.36666666666666664,6
4,115,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:23,De'Anthony Melton misses three point jump shot,threepointmiss,0,,basketball_play,1772507590,475,True,2026-03-03 03:13:10+00:00,1,683.0,37.0,0.6166666666666667,7
4,114,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:19,Brandin Podziemski offensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1772507594,474,True,2026-03-03 03:13:14+00:00,1,679.0,41.0,0.6833333333333333,8
4,113,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:12,Moses Moody makes two point driving layup (Al Horford assists),twopointmade,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772507600,473,True,2026-03-03 03:13:20+00:00,1,672.0,48.0,0.8,9
4,112,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,10:54,Derrick Jones Jr. makes two point driving layup,twopointmade,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1772507618,472,True,2026-03-03 03:13:38+00:00,1,654.0,66.0,1.1,10
4,111,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:47,Al Horford misses three point jump shot,threepointmiss,2,,basketball_play,1772507625,471,True,2026-03-03 03:13:45+00:00,1,647.0,73.0,1.2166666666666666,11
4,110,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,10:43,Kris Dunn defensive rebound,rebound,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772507629,470,True,2026-03-03 03:13:49+00:00,1,643.0,77.0,1.2833333333333334,12
4,109,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,10:38,Kris Dunn turnover (bad pass) (Draymond Green steals),turnover,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1772507634,469,True,2026-03-03 03:13:54+00:00,1,638.0,82.0,1.3666666666666667,13
4,108,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:33,Moses Moody makes two point running layup (De'Anthony Melton assists),twopointmade,4,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772507639,468,True,2026-03-03 03:13:59+00:00,1,633.0,87.0,1.45,14
4,107,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,10:18,Derrick Jones Jr. misses three point jump shot,threepointmiss,4,,basketball_play,1772507654,467,True,2026-03-03 03:14:14+00:00,1,618.0,102.0,1.7,15
4,106,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:16,Al Horford defensive rebound,rebound,4,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1772507656,466,True,2026-03-03 03:14:16+00:00,1,616.0,104.0,1.7333333333333334,16
4,105,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:07,Draymond Green turnover (bad pass) (Kawhi Leonard steals),turnover,4,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772507665,465,True,2026-03-03 03:14:25+00:00,1,607.0,113.0,1.8833333333333333,17
