ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:39:00+00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,666.0,380184.0,74.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:40:00+00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,4061.0,384245.0,74.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:41:00+00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,1736.0,385981.0,74.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:42:00+00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,2714.0,388695.0,74.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:43:00+00:00,0.74,0.74,0.73,0.74,0.74,0.74,0.73,0.74,10108.0,398714.0,74.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:44:00+00:00,0.74,0.76,0.74,0.76,0.7589,0.74,0.75,0.76,6092.0,404796.0,76.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:45:00+00:00,0.76,0.78,0.76,0.77,0.7675,0.76,0.76,0.77,2945.0,406561.0,77.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:46:00+00:00,0.76,0.78,0.75,0.77,0.762,0.77,0.76,0.77,434.0,406929.0,77.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:47:00+00:00,0.77,0.78,0.76,0.78,0.761,0.77,0.77,0.78,2064.0,408407.0,78.0
KXNBAGAME-26MAR04UTAPHI-PHI,KXNBAGAME-26MAR04UTAPHI,,PHI,,2026-03-05 00:48:00+00:00,0.78,0.78,0.77,0.77,0.7746,0.78,0.76,0.77,4477.0,412884.0,77.0
