period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,100,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,"Jazz lineup change (Kyle Filipowski, John Konchar, Ace Bailey, Isaiah Collier, Cody Williams)",lineupchange,0,,basketball_play,1772755833,471,True,2026-03-06 00:10:33+00:00,1,720.0,0.0,0.0,1
4,99,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,0,12:00,"Wizards lineup change (Julian Reese, Tre Johnson, Leaky Black, Trae Young, Bilal Coulibaly)",lineupchange,0,,basketball_play,1772755833,470,True,2026-03-06 00:10:33+00:00,1,720.0,0.0,0.0,2
4,98,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772755833,469,True,2026-03-06 00:10:33+00:00,1,720.0,0.0,0.0,3
4,97,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,Kyle Filipowski vs. Julian Reese (Ace Bailey gains possession),opentip,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755835,468,True,2026-03-06 00:10:35+00:00,1,720.0,0.0,0.0,4
4,96,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,11:37,Isaiah Collier makes two point pullup jump shot,twopointmade,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1772755854,467,True,2026-03-06 00:10:54+00:00,1,697.0,23.0,0.38333333333333336,5
4,95,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:16,Trae Young makes two point driving finger roll layup,twopointmade,2,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755877,466,True,2026-03-06 00:11:17+00:00,1,676.0,44.0,0.7333333333333333,6
4,94,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,11:02,Ace Bailey makes two point pullup jump shot (Isaiah Collier assists),twopointmade,2,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1772755890,465,True,2026-03-06 00:11:30+00:00,1,662.0,58.0,0.9666666666666667,7
4,93,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:41,Julian Reese turnover (lost ball) (Ace Bailey steals),turnover,2,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755911,464,True,2026-03-06 00:11:51+00:00,1,641.0,79.0,1.3166666666666667,8
4,92,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:35,Isaiah Collier turnover (bad pass) (Bilal Coulibaly steals),turnover,2,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1772755917,463,True,2026-03-06 00:11:57+00:00,1,635.0,85.0,1.4166666666666667,9
4,91,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:29,Tre Johnson makes three point running jump shot (Bilal Coulibaly assists),threepointmade,5,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755922,462,True,2026-03-06 00:12:02+00:00,1,629.0,91.0,1.5166666666666666,10
4,90,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:10,Leaky Black shooting foul (Ace Bailey draws the foul),shootingfoul,5,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755949,461,True,2026-03-06 00:12:29+00:00,1,610.0,110.0,1.8333333333333333,11
4,89,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,5,10:10,Ace Bailey makes regular free throw 1 of 2,freethrowmade,5,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772755977,460,True,2026-03-06 00:12:57+00:00,1,610.0,110.0,1.8333333333333333,12
4,88,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,5,10:10,Ace Bailey misses regular free throw 2 of 2,freethrowmiss,5,,basketball_play,1772755977,459,True,2026-03-06 00:12:57+00:00,1,610.0,110.0,1.8333333333333333,13
4,87,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,5,10:08,Julian Reese defensive rebound,rebound,5,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1772755979,458,True,2026-03-06 00:12:59+00:00,1,608.0,112.0,1.8666666666666667,14
4,86,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,5,10:00,Leaky Black makes three point stepback jump shot (Trae Young assists),threepointmade,8,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772756004,457,True,2026-03-06 00:13:24+00:00,1,600.0,120.0,2.0,15
4,85,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,8,9:43,Kyle Filipowski makes three point jump shot (Isaiah Collier assists),threepointmade,8,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1772756020,456,True,2026-03-06 00:13:40+00:00,1,583.0,137.0,2.283333333333333,16
