ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:10:00+00:00,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,1465.0,714174.0,14.000000000000002
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:11:00+00:00,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,2374.0,716543.0,14.000000000000002
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:12:00+00:00,0.14,0.14,0.13,0.13,0.1394,0.14,0.12,0.13,1952.0,718465.0,13.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:13:00+00:00,0.13,0.15,0.13,0.13,0.1404,0.13,0.12,0.13,12262.0,730655.0,13.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:14:00+00:00,0.13,0.15,0.13,0.14,0.1486,0.13,0.13,0.14,12894.0,742212.0,14.000000000000002
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:15:00+00:00,0.14,0.15,0.14,0.15,0.1426,0.14,0.14,0.15,13739.0,755396.0,15.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:16:00+00:00,0.15,0.16,0.14,0.15,0.1496,0.15,0.13,0.15,25486.0,780840.0,15.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:17:00+00:00,0.15,0.15,0.13,0.14,0.1487,0.15,0.13,0.14,23030.0,802949.0,14.000000000000002
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:18:00+00:00,0.14,0.14,0.11,0.11,0.1317,0.14,0.1,0.11,18982.0,820748.0,11.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:19:00+00:00,0.11,0.11,0.1,0.1,0.1076,0.11,0.1,0.11,16989.0,834647.0,10.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:20:00+00:00,0.11,0.11,0.1,0.1,0.1082,0.1,0.1,0.11,15730.0,850020.0,10.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:21:00+00:00,0.1,0.11,0.1,0.11,0.1092,0.1,0.1,0.11,14843.0,864863.0,11.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:22:00+00:00,0.11,0.11,0.1,0.11,0.1099,0.11,0.1,0.11,6782.0,871555.0,11.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:23:00+00:00,0.11,0.13,0.11,0.12,0.1199,0.11,0.11,0.12,12943.0,884289.0,12.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:24:00+00:00,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,9366.0,893655.0,12.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:25:00+00:00,0.12,0.14,0.11,0.11,0.124,0.12,0.11,0.12,44805.0,902029.0,11.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:26:00+00:00,0.12,0.13,0.12,0.13,0.1203,0.11,0.11,0.13,34910.0,936934.0,13.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:27:00+00:00,0.13,0.13,0.11,0.13,0.1299,0.13,0.12,0.13,18469.0,955300.0,13.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:28:00+00:00,0.13,0.14,0.11,0.12,0.1309,0.13,0.1,0.12,25482.0,978661.0,12.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:29:00+00:00,0.12,0.14,0.12,0.14,0.1267,0.12,0.13,0.14,19896.0,996665.0,14.000000000000002
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:30:00+00:00,0.14,0.14,0.11,0.11,0.126,0.14,0.1,0.11,9718.0,1001895.0,11.0
KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,,BKN,,2026-03-07 23:31:00+00:00,0.11,0.12,0.07,0.09,0.092,0.11,0.07,0.09,10080.0,1009042.0,9.0
