ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:09:00+00:00,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.64,1460.0,491063.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:10:00+00:00,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.64,820.0,491883.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:11:00+00:00,0.64,0.64,0.63,0.63,0.6304,0.64,0.62,0.63,2957.0,494833.0,63.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:12:00+00:00,0.63,0.63,0.62,0.63,0.6254,0.63,0.61,0.63,11466.0,504295.0,63.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:13:00+00:00,0.63,0.64,0.61,0.61,0.6193,0.63,0.6,0.62,32207.0,535390.0,61.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:14:00+00:00,0.62,0.65,0.62,0.64,0.6337,0.61,0.63,0.64,29170.0,557923.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:15:00+00:00,0.64,0.69,0.64,0.67,0.6583,0.64,0.66,0.67,22511.0,579178.0,67.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:16:00+00:00,0.67,0.68,0.63,0.64,0.6612,0.67,0.62,0.64,34556.0,602638.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:17:00+00:00,0.64,0.65,0.62,0.63,0.6373,0.64,0.62,0.63,12083.0,613764.0,63.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:18:00+00:00,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.63,13368.0,627132.0,63.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:19:00+00:00,0.63,0.63,0.62,0.63,0.6298,0.63,0.62,0.63,6317.0,633342.0,63.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:20:00+00:00,0.63,0.69,0.63,0.66,0.6657,0.63,0.64,0.66,29699.0,660761.0,66.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:21:00+00:00,0.65,0.66,0.63,0.64,0.6474,0.66,0.63,0.64,7197.0,667036.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:22:00+00:00,0.64,0.66,0.62,0.66,0.6345,0.64,0.66,0.67,14279.0,673287.0,66.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:23:00+00:00,0.67,0.71,0.67,0.7,0.6923,0.66,0.7,0.71,13744.0,686374.0,70.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:24:00+00:00,0.71,0.73,0.69,0.7,0.7016,0.7,0.69,0.7,9412.0,695762.0,70.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:25:00+00:00,0.7,0.71,0.66,0.67,0.6897,0.7,0.66,0.67,54256.0,746570.0,67.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:26:00+00:00,0.66,0.68,0.66,0.67,0.6729,0.67,0.66,0.67,30067.0,770801.0,67.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:27:00+00:00,0.67,0.67,0.61,0.64,0.6307,0.67,0.63,0.64,8626.0,777149.0,64.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:28:00+00:00,0.64,0.64,0.6,0.61,0.6118,0.64,0.6,0.61,24202.0,789660.0,61.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:29:00+00:00,0.61,0.61,0.6,0.61,0.6091,0.61,0.6,0.61,4252.0,793156.0,61.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:30:00+00:00,0.61,0.61,0.6,0.61,0.61,0.61,0.6,0.61,14940.0,807998.0,61.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:31:00+00:00,0.61,0.61,0.59,0.6,0.6049,0.61,0.6,0.61,11546.0,817352.0,60.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:32:00+00:00,0.61,0.65,0.6,0.65,0.6354,0.6,0.64,0.65,13716.0,830750.0,65.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:33:00+00:00,0.65,0.65,0.6,0.61,0.6118,0.65,0.6,0.61,13504.0,839707.0,61.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:34:00+00:00,0.61,0.61,0.55,0.57,0.5831,0.61,0.55,0.57,27879.0,863013.0,56.99999999999999
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:35:00+00:00,0.56,0.57,0.55,0.55,0.5586,0.57,0.54,0.55,39349.0,900971.0,55.00000000000001
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:36:00+00:00,0.55,0.56,0.54,0.55,0.5548,0.55,0.54,0.55,8903.0,909595.0,55.00000000000001
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:37:00+00:00,0.55,0.55,0.54,0.55,0.5495,0.55,0.54,0.55,10787.0,919231.0,55.00000000000001
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:38:00+00:00,0.54,0.55,0.54,0.55,0.5479,0.55,0.54,0.55,32567.0,947716.0,55.00000000000001
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:39:00+00:00,0.55,0.6,0.51,0.51,0.5476,0.55,0.51,0.52,46522.0,982045.0,51.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:40:00+00:00,0.52,0.52,0.5,0.52,0.5172,0.51,0.51,0.52,17191.0,998440.0,52.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:41:00+00:00,0.51,0.52,0.5,0.51,0.5152,0.52,0.5,0.51,14777.0,1012836.0,51.0
KXNBAGAME-26MAR08CHISAC-CHI,KXNBAGAME-26MAR08CHISAC,,CHI,,2026-03-09 01:42:00+00:00,0.51,0.51,0.48,0.51,0.5008,0.51,0.49,0.51,9248.0,1020152.0,51.0
