ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:11:00+00:00,0.22,0.22,0.21,0.21,0.2187,0.22,0.2,0.21,6661.0,134565.0,21.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:12:00+00:00,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,1824.0,136389.0,21.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:13:00+00:00,0.21,0.24,0.21,0.23,0.2212,0.21,0.22,0.23,40874.0,174969.0,23.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:14:00+00:00,0.23,0.23,0.21,0.21,0.2158,0.23,0.2,0.21,5214.0,180108.0,21.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:15:00+00:00,0.21,0.21,0.17,0.17,0.189,0.21,0.17,0.18,10547.0,190652.0,17.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:16:00+00:00,0.17,0.17,0.14,0.15,0.1534,0.17,0.14,0.15,2288.0,191571.0,15.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:17:00+00:00,0.15,0.16,0.14,0.16,0.1445,0.15,0.15,0.16,2736.0,192584.0,16.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:18:00+00:00,0.16,0.16,0.15,0.16,0.1596,0.16,0.14,0.16,1013.0,193510.0,16.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:19:00+00:00,0.16,0.16,0.15,0.16,0.1598,0.16,0.14,0.16,3853.0,197299.0,16.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:20:00+00:00,0.15,0.18,0.15,0.18,0.1682,0.16,0.17,0.18,6219.0,202034.0,18.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:21:00+00:00,0.17,0.2,0.17,0.2,0.1876,0.18,0.19,0.2,3709.0,205714.0,20.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:22:00+00:00,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.2,3365.0,209079.0,20.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:23:00+00:00,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,22909.0,231988.0,20.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:24:00+00:00,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,8405.0,239077.0,20.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:25:00+00:00,0.2,0.24,0.2,0.23,0.2272,0.2,0.22,0.23,16307.0,253196.0,23.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:26:00+00:00,0.24,0.26,0.23,0.26,0.2485,0.23,0.25,0.26,6224.0,259418.0,26.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:27:00+00:00,0.26,0.26,0.24,0.25,0.2514,0.26,0.24,0.25,12560.0,271486.0,25.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:28:00+00:00,0.25,0.26,0.23,0.25,0.2457,0.25,0.24,0.25,10667.0,281939.0,25.0
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:29:00+00:00,0.25,0.28,0.24,0.28,0.2703,0.25,0.27,0.28,6341.0,287115.0,28.000000000000004
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:30:00+00:00,0.28,0.28,0.26,0.28,0.2776,0.28,0.26,0.28,5246.0,292236.0,28.000000000000004
KXNBAGAME-26MAR08INDPOR-IND,KXNBAGAME-26MAR08INDPOR,,IND,,2026-03-09 01:31:00+00:00,0.27,0.28,0.24,0.25,0.2656,0.28,0.24,0.25,6649.0,298567.0,25.0
