period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,128,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,12:00,"Bulls lineup change (Tre Jones, Matas Buzelis, Jalen Smith, Leonard Miller, Josh Giddey)",lineupchange,0,,basketball_play,1773369662,483,True,2026-03-13 02:41:02+00:00,1,720.0,0.0,0.0,1
4,127,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,"Lakers lineup change (Rui Hachimura, Deandre Ayton, Austin Reaves, LeBron James, Luka Doncic)",lineupchange,0,,basketball_play,1773369662,482,True,2026-03-13 02:41:02+00:00,1,720.0,0.0,0.0,2
4,126,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773369662,481,True,2026-03-13 02:41:02+00:00,1,720.0,0.0,0.0,3
4,125,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,12:00,Jalen Smith vs. Deandre Ayton (LeBron James gains possession),opentip,0,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369664,480,True,2026-03-13 02:41:04+00:00,1,720.0,0.0,0.0,4
4,124,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,11:40,Austin Reaves makes three point pullup jump shot (LeBron James assists),threepointmade,3,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369681,479,True,2026-03-13 02:41:21+00:00,1,700.0,20.0,0.3333333333333333,5
4,123,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:14,Josh Giddey turnover (bad pass) (Austin Reaves steals),turnover,3,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369707,478,True,2026-03-13 02:41:47+00:00,1,674.0,46.0,0.7666666666666667,6
4,122,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,11:05,Matas Buzelis blocks Rui Hachimura's two point layup,twopointmiss,3,,basketball_play,1773369717,477,True,2026-03-13 02:41:57+00:00,1,665.0,55.0,0.9166666666666666,7
4,121,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:02,Tre Jones defensive rebound,rebound,3,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369720,476,True,2026-03-13 02:42:00+00:00,1,662.0,58.0,0.9666666666666667,8
4,120,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,10:50,Josh Giddey turnover (out of bounds lost ball),turnover,3,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369726,475,True,2026-03-13 02:42:06+00:00,1,650.0,70.0,1.1666666666666667,9
4,119,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,10:40,Luka Doncic misses two point stepback jump shot,twopointmiss,3,,basketball_play,1773369753,474,True,2026-03-13 02:42:33+00:00,1,640.0,80.0,1.3333333333333333,10
4,118,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,10:36,Matas Buzelis defensive rebound,rebound,3,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369757,473,True,2026-03-13 02:42:37+00:00,1,636.0,84.0,1.4,11
4,117,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,10:32,Matas Buzelis misses two point running layup,twopointmiss,3,,basketball_play,1773369762,472,True,2026-03-13 02:42:42+00:00,1,632.0,88.0,1.4666666666666666,12
4,116,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,10:29,Luka Doncic defensive rebound,rebound,3,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369765,471,True,2026-03-13 02:42:45+00:00,1,629.0,91.0,1.5166666666666666,13
4,115,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,10:18,Rui Hachimura makes two point turnaround fadeaway jump shot,twopointmade,5,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369776,470,True,2026-03-13 02:42:56+00:00,1,618.0,102.0,1.7,14
4,114,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,10:09,Tre Jones misses two point driving layup,twopointmiss,5,,basketball_play,1773369785,469,True,2026-03-13 02:43:05+00:00,1,609.0,111.0,1.85,15
4,113,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,10:07,Luka Doncic defensive rebound,rebound,5,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369787,468,True,2026-03-13 02:43:07+00:00,1,607.0,113.0,1.8833333333333333,16
4,112,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,0,10:02,Deandre Ayton makes two point cutting layup (Luka Doncic assists),twopointmade,7,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369794,467,True,2026-03-13 02:43:14+00:00,1,602.0,118.0,1.9666666666666666,17
4,111,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,10:02,Bulls 60 second timeout,teamtimeout,7,,basketball_play,1773369800,466,True,2026-03-13 02:43:20+00:00,1,602.0,118.0,1.9666666666666666,18
4,110,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,9:53,Matas Buzelis makes two point driving layup (Josh Giddey assists),twopointmade,7,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773369980,465,True,2026-03-13 02:46:20+00:00,1,593.0,127.0,2.1166666666666667,19
4,109,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,9:53,Deandre Ayton shooting foul (Matas Buzelis draws the foul),shootingfoul,7,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773369985,464,True,2026-03-13 02:46:25+00:00,1,593.0,127.0,2.1166666666666667,20
4,108,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,9:53,Matas Buzelis misses regular free throw 1 of 1,freethrowmiss,7,,basketball_play,1773370009,463,True,2026-03-13 02:46:49+00:00,1,593.0,127.0,2.1166666666666667,21
4,107,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,9:51,Deandre Ayton defensive rebound,rebound,7,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773370011,462,True,2026-03-13 02:46:51+00:00,1,591.0,129.0,2.15,22
4,106,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,9:35,Luka Doncic misses two point driving floating bank jump shot,twopointmiss,7,,basketball_play,1773370026,461,True,2026-03-13 02:47:06+00:00,1,575.0,145.0,2.4166666666666665,23
4,105,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,9:32,Leonard Miller defensive rebound,rebound,7,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773370029,460,True,2026-03-13 02:47:09+00:00,1,572.0,148.0,2.466666666666667,24
4,104,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,9:26,Jalen Smith misses three point jump shot,threepointmiss,7,,basketball_play,1773370034,459,True,2026-03-13 02:47:14+00:00,1,566.0,154.0,2.566666666666667,25
4,103,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,9:22,Luka Doncic defensive rebound,rebound,7,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773370038,458,True,2026-03-13 02:47:18+00:00,1,562.0,158.0,2.6333333333333333,26
4,102,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,2,9:08,Austin Reaves turnover (bad pass) (Tre Jones steals),turnover,7,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773370053,457,True,2026-03-13 02:47:33+00:00,1,548.0,172.0,2.8666666666666667,27
4,101,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,4,9:04,Tre Jones makes two point running layup,twopointmade,7,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773370056,456,True,2026-03-13 02:47:36+00:00,1,544.0,176.0,2.933333333333333,28
4,100,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,4,8:47,Luka Doncic makes two point fadeaway jump shot,twopointmade,9,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773370073,455,True,2026-03-13 02:47:53+00:00,1,527.0,193.0,3.216666666666667,29
4,99,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,4,8:36,Matas Buzelis misses three point jump shot,threepointmiss,9,,basketball_play,1773370084,454,True,2026-03-13 02:48:04+00:00,1,516.0,204.0,3.4,30
4,98,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,4,8:33,LeBron James defensive rebound,rebound,9,2ef4d31c-0b46-4f43-a403-f44d62489034,basketball_play,1773370087,453,True,2026-03-13 02:48:07+00:00,1,513.0,207.0,3.45,31
4,97,quarter,1,2ef4d31c-0b46-4f43-a403-f44d62489034,4,8:26,Deandre Ayton makes two point dunk (Austin Reaves assists),twopointmade,11,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1773370094,452,True,2026-03-13 02:48:14+00:00,1,506.0,214.0,3.566666666666667,32
