ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:09:00+00:00,0.74,0.74,0.73,0.74,0.7348,0.74,0.73,0.74,755.0,384769.0,74.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:10:00+00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,350.0,384769.0,74.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:11:00+00:00,0.74,0.75,0.74,0.75,0.7494,0.74,0.73,0.75,3366.0,388125.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:12:00+00:00,0.75,0.75,0.73,0.75,0.7495,0.75,0.74,0.75,7925.0,396024.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:13:00+00:00,0.75,0.75,0.73,0.75,0.75,0.75,0.73,0.76,10239.0,406244.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:14:00+00:00,0.75,0.76,0.74,0.74,0.7519,0.75,0.73,0.74,1943.0,408173.0,74.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:15:00+00:00,0.74,0.76,0.73,0.76,0.7391,0.74,0.74,0.76,3003.0,411172.0,76.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:16:00+00:00,0.76,0.76,0.74,0.75,0.7416,0.76,0.74,0.75,7794.0,418920.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:17:00+00:00,0.75,0.76,0.73,0.73,0.7349,0.75,0.72,0.73,4244.0,423164.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:18:00+00:00,0.73,0.74,0.7,0.71,0.7312,0.73,0.7,0.71,15904.0,435148.0,71.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:19:00+00:00,0.71,0.73,0.7,0.71,0.7107,0.71,0.71,0.73,7179.0,442144.0,71.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:20:00+00:00,0.73,0.73,0.7,0.71,0.7036,0.71,0.7,0.71,12530.0,454107.0,71.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:21:00+00:00,0.71,0.73,0.71,0.73,0.7267,0.71,0.72,0.73,7157.0,461034.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:22:00+00:00,0.73,0.73,0.72,0.73,0.73,0.73,0.72,0.73,1157.0,462191.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:23:00+00:00,0.73,0.73,0.72,0.73,0.7298,0.73,0.72,0.73,6256.0,468315.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:24:00+00:00,0.73,0.75,0.73,0.73,0.7303,0.73,0.72,0.73,9008.0,477318.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:25:00+00:00,0.73,0.75,0.72,0.75,0.7413,0.73,0.74,0.76,2877.0,480195.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:26:00+00:00,0.74,0.76,0.72,0.73,0.7337,0.75,0.71,0.73,2212.0,482381.0,73.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:27:00+00:00,0.73,0.75,0.73,0.75,0.74,0.73,0.73,0.75,5684.0,487907.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:28:00+00:00,0.73,0.76,0.73,0.76,0.75,0.75,0.75,0.76,7364.0,495235.0,76.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:29:00+00:00,0.76,0.76,0.75,0.75,0.7547,0.76,0.74,0.75,2745.0,497880.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:30:00+00:00,0.75,0.76,0.73,0.75,0.7433,0.75,0.73,0.75,5195.0,503009.0,75.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:31:00+00:00,0.73,0.77,0.73,0.77,0.7646,0.75,0.76,0.77,3672.0,506677.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:32:00+00:00,0.77,0.77,0.75,0.77,0.7677,0.77,0.75,0.77,2761.0,508792.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:33:00+00:00,0.77,0.77,0.76,0.77,0.7694,0.77,0.76,0.77,2471.0,511122.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:34:00+00:00,0.76,0.8,0.76,0.79,0.7719,0.77,0.78,0.8,10691.0,520749.0,79.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:35:00+00:00,0.79,0.79,0.76,0.77,0.7738,0.79,0.76,0.77,6892.0,527093.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:36:00+00:00,0.76,0.77,0.75,0.77,0.7635,0.77,0.76,0.77,2683.0,528710.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:37:00+00:00,0.77,0.77,0.76,0.76,0.7699,0.77,0.76,0.77,3694.0,532379.0,76.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:38:00+00:00,0.77,0.79,0.77,0.78,0.777,0.76,0.77,0.78,36440.0,565393.0,78.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:39:00+00:00,0.78,0.8,0.77,0.79,0.7838,0.78,0.79,0.81,9864.0,569116.0,79.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:40:00+00:00,0.81,0.87,0.81,0.87,0.8373,0.79,0.86,0.87,6805.0,575310.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:41:00+00:00,0.86,0.87,0.85,0.86,0.8592,0.87,0.85,0.86,10405.0,584047.0,86.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:42:00+00:00,0.85,0.87,0.85,0.87,0.8674,0.86,0.85,0.87,8323.0,590889.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:43:00+00:00,0.87,0.87,0.86,0.86,0.8684,0.87,0.86,0.87,6510.0,595623.0,86.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:44:00+00:00,0.87,0.93,0.87,0.92,0.9012,0.86,0.91,0.92,6368.0,598578.0,92.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:45:00+00:00,0.92,0.92,0.9,0.92,0.9182,0.92,0.9,0.92,19909.0,617467.0,92.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:46:00+00:00,0.92,0.92,0.89,0.91,0.9107,0.92,0.89,0.91,24776.0,630898.0,91.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:47:00+00:00,0.89,0.91,0.89,0.91,0.9067,0.91,0.9,0.91,6273.0,636746.0,91.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:48:00+00:00,0.91,0.93,0.9,0.93,0.9223,0.91,0.92,0.93,40997.0,668225.0,93.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:49:00+00:00,0.92,0.93,0.92,0.93,0.9289,0.93,0.92,0.93,9871.0,676133.0,93.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:50:00+00:00,0.92,0.93,0.92,0.93,0.9241,0.93,0.92,0.93,1463.0,676058.0,93.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:51:00+00:00,0.92,0.93,0.92,0.93,0.9265,0.93,0.92,0.93,1440.0,676566.0,93.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:52:00+00:00,0.93,0.95,0.93,0.95,0.9383,0.93,0.93,0.95,6565.0,680302.0,95.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:53:00+00:00,0.95,0.95,0.93,0.95,0.942,0.95,0.94,0.95,9407.0,682462.0,95.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:54:00+00:00,0.94,0.94,0.91,0.92,0.9282,0.95,0.91,0.92,15008.0,684122.0,92.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:55:00+00:00,0.92,0.92,0.91,0.92,0.9192,0.92,0.91,0.92,8445.0,686161.0,92.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:56:00+00:00,0.92,0.92,0.87,0.87,0.8972,0.92,0.87,0.88,60399.0,732194.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:57:00+00:00,0.88,0.88,0.87,0.88,0.8759,0.87,0.87,0.88,14784.0,735066.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:58:00+00:00,0.88,0.88,0.87,0.88,0.8798,0.88,0.87,0.88,8059.0,742852.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-16 23:59:00+00:00,0.88,0.88,0.86,0.87,0.8766,0.88,0.87,0.88,1248.0,743470.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:00:00+00:00,0.87,0.88,0.87,0.88,0.8734,0.87,0.87,0.88,640.0,743260.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:01:00+00:00,0.88,0.88,0.86,0.87,0.8754,0.88,0.86,0.87,1634.0,744811.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:02:00+00:00,0.87,0.88,0.86,0.87,0.87,0.87,0.86,0.87,11908.0,749666.0,87.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:03:00+00:00,0.87,0.89,0.87,0.88,0.8833,0.87,0.88,0.89,21647.0,766391.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:04:00+00:00,0.89,0.89,0.87,0.88,0.8862,0.88,0.87,0.88,6845.0,768937.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:05:00+00:00,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,1425.0,770362.0,88.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:06:00+00:00,0.88,0.88,0.83,0.85,0.8593,0.88,0.83,0.85,16772.0,786414.0,85.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:07:00+00:00,0.85,0.85,0.75,0.77,0.8014,0.85,0.75,0.76,17857.0,798264.0,77.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:08:00+00:00,0.76,0.8,0.75,0.8,0.7736,0.77,0.79,0.8,14556.0,802458.0,80.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:09:00+00:00,0.8,0.86,0.79,0.86,0.7984,0.8,0.84,0.87,8057.0,809323.0,86.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:10:00+00:00,0.86,0.87,0.84,0.85,0.85,0.86,0.84,0.85,19770.0,823213.0,85.0
KXNBAGAME-26MAR16GSWWAS-GSW,KXNBAGAME-26MAR16GSWWAS,,GSW,,2026-03-17 00:11:00+00:00,0.84,0.84,0.8,0.8,0.8177,0.85,0.79,0.8,3029.0,826118.0,80.0
