period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,121,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (VJ Edgecombe, Adem Bona, Justin Edwards, Quentin Grimes, Dominick Barlow)",lineupchange,0,,basketball_play,1773799963,486,True,2026-03-18 02:12:43+00:00,1,720.0,0.0,0.0,1
4,120,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,"Nuggets lineup change (Aaron Gordon, Christian Braun, Jamal Murray, Nikola Jokic, Cameron Johnson)",lineupchange,0,,basketball_play,1773799963,485,True,2026-03-18 02:12:43+00:00,1,720.0,0.0,0.0,2
4,119,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773799963,484,True,2026-03-18 02:12:43+00:00,1,720.0,0.0,0.0,3
4,118,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,Adem Bona vs. Nikola Jokic (Christian Braun gains possession),opentip,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773799966,483,True,2026-03-18 02:12:46+00:00,1,720.0,0.0,0.0,4
4,117,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:47,Aaron Gordon makes two point cutting layup (Nikola Jokic assists),twopointmade,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773799975,482,True,2026-03-18 02:12:55+00:00,1,707.0,13.0,0.21666666666666667,5
4,116,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:37,Quentin Grimes turnover (out of bounds bad pass),turnover,2,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773799986,481,True,2026-03-18 02:13:06+00:00,1,697.0,23.0,0.38333333333333336,6
4,115,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:25,Nikola Jokic misses two point finger roll layup,twopointmiss,2,,basketball_play,1773800002,480,True,2026-03-18 02:13:22+00:00,1,685.0,35.0,0.5833333333333334,7
4,114,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:23,Adem Bona defensive rebound,rebound,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800004,479,True,2026-03-18 02:13:24+00:00,1,683.0,37.0,0.6166666666666667,8
4,113,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,11:17,VJ Edgecombe makes two point running finger roll layup,twopointmade,2,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800009,478,True,2026-03-18 02:13:29+00:00,1,677.0,43.0,0.7166666666666667,9
4,112,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,2,11:03,Aaron Gordon makes two point cutting layup (Nikola Jokic assists),twopointmade,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800024,477,True,2026-03-18 02:13:44+00:00,1,663.0,57.0,0.95,10
4,111,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,10:45,Adem Bona misses three point jump shot,threepointmiss,4,,basketball_play,1773800041,476,True,2026-03-18 02:14:01+00:00,1,645.0,75.0,1.25,11
4,110,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,2,10:43,Jamal Murray defensive rebound,rebound,4,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800043,475,True,2026-03-18 02:14:03+00:00,1,643.0,77.0,1.2833333333333334,12
4,109,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,2,10:35,Dominick Barlow blocks Jamal Murray's two point driving finger roll layup,twopointmiss,4,,basketball_play,1773800052,474,True,2026-03-18 02:14:12+00:00,1,635.0,85.0,1.4166666666666667,13
4,108,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,10:32,VJ Edgecombe defensive rebound,rebound,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800055,473,True,2026-03-18 02:14:15+00:00,1,632.0,88.0,1.4666666666666666,14
4,107,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,10:29,Adem Bona makes two point running dunk (VJ Edgecombe assists),twopointmade,4,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800057,472,True,2026-03-18 02:14:17+00:00,1,629.0,91.0,1.5166666666666666,15
4,106,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:09,Jamal Murray turnover (bad pass) (Justin Edwards steals),turnover,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800077,471,True,2026-03-18 02:14:37+00:00,1,609.0,111.0,1.85,16
4,105,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,10:00,VJ Edgecombe misses two point pullup jump shot,twopointmiss,4,,basketball_play,1773800087,470,True,2026-03-18 02:14:47+00:00,1,600.0,120.0,2.0,17
4,104,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,9:56,Aaron Gordon defensive rebound,rebound,4,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800091,469,True,2026-03-18 02:14:51+00:00,1,596.0,124.0,2.066666666666667,18
4,103,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,9:50,Dominick Barlow shooting foul (Aaron Gordon draws the foul),shootingfoul,4,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800098,468,True,2026-03-18 02:14:58+00:00,1,590.0,130.0,2.1666666666666665,19
4,102,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,9:50,Aaron Gordon makes regular free throw 1 of 2,freethrowmade,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800141,467,True,2026-03-18 02:15:41+00:00,1,590.0,130.0,2.1666666666666665,20
4,101,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,9:50,Aaron Gordon makes regular free throw 2 of 2,freethrowmade,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800142,466,True,2026-03-18 02:15:42+00:00,1,590.0,130.0,2.1666666666666665,21
4,100,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,9:33,Justin Edwards misses two point pullup jump shot,twopointmiss,6,,basketball_play,1773800160,465,True,2026-03-18 02:16:00+00:00,1,573.0,147.0,2.45,22
4,99,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,9:31,Christian Braun defensive rebound,rebound,6,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800162,464,True,2026-03-18 02:16:02+00:00,1,571.0,149.0,2.4833333333333334,23
4,98,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,9:18,Cameron Johnson makes two point driving floating jump shot (Nikola Jokic assists),twopointmade,8,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800176,463,True,2026-03-18 02:16:16+00:00,1,558.0,162.0,2.7,24
4,97,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,9:02,Quentin Grimes misses three point pullup jump shot,threepointmiss,8,,basketball_play,1773800191,462,True,2026-03-18 02:16:31+00:00,1,542.0,178.0,2.966666666666667,25
4,96,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,9:00,Dominick Barlow offensive rebound,rebound,8,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800193,461,True,2026-03-18 02:16:33+00:00,1,540.0,180.0,3.0,26
4,95,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,9:00,Dominick Barlow misses two point tip layup,twopointmiss,8,,basketball_play,1773800196,460,True,2026-03-18 02:16:36+00:00,1,540.0,180.0,3.0,27
4,94,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,8:57,Aaron Gordon defensive rebound,rebound,8,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800199,459,True,2026-03-18 02:16:39+00:00,1,537.0,183.0,3.05,28
4,93,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,8:46,Christian Braun makes three point jump shot (Nikola Jokic assists),threepointmade,11,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800207,458,True,2026-03-18 02:16:47+00:00,1,526.0,194.0,3.2333333333333334,29
4,92,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,8:29,Dominick Barlow misses three point jump shot,threepointmiss,11,,basketball_play,1773800225,457,True,2026-03-18 02:17:05+00:00,1,509.0,211.0,3.5166666666666666,30
4,91,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,8:26,Christian Braun defensive rebound,rebound,11,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800228,456,True,2026-03-18 02:17:08+00:00,1,506.0,214.0,3.566666666666667,31
4,90,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,8:21,Adem Bona personal foul (Nikola Jokic draws the foul),personalfoul,11,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800235,455,True,2026-03-18 02:17:15+00:00,1,501.0,219.0,3.65,32
4,89,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,8:19,Aaron Gordon turnover (out of bounds bad pass),turnover,11,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800261,454,True,2026-03-18 02:17:41+00:00,1,499.0,221.0,3.683333333333333,33
4,88,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,8:07,Justin Edwards makes two point driving floating jump shot,twopointmade,11,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800281,453,True,2026-03-18 02:18:01+00:00,1,487.0,233.0,3.8833333333333333,34
4,87,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,6,8:07,Cameron Johnson shooting foul (Justin Edwards draws the foul),shootingfoul,11,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800284,452,True,2026-03-18 02:18:04+00:00,1,487.0,233.0,3.8833333333333333,35
4,86,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,7,8:07,Justin Edwards makes regular free throw 1 of 1,freethrowmade,11,,basketball_play,1773800317,451,True,2026-03-18 02:18:37+00:00,1,487.0,233.0,3.8833333333333333,36
4,85,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,7,7:55,Justin Edwards personal foul (Aaron Gordon draws the foul),personalfoul,11,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800333,450,True,2026-03-18 02:18:53+00:00,1,475.0,245.0,4.083333333333333,37
4,84,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,7,7:47,Aaron Gordon makes three point jump shot (Nikola Jokic assists),threepointmade,14,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800355,449,True,2026-03-18 02:19:15+00:00,1,467.0,253.0,4.216666666666667,38
4,83,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,7,7:32,VJ Edgecombe misses three point jump shot,threepointmiss,14,,basketball_play,1773800370,448,True,2026-03-18 02:19:30+00:00,1,452.0,268.0,4.466666666666667,39
4,82,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,7,7:29,Jamal Murray defensive rebound,rebound,14,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800373,447,True,2026-03-18 02:19:33+00:00,1,449.0,271.0,4.516666666666667,40
4,81,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,7,7:24,Cameron Johnson makes two point running finger roll layup (Jamal Murray assists),twopointmade,16,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773800379,446,True,2026-03-18 02:19:39+00:00,1,444.0,276.0,4.6,41
4,80,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,7,7:24,76ers 60 second timeout,teamtimeout,16,,basketball_play,1773800390,445,True,2026-03-18 02:19:50+00:00,1,444.0,276.0,4.6,42
4,79,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,7:13,VJ Edgecombe makes two point pullup jump shot (Dominick Barlow assists),twopointmade,16,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773800608,444,True,2026-03-18 02:23:28+00:00,1,433.0,287.0,4.783333333333333,43
4,78,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,9,6:51,Aaron Gordon misses two point driving floating jump shot,twopointmiss,16,,basketball_play,1773800630,443,True,2026-03-18 02:23:50+00:00,1,411.0,309.0,5.15,44
