ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:09:00+00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,1749.0,261080.0,59.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:10:00+00:00,0.59,0.59,0.58,0.59,0.5895,0.59,0.58,0.59,152.0,261216.0,59.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:11:00+00:00,0.59,0.6,0.59,0.6,0.5941,0.59,0.6,0.61,1708.0,262574.0,60.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:12:00+00:00,0.61,0.61,0.58,0.6,0.5963,0.6,0.6,0.61,14863.0,276423.0,60.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:13:00+00:00,0.61,0.61,0.54,0.54,0.5769,0.6,0.53,0.54,22413.0,298456.0,54.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:14:00+00:00,0.53,0.53,0.44,0.44,0.4988,0.54,0.43,0.45,4049.0,301838.0,44.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:15:00+00:00,0.44,0.51,0.44,0.51,0.4944,0.44,0.48,0.52,29436.0,327968.0,51.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:16:00+00:00,0.5,0.51,0.48,0.49,0.4986,0.51,0.46,0.49,15650.0,342094.0,49.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:17:00+00:00,0.46,0.47,0.4,0.41,0.434,0.49,0.4,0.41,27802.0,361378.0,41.0
KXNBAGAME-26MAR17PHXMIN-MIN,KXNBAGAME-26MAR17PHXMIN,,MIN,,2026-03-18 00:18:00+00:00,0.41,0.41,0.4,0.4,0.4063,0.41,0.4,0.41,18794.0,366484.0,40.0
