period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,98,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (VJ Edgecombe, Quentin Grimes, Justin Edwards, Dominick Barlow, Adem Bona)",lineupchange,0,,basketball_play,1773972610,486,True,2026-03-20 02:10:10+00:00,1,720.0,0.0,0.0,1
4,97,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,"Kings lineup change (Maxime Raynaud, Daeqwon Plowden, Russell Westbrook, Precious Achiuwa, DeMar DeRozan)",lineupchange,0,,basketball_play,1773972610,485,True,2026-03-20 02:10:10+00:00,1,720.0,0.0,0.0,2
4,96,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773972610,484,True,2026-03-20 02:10:10+00:00,1,720.0,0.0,0.0,3
4,95,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,Adem Bona vs. Maxime Raynaud (Precious Achiuwa gains possession),opentip,0,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1773972614,483,True,2026-03-20 02:10:14+00:00,1,720.0,0.0,0.0,4
4,94,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,11:39,Daeqwon Plowden makes two point driving floating jump shot (Maxime Raynaud assists),twopointmade,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773972630,482,True,2026-03-20 02:10:30+00:00,1,699.0,21.0,0.35,5
4,93,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,3,11:19,Justin Edwards makes three point jump shot (Quentin Grimes assists),threepointmade,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1773972650,481,True,2026-03-20 02:10:50+00:00,1,679.0,41.0,0.6833333333333333,6
4,92,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,3,10:58,DeMar DeRozan misses two point pullup jump shot,twopointmiss,2,,basketball_play,1773972671,480,True,2026-03-20 02:11:11+00:00,1,658.0,62.0,1.0333333333333334,7
4,91,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,3,10:53,Adem Bona defensive rebound,rebound,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773972676,479,True,2026-03-20 02:11:16+00:00,1,653.0,67.0,1.1166666666666667,8
4,90,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,10:44,Justin Edwards makes three point jump shot (VJ Edgecombe assists),threepointmade,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1773972685,478,True,2026-03-20 02:11:25+00:00,1,644.0,76.0,1.2666666666666666,9
4,89,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,6,10:26,Maxime Raynaud makes two point turnaround hook shot (Russell Westbrook assists),twopointmade,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773972703,477,True,2026-03-20 02:11:43+00:00,1,626.0,94.0,1.5666666666666667,10
