ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:10:00+00:00,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.42,1108.0,575040.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:11:00+00:00,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,3312.0,578352.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:12:00+00:00,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.43,1949.0,580301.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:13:00+00:00,0.42,0.43,0.42,0.43,0.4283,0.42,0.42,0.43,2908.0,583209.0,43.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:14:00+00:00,0.43,0.48,0.43,0.46,0.4607,0.43,0.45,0.46,11246.0,589815.0,46.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:15:00+00:00,0.46,0.46,0.45,0.46,0.4598,0.46,0.45,0.46,5172.0,594752.0,46.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:16:00+00:00,0.46,0.48,0.45,0.46,0.4681,0.46,0.45,0.46,31303.0,612155.0,46.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:17:00+00:00,0.46,0.46,0.41,0.42,0.446,0.46,0.41,0.42,6179.0,615239.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:18:00+00:00,0.42,0.42,0.41,0.42,0.4197,0.42,0.41,0.42,1202.0,616400.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:19:00+00:00,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,975.0,617375.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:20:00+00:00,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,2048.0,618982.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:21:00+00:00,0.42,0.43,0.42,0.42,0.4205,0.42,0.41,0.42,941.0,619148.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:22:00+00:00,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.43,9892.0,627808.0,42.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:23:00+00:00,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.43,6019.0,633827.0,43.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:24:00+00:00,0.43,0.48,0.43,0.47,0.4659,0.43,0.46,0.47,33849.0,662381.0,47.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:25:00+00:00,0.47,0.48,0.47,0.48,0.4701,0.47,0.47,0.48,13260.0,675545.0,48.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:26:00+00:00,0.48,0.49,0.47,0.49,0.4835,0.48,0.48,0.49,4597.0,678064.0,49.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:27:00+00:00,0.49,0.49,0.47,0.47,0.4791,0.49,0.46,0.47,35409.0,694487.0,47.0
KXNBAGAME-26MAR20ATLHOU-ATL,KXNBAGAME-26MAR20ATLHOU,,ATL,,2026-03-21 00:28:00+00:00,0.46,0.47,0.4,0.4,0.4125,0.47,0.39,0.4,30612.0,705438.0,40.0
