period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,123,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,12:00,"Celtics lineup change (Neemias Queta, Derrick White, Jaylen Brown, Jayson Tatum, Sam Hauser)",lineupchange,0,,basketball_play,1774051835,473,True,2026-03-21 00:10:35+00:00,1,720.0,0.0,0.0,1
4,122,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,12:00,"Grizzlies lineup change (Javon Small, Jaylen Wells, Olivier-Maxence Prosper, Ty Jerome, Taylor Hendricks)",lineupchange,0,,basketball_play,1774051835,472,True,2026-03-21 00:10:35+00:00,1,720.0,0.0,0.0,2
4,121,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774051835,471,True,2026-03-21 00:10:35+00:00,1,720.0,0.0,0.0,3
4,120,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,0,12:00,Neemias Queta vs. Olivier-Maxence Prosper (Jayson Tatum gains possession),opentip,0,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051838,470,True,2026-03-21 00:10:38+00:00,1,720.0,0.0,0.0,4
4,119,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:38,Jaylen Wells shooting foul (Jaylen Brown draws the foul),shootingfoul,0,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051857,469,True,2026-03-21 00:10:57+00:00,1,698.0,22.0,0.36666666666666664,5
4,118,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,1,11:38,Jaylen Brown makes regular free throw 1 of 2,freethrowmade,0,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051886,468,True,2026-03-21 00:11:26+00:00,1,698.0,22.0,0.36666666666666664,6
4,117,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:38,Jaylen Brown makes regular free throw 2 of 2,freethrowmade,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774051902,467,True,2026-03-21 00:11:42+00:00,1,698.0,22.0,0.36666666666666664,7
4,116,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,2,11:26,Ty Jerome makes two point driving floating jump shot (Taylor Hendricks assists),twopointmade,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051915,466,True,2026-03-21 00:11:55+00:00,1,686.0,34.0,0.5666666666666667,8
4,115,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:04,Jaylen Brown misses two point driving floating jump shot,twopointmiss,2,,basketball_play,1774051936,465,True,2026-03-21 00:12:16+00:00,1,664.0,56.0,0.9333333333333333,9
4,114,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:03,Jaylen Brown offensive rebound,rebound,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051937,464,True,2026-03-21 00:12:17+00:00,1,663.0,57.0,0.95,10
4,113,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:03,Taylor Hendricks blocks Jaylen Brown's two point putback layup,twopointmiss,2,,basketball_play,1774051942,463,True,2026-03-21 00:12:22+00:00,1,663.0,57.0,0.95,11
4,112,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:02,Celtics offensive rebound,rebound,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051943,462,True,2026-03-21 00:12:23+00:00,1,662.0,58.0,0.9666666666666667,12
4,111,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,2,11:02,Jump ball. Jaylen Brown vs. Taylor Hendricks (Sam Hauser gains possession),jumpball,2,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051978,461,True,2026-03-21 00:12:58+00:00,1,662.0,58.0,0.9666666666666667,13
4,110,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,10:52,Derrick White makes three point jump shot (Sam Hauser assists),threepointmade,2,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774051983,460,True,2026-03-21 00:13:03+00:00,1,652.0,68.0,1.1333333333333333,14
4,109,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,10:40,Olivier-Maxence Prosper makes three point jump shot (Ty Jerome assists),threepointmade,5,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774051996,459,True,2026-03-21 00:13:16+00:00,1,640.0,80.0,1.3333333333333333,15
4,108,quarter,1,,5,10:22,Stoppage (Out of bounds),stoppage,5,,basketball_play,1774052016,458,True,2026-03-21 00:13:36+00:00,1,622.0,98.0,1.6333333333333333,16
4,107,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,10:18,Neemias Queta offensive foul (Jaylen Wells draws the foul),offensivefoul,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052035,457,True,2026-03-21 00:13:55+00:00,1,618.0,102.0,1.7,17
4,106,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,10:18,Neemias Queta turnover (offensive foul),turnover,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052035,456,True,2026-03-21 00:13:55+00:00,1,618.0,102.0,1.7,18
4,105,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,10:04,Ty Jerome misses three point jump shot,threepointmiss,5,,basketball_play,1774052063,455,True,2026-03-21 00:14:23+00:00,1,604.0,116.0,1.9333333333333333,19
4,104,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,10:02,Javon Small offensive rebound,rebound,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052066,454,True,2026-03-21 00:14:26+00:00,1,602.0,118.0,1.9666666666666666,20
4,103,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,10:00,Javon Small misses two point floating jump shot,twopointmiss,5,,basketball_play,1774052067,453,True,2026-03-21 00:14:27+00:00,1,600.0,120.0,2.0,21
4,102,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,10:00,Derrick White defensive rebound,rebound,5,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774052067,452,True,2026-03-21 00:14:27+00:00,1,600.0,120.0,2.0,22
4,101,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,9:43,Jayson Tatum turnover (bad pass) (Taylor Hendricks steals),turnover,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052085,451,True,2026-03-21 00:14:45+00:00,1,583.0,137.0,2.283333333333333,23
4,100,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,9:31,Ty Jerome misses three point stepback jump shot,threepointmiss,5,,basketball_play,1774052096,450,True,2026-03-21 00:14:56+00:00,1,571.0,149.0,2.4833333333333334,24
4,99,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,5,9:27,Neemias Queta defensive rebound,rebound,5,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774052100,449,True,2026-03-21 00:15:00+00:00,1,567.0,153.0,2.55,25
4,98,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,9:20,Jaylen Wells shooting foul (Neemias Queta draws the foul),shootingfoul,5,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774052109,448,True,2026-03-21 00:15:09+00:00,1,560.0,160.0,2.6666666666666665,26
4,97,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,6,9:20,Neemias Queta makes regular free throw 1 of 2,freethrowmade,5,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774052135,447,True,2026-03-21 00:15:35+00:00,1,560.0,160.0,2.6666666666666665,27
4,96,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,7,9:20,Neemias Queta makes regular free throw 2 of 2,freethrowmade,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052156,446,True,2026-03-21 00:15:56+00:00,1,560.0,160.0,2.6666666666666665,28
4,95,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,9:09,Derrick White blocks Jaylen Wells's two point driving floating jump shot,twopointmiss,5,,basketball_play,1774052169,445,True,2026-03-21 00:16:09+00:00,1,549.0,171.0,2.85,29
4,94,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,9:09,Grizzlies offensive rebound,rebound,5,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052169,444,True,2026-03-21 00:16:09+00:00,1,549.0,171.0,2.85,30
4,93,quarter,1,,7,9:09,Stoppage (Out of bounds),stoppage,5,,basketball_play,1774052176,443,True,2026-03-21 00:16:16+00:00,1,549.0,171.0,2.85,31
4,92,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,9:07,Ty Jerome makes two point driving floating bank jump shot (Javon Small assists),twopointmade,7,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,basketball_play,1774052186,442,True,2026-03-21 00:16:26+00:00,1,547.0,173.0,2.8833333333333333,32
4,91,quarter,1,6dd427f5-fa02-40ef-aa90-cfa73e0c539e,7,8:50,Jayson Tatum misses three point jump shot,threepointmiss,7,,basketball_play,1774052202,441,True,2026-03-21 00:16:42+00:00,1,530.0,190.0,3.1666666666666665,33
4,90,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,8:47,Javon Small defensive rebound,rebound,7,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1774052205,440,True,2026-03-21 00:16:45+00:00,1,527.0,193.0,3.216666666666667,34
4,89,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,8:39,Taylor Hendricks misses three point jump shot,threepointmiss,7,,basketball_play,1774052213,439,True,2026-03-21 00:16:53+00:00,1,519.0,201.0,3.35,35
