period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,124,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,12:00,"Warriors lineup change (Draymond Green, Brandin Podziemski, Gui Santos, Kristaps Porzingis, De'Anthony Melton)",lineupchange,0,,basketball_play,1774050091,491,True,2026-03-20 23:41:31+00:00,1,720.0,0.0,0.0,1
4,123,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Duncan Robinson, Tobias Harris, Ausar Thompson, Daniss Jenkins, Jalen Duren)",lineupchange,0,,basketball_play,1774050091,490,True,2026-03-20 23:41:31+00:00,1,720.0,0.0,0.0,2
4,122,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774050091,489,True,2026-03-20 23:41:31+00:00,1,720.0,0.0,0.0,3
4,121,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,Kristaps Porzingis vs. Jalen Duren (Daniss Jenkins gains possession),opentip,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774050094,488,True,2026-03-20 23:41:34+00:00,1,720.0,0.0,0.0,4
4,120,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:36,Tobias Harris misses two point pullup jump shot,twopointmiss,0,,basketball_play,1774050114,487,True,2026-03-20 23:41:54+00:00,1,696.0,24.0,0.4,5
4,119,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:35,Kristaps Porzingis defensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050115,486,True,2026-03-20 23:41:55+00:00,1,695.0,25.0,0.4166666666666667,6
4,118,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:20,Ausar Thompson shooting foul (De'Anthony Melton draws the foul),shootingfoul,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050136,485,True,2026-03-20 23:42:16+00:00,1,680.0,40.0,0.6666666666666666,7
4,117,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,1,11:20,De'Anthony Melton makes regular free throw 1 of 2,freethrowmade,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050153,484,True,2026-03-20 23:42:33+00:00,1,680.0,40.0,0.6666666666666666,8
4,116,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,11:20,De'Anthony Melton makes regular free throw 2 of 2,freethrowmade,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774050165,483,True,2026-03-20 23:42:45+00:00,1,680.0,40.0,0.6666666666666666,9
4,115,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,11:01,Daniss Jenkins misses three point stepback jump shot,threepointmiss,0,,basketball_play,1774050186,482,True,2026-03-20 23:43:06+00:00,1,661.0,59.0,0.9833333333333333,10
4,114,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:58,Draymond Green defensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050189,481,True,2026-03-20 23:43:09+00:00,1,658.0,62.0,1.0333333333333334,11
4,113,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:41,Brandin Podziemski misses two point driving layup,twopointmiss,0,,basketball_play,1774050206,480,True,2026-03-20 23:43:26+00:00,1,641.0,79.0,1.3166666666666667,12
4,112,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,10:39,Ausar Thompson defensive rebound,rebound,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774050207,479,True,2026-03-20 23:43:27+00:00,1,639.0,81.0,1.35,13
4,111,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,10:29,Duncan Robinson misses three point jump shot,threepointmiss,0,,basketball_play,1774050217,478,True,2026-03-20 23:43:37+00:00,1,629.0,91.0,1.5166666666666666,14
4,110,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:25,De'Anthony Melton defensive rebound,rebound,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050221,477,True,2026-03-20 23:43:41+00:00,1,625.0,95.0,1.5833333333333333,15
4,109,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,5,10:21,De'Anthony Melton makes three point running pullup jump shot,threepointmade,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774050225,476,True,2026-03-20 23:43:45+00:00,1,621.0,99.0,1.65,16
4,108,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,5,10:03,Tobias Harris makes two point driving layup (Daniss Jenkins assists),twopointmade,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050243,475,True,2026-03-20 23:44:03+00:00,1,603.0,117.0,1.95,17
4,107,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,5,9:59,Draymond Green turnover (bad pass) (Jalen Duren steals),turnover,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774050248,474,True,2026-03-20 23:44:08+00:00,1,599.0,121.0,2.0166666666666666,18
4,106,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,5,9:56,Jalen Duren offensive foul (Draymond Green draws the foul),offensivefoul,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050257,473,True,2026-03-20 23:44:17+00:00,1,596.0,124.0,2.066666666666667,19
4,105,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,5,9:56,Jalen Duren turnover (offensive foul),turnover,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1774050257,472,True,2026-03-20 23:44:17+00:00,1,596.0,124.0,2.066666666666667,20
