ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:09:00+00:00,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,290.0,85555.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:10:00+00:00,0.32,0.32,0.31,0.32,0.3195,0.32,0.31,0.32,864.0,86419.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:11:00+00:00,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.32,1743.0,88162.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:12:00+00:00,0.31,0.31,0.27,0.27,0.2986,0.32,0.26,0.27,5471.0,93615.0,27.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:13:00+00:00,0.27,0.31,0.27,0.31,0.2861,0.27,0.31,0.32,519.0,94112.0,31.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:14:00+00:00,0.32,0.35,0.32,0.34,0.3345,0.31,0.33,0.34,7783.0,100013.0,34.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:15:00+00:00,0.34,0.35,0.3,0.33,0.3291,0.34,0.32,0.33,4980.0,103187.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:16:00+00:00,0.33,0.35,0.32,0.33,0.335,0.33,0.32,0.33,4837.0,106309.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:17:00+00:00,0.33,0.33,0.3,0.3,0.3098,0.33,0.29,0.3,2283.0,108445.0,30.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:18:00+00:00,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,1429.0,109874.0,30.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:19:00+00:00,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,3518.0,113392.0,30.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:20:00+00:00,0.3,0.31,0.29,0.31,0.2996,0.3,0.3,0.31,1149.0,114397.0,31.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:21:00+00:00,0.31,0.31,0.3,0.3,0.309,0.31,0.3,0.31,967.0,115251.0,30.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:22:00+00:00,0.31,0.31,0.27,0.28,0.2947,0.3,0.28,0.29,2674.0,117736.0,28.000000000000004
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:23:00+00:00,0.29,0.32,0.28,0.32,0.2997,0.28,0.31,0.32,6621.0,118586.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:24:00+00:00,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.32,3902.0,122456.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:25:00+00:00,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,1148.0,123604.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:26:00+00:00,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,1284.0,124888.0,32.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:27:00+00:00,0.32,0.42,0.32,0.42,0.3948,0.32,0.41,0.42,7115.0,126009.0,42.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:28:00+00:00,0.43,0.43,0.38,0.4,0.4024,0.42,0.39,0.4,11853.0,135194.0,40.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:29:00+00:00,0.4,0.41,0.37,0.37,0.3981,0.4,0.36,0.37,11010.0,141871.0,37.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:30:00+00:00,0.37,0.37,0.33,0.34,0.3494,0.37,0.33,0.34,7537.0,147265.0,34.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:31:00+00:00,0.34,0.4,0.33,0.4,0.3479,0.34,0.38,0.4,5549.0,149912.0,40.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:32:00+00:00,0.4,0.4,0.38,0.39,0.3997,0.4,0.39,0.4,3699.0,153520.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:33:00+00:00,0.4,0.41,0.35,0.41,0.3822,0.39,0.4,0.41,35917.0,180241.0,41.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:34:00+00:00,0.4,0.41,0.36,0.38,0.3855,0.41,0.38,0.39,21246.0,200484.0,38.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:35:00+00:00,0.39,0.39,0.38,0.39,0.3895,0.38,0.38,0.39,2967.0,203147.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:36:00+00:00,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.39,10132.0,213265.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:37:00+00:00,0.39,0.42,0.38,0.42,0.4027,0.39,0.41,0.42,2334.0,215547.0,42.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:38:00+00:00,0.42,0.46,0.42,0.45,0.4476,0.42,0.44,0.45,19151.0,232490.0,45.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:39:00+00:00,0.45,0.45,0.38,0.39,0.4281,0.45,0.38,0.39,10876.0,242816.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:40:00+00:00,0.39,0.39,0.33,0.33,0.369,0.39,0.32,0.33,7430.0,248105.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:41:00+00:00,0.33,0.36,0.31,0.33,0.3317,0.33,0.32,0.33,10399.0,256494.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:42:00+00:00,0.32,0.33,0.31,0.33,0.3297,0.33,0.32,0.33,3922.0,260316.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:43:00+00:00,0.33,0.33,0.32,0.33,0.3299,0.33,0.32,0.33,9117.0,269358.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:44:00+00:00,0.32,0.33,0.32,0.33,0.3292,0.33,0.32,0.33,5105.0,273976.0,33.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:45:00+00:00,0.33,0.34,0.3,0.3,0.3138,0.33,0.29,0.3,11102.0,283496.0,30.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:46:00+00:00,0.3,0.3,0.27,0.28,0.2928,0.3,0.27,0.28,3077.0,284938.0,28.000000000000004
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:47:00+00:00,0.28,0.35,0.26,0.35,0.3072,0.28,0.34,0.35,7026.0,289294.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:48:00+00:00,0.35,0.36,0.34,0.35,0.3528,0.35,0.34,0.35,14638.0,301993.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:49:00+00:00,0.34,0.35,0.33,0.35,0.3423,0.35,0.34,0.35,13189.0,304071.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:50:00+00:00,0.35,0.35,0.33,0.35,0.3455,0.35,0.34,0.35,3232.0,304502.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:51:00+00:00,0.35,0.36,0.34,0.35,0.3528,0.35,0.34,0.35,2087.0,306310.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:52:00+00:00,0.35,0.37,0.34,0.37,0.3643,0.35,0.36,0.37,4816.0,311014.0,37.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:53:00+00:00,0.37,0.39,0.36,0.39,0.3724,0.37,0.38,0.39,6363.0,317292.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:54:00+00:00,0.39,0.4,0.37,0.4,0.39,0.39,0.38,0.4,8064.0,323843.0,40.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:55:00+00:00,0.38,0.38,0.36,0.37,0.3704,0.4,0.36,0.37,2353.0,325788.0,37.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:56:00+00:00,0.36,0.37,0.34,0.35,0.3545,0.37,0.34,0.35,9057.0,333357.0,35.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:57:00+00:00,0.35,0.38,0.34,0.36,0.3568,0.35,0.35,0.36,2399.0,335314.0,36.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:58:00+00:00,0.36,0.4,0.36,0.4,0.3832,0.36,0.39,0.4,9774.0,341042.0,40.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 22:59:00+00:00,0.4,0.41,0.36,0.38,0.39,0.4,0.37,0.38,8964.0,349930.0,38.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 23:00:00+00:00,0.38,0.44,0.36,0.39,0.3992,0.38,0.37,0.39,13706.0,362669.0,39.0
KXNBAGAME-26MAR22BKNSAC-BKN,KXNBAGAME-26MAR22BKNSAC,,BKN,,2026-03-22 23:01:00+00:00,0.38,0.41,0.36,0.41,0.3779,0.39,0.4,0.41,3990.0,365510.0,41.0
