period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,139,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,0,12:00,"Wizards lineup change (Julian Reese, Bilal Coulibaly, Leaky Black, Bub Carrington, Will Riley)",lineupchange,0,,basketball_play,1774487515,494,True,2026-03-26 01:11:55+00:00,1,720.0,0.0,0.0,1
4,138,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,"Jazz lineup change (Bez Mbeng, John Konchar, Cody Williams, Ace Bailey, Elijah Harkless)",lineupchange,0,,basketball_play,1774487515,493,True,2026-03-26 01:11:55+00:00,1,720.0,0.0,0.0,2
4,137,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774487515,492,True,2026-03-26 01:11:55+00:00,1,720.0,0.0,0.0,3
4,136,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,Julian Reese vs. Ace Bailey (John Konchar gains possession),opentip,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1774487519,491,True,2026-03-26 01:11:59+00:00,1,720.0,0.0,0.0,4
4,135,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,11:39,John Konchar misses three point jump shot,threepointmiss,0,,basketball_play,1774487534,490,True,2026-03-26 01:12:14+00:00,1,699.0,21.0,0.35,5
4,134,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,0,11:37,Will Riley defensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1774487536,489,True,2026-03-26 01:12:16+00:00,1,697.0,23.0,0.38333333333333336,6
4,133,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:24,Will Riley makes two point finger roll layup (Bilal Coulibaly assists),twopointmade,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1774487550,488,True,2026-03-26 01:12:30+00:00,1,684.0,36.0,0.6,7
4,132,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,11:07,Ace Bailey misses two point pullup jump shot,twopointmiss,0,,basketball_play,1774487567,487,True,2026-03-26 01:12:47+00:00,1,667.0,53.0,0.8833333333333333,8
4,131,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:04,Julian Reese defensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1774487570,486,True,2026-03-26 01:12:50+00:00,1,664.0,56.0,0.9333333333333333,9
4,130,quarter,1,,2,10:55,Stoppage (Out of bounds),stoppage,0,,basketball_play,1774487582,485,True,2026-03-26 01:13:02+00:00,1,655.0,65.0,1.0833333333333333,10
4,129,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,10:47,Bez Mbeng blocks Will Riley's two point cutting layup,twopointmiss,0,,basketball_play,1774487608,484,True,2026-03-26 01:13:28+00:00,1,647.0,73.0,1.2166666666666666,11
4,128,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,10:46,Julian Reese offensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1774487609,483,True,2026-03-26 01:13:29+00:00,1,646.0,74.0,1.2333333333333334,12
4,127,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:45,Julian Reese makes two point putback layup,twopointmade,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1774487615,482,True,2026-03-26 01:13:35+00:00,1,645.0,75.0,1.25,13
4,126,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,4,10:34,Ace Bailey makes three point jump shot (Elijah Harkless assists),threepointmade,3,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1774487620,481,True,2026-03-26 01:13:40+00:00,1,634.0,86.0,1.4333333333333333,14
4,125,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:23,Bub Carrington misses two point driving layup,twopointmiss,3,,basketball_play,1774487632,480,True,2026-03-26 01:13:52+00:00,1,623.0,97.0,1.6166666666666667,15
4,124,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,4,10:23,Julian Reese offensive rebound,rebound,3,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1774487632,479,True,2026-03-26 01:13:52+00:00,1,623.0,97.0,1.6166666666666667,16
