ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:09:00+00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,27.0,127705.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:10:00+00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,2007.0,129712.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:11:00+00:00,,,,,,0.89,0.89,0.9,0.0,129712.0,
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:12:00+00:00,0.9,0.9,0.89,0.89,0.89,0.89,0.88,0.89,27133.0,129724.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:13:00+00:00,0.89,0.89,0.88,0.88,0.8811,0.89,0.87,0.88,184.0,129908.0,88.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:14:00+00:00,0.87,0.88,0.86,0.86,0.8666,0.88,0.85,0.86,14242.0,141515.0,86.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:15:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,139.0,141654.0,86.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:16:00+00:00,0.86,0.86,0.84,0.84,0.8499,0.86,0.83,0.84,5427.0,147071.0,84.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:17:00+00:00,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.85,1145.0,148126.0,84.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:18:00+00:00,0.85,0.85,0.83,0.83,0.8317,0.84,0.82,0.83,1369.0,149478.0,83.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:19:00+00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.83,699.0,150177.0,83.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:20:00+00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.83,2739.0,152916.0,83.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:21:00+00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.83,3332.0,156248.0,83.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:22:00+00:00,0.83,0.84,0.83,0.83,0.8326,0.83,0.82,0.83,2349.0,156960.0,83.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:23:00+00:00,0.82,0.82,0.81,0.82,0.8183,0.83,0.82,0.83,8471.0,165075.0,82.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:24:00+00:00,0.83,0.86,0.83,0.85,0.8507,0.82,0.84,0.85,5336.0,170314.0,85.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:25:00+00:00,0.85,0.86,0.85,0.86,0.8502,0.85,0.85,0.86,11256.0,181495.0,86.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:26:00+00:00,0.86,0.88,0.86,0.87,0.8605,0.86,0.86,0.87,3638.0,185036.0,87.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:27:00+00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.87,2476.0,187512.0,87.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:28:00+00:00,0.87,0.87,0.86,0.87,0.8694,0.87,0.86,0.87,2718.0,190063.0,87.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:29:00+00:00,0.87,0.88,0.87,0.88,0.8721,0.87,0.87,0.88,3951.0,193192.0,88.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:30:00+00:00,0.88,0.91,0.88,0.91,0.8871,0.88,0.89,0.91,8283.0,198741.0,91.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:31:00+00:00,0.91,0.91,0.9,0.9,0.9036,0.91,0.89,0.9,3409.0,202150.0,90.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:32:00+00:00,0.9,0.91,0.89,0.9,0.908,0.9,0.9,0.91,2228.0,204086.0,90.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:33:00+00:00,0.9,0.91,0.9,0.91,0.9033,0.9,0.9,0.92,1473.0,205074.0,91.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:34:00+00:00,0.92,0.92,0.89,0.89,0.9098,0.91,0.88,0.89,1365.0,206439.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:35:00+00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,117.0,206556.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:36:00+00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,10036.0,216592.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:37:00+00:00,0.89,0.89,0.88,0.88,0.8873,0.89,0.87,0.89,638.0,217055.0,88.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:38:00+00:00,0.88,0.89,0.88,0.89,0.8855,0.88,0.89,0.9,509.0,217384.0,89.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:39:00+00:00,0.89,0.9,0.89,0.9,0.8974,0.89,0.9,0.91,39.0,217411.0,90.0
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,,HOU,,2026-03-28 00:40:00+00:00,0.91,0.93,0.91,0.91,0.9185,0.9,0.91,0.92,1667.0,219028.0,91.0
